           km_, km_check_num,   km_namen, km_rank_under, km_rank_top,    km_link, 
2076 :          @,          0,       2392,         45,        999,         -1, 
2077 :          @,          0,       2393,          0,         46,         -1, 
2078 :          @,          0,       2394,         46,         61,         -1, 
2079 :          @,          0,       2395,         61,        999,         -1, 
2080 : mons_MK1010_100_clr1_00,          6,       2387,          5,         20,         -1, 
2081 :          @,          0,       2388,         20,         34,         -1, 
2082 :          @,          0,       2389,         34,        999,         -1, 
2083 :          @,          0,       2393,         32,         46,         -1, 
2084 :          @,          0,       2394,         46,         61,         -1, 
2085 :          @,          0,       2395,         61,        999,         -1, 
2086 : mons_MK1010_100_clr1_NM_003,          5,       2388,          0,         34,         -1, 
2087 :          @,          0,       2389,         34,        999,         -1, 
2088 :          @,          0,       2393,          0,         46,         -1, 
2089 :          @,          0,       2394,         46,         61,         -1, 
2090 :          @,          0,       2395,         61,        999,         -1, 
2091 : mons_MK1010_100_clr1_NM_004,          3,       2387,          0,         20,         -1, 
2092 :          @,          0,       2388,         20,         34,         -1, 
2093 :          @,          0,       2389,         34,        999,         -1, 
2094 : mons_MK1010_100_clr1_NM_005,          3,       2393,          0,         46,         -1, 
2095 :          @,          0,       2394,         46,         61,         -1, 
2096 :          @,          0,       2395,         61,        999,         -1, 
2097 : mons_MK1010_100_clr2_00,          6,       2390,         43,         58,         -1, 
2098 :          @,          0,       2391,         58,         71,         -1, 
2099 :          @,          0,       2392,         71,        999,         -1, 
2100 :          @,          0,       2396,         43,         58,         -1, 
2101 :          @,          0,       2397,         58,         71,         -1, 
2102 :          @,          0,       2398,         71,        999,         -1, 
2103 : mons_MK1010_100_clr2_NM_006,          4,       2391,          0,         71,         -1, 
2104 :          @,          0,       2392,         71,        999,         -1, 
2105 :          @,          0,       2397,          0,         71,         -1, 
2106 :          @,          0,       2398,         71,        999,         -1, 
2107 : mons_MK1010_100_clr2_NM_007,          3,       2390,          0,         58,         -1, 
2108 :          @,          0,       2391,         58,         71,         -1, 
2109 :          @,          0,       2392,         71,        999,         -1, 
2110 : mons_MK1010_100_clr2_NM_008,          2,       2391,          0,         71,         -1, 
2111 :          @,          0,       2392,         71,        999,         -1, 
2112 : mons_MK0030_100_clr0_00,         12,       2399,         17,         31,         -1, 
2113 :          @,          0,       2400,         31,         45,         -1, 
2114 :          @,          0,       2401,         45,         59,         -1, 
2115 :          @,          0,       2402,         59,         66,         -1, 
2116 :          @,          0,       2403,         66,         86,         -1, 
2117 :          @,          0,       2404,         86,        999,         -1, 
2118 :          @,          0,       2489,         27,         41,         -1, 
2119 :          @,          0,       2490,         41,         56,         -1, 
2120 :          @,          0,       2491,         56,        999,         -1, 
2121 :          @,          0,       2519,         26,         40,         -1, 
2122 :          @,          0,       2520,         40,         54,         -1, 
2123 :          @,          0,       2521,         54,        999,         -1, 
2124 : mons_MK0030_100_clr0_NM_001,          9,       2399,          0,         31,         -1, 
2125 :          @,          0,       2400,         31,         45,         -1, 
2126 :          @,          0,       2401,         45,        999,         -1, 
2127 :          @,          0,       2489,          0,         41,         -1, 
2128 :          @,          0,       2490,         41,         56,         -1, 
2129 :          @,          0,       2491,         56,        999,         -1, 
2130 :          @,          0,       2519,          0,         40,         -1, 
2131 :          @,          0,       2520,         40,         54,         -1, 
2132 :          @,          0,       2521,         54,        999,         -1, 
2133 : mons_MK0030_100_clr0_NM_002,          8,       2400,          0,         45,         -1, 
2134 :          @,          0,       2401,         45,        999,         -1, 
2135 :          @,          0,       2489,          0,         41,         -1, 
2136 :          @,          0,       2490,         41,         56,         -1, 
2137 :          @,          0,       2491,         56,        999,         -1, 
2138 :          @,          0,       2519,          0,         40,         -1, 
2139 :          @,          0,       2520,         40,         54,         -1, 
2140 :          @,          0,       2521,         54,        999,         -1, 
2141 : mons_MK0030_100_clr1_00,         12,       2399,         17,         31,         -1, 
2142 :          @,          0,       2400,         31,         45,         -1, 
2143 :          @,          0,       2401,         45,         59,         -1, 
2144 :          @,          0,       2402,         59,         66,         -1, 
2145 :          @,          0,       2403,         66,         86,         -1, 
2146 :          @,          0,       2404,         86,        999,         -1, 
2147 :          @,          0,       2489,         27,         41,         -1, 
2148 :          @,          0,       2490,         41,         56,         -1, 
2149 :          @,          0,       2491,         56,        999,         -1, 
2150 :          @,          0,       2519,         26,         40,         -1, 
2151 :          @,          0,       2520,         40,         54,         -1, 
2152 :          @,          0,       2521,         54,        999,         -1, 
2153 : mons_MK0030_100_clr1_NM_003,          7,       2402,          0,         66,         -1, 
2154 :          @,          0,       2403,         66,         86,         -1, 
2155 :          @,          0,       2404,         86,        999,         -1, 
2156 :          @,          0,       2490,          0,         56,         -1, 
2157 :          @,          0,       2491,         56,        999,         -1, 
2158 :          @,          0,       2520,          0,         54,         -1, 
2159 :          @,          0,       2521,         54,        999,         -1, 
2160 : mons_MK0030_100_clr1_NM_004,          9,       2399,          0,         31,         -1, 
2161 :          @,          0,       2400,         31,         45,         -1, 
2162 :          @,          0,       2401,         45,        999,         -1, 
2163 :          @,          0,       2489,          0,         41,         -1, 
2164 :          @,          0,       2490,         41,         56,         -1, 
2165 :          @,          0,       2491,         56,        999,         -1, 
2166 :          @,          0,       2519,          0,         40,         -1, 
2167 :          @,          0,       2520,         40,         54,         -1, 
2168 :          @,          0,       2521,         54,        999,         -1, 
2169 : mons_MK0030_100_clr1_NM_005,          1,       2401,          0,        999,         -1, 
2170 : mons_MK0030_100_clr2_00,          7,       2399,         16,         31,         -1, 
2171 :          @,          0,       2400,         31,         45,         -1, 
2172 :          @,          0,       2401,         45,         59,         -1, 
2173 :          @,          0,       2402,         59,         66,         -1, 
2174 :          @,          0,       2403,         66,         86,         -1, 
2175 :          @,          0,       2404,         86,        999,         -1, 
2176 :          @,          0,       2537,          0,        999,         -1, 
2177 : mons_MK0030_100_clr2_NM_006,          8,       2403,          0,         86,         -1, 
2178 :          @,          0,       2404,         86,        999,         -1, 
2179 :          @,          0,       2537,          0,         84,         -1, 
2180 :          @,          0,       2538,         84,         99,         -1, 
2181 :          @,          0,       2539,         99,        999,         -1, 
2182 :          @,          0,       2552,          0,        106,         -1, 
2183 :          @,          0,       2553,        106,        120,         -1, 
2184 :          @,          0,       2554,        120,        999,         -1, 
2185 : mons_MK0030_100_clr2_NM_007,          4,       2404,          0,        999,         -1, 
2186 :          @,          0,       2537,          0,         84,         -1, 
2187 :          @,          0,       2538,         84,         99,         -1, 
2188 :          @,          0,       2539,         99,        999,         -1, 
2189 : mons_MK0030_100_clr2_NM_008,          4,       2401,          0,        999,         -1, 
2190 :          @,          0,       2537,          0,         84,         -1, 
2191 :          @,          0,       2538,         84,         99,         -1, 
2192 :          @,          0,       2539,         99,        999,         -1, 
2193 : mons_MK0020_100_clr0_00,         10,       2405,          5,         31,         -1, 
2194 :          @,          0,       2406,         31,         45,         -1, 
2195 :          @,          0,       2407,         45,         59,         -1, 
2196 :          @,          0,       2408,         59,         66,         -1, 
2197 :          @,          0,       2409,         66,         86,         -1, 
2198 :          @,          0,       2410,         86,        999,         -1, 
2199 :          @,          0,       2486,          5,         31,         -1, 
2200 :          @,          0,       2487,         31,         45,         -1, 
2201 :          @,          0,       2488,         45,        999,         -1, 
2202 :          @,          0,         -1,         -1,         -1,        200, 
2203 : mons_MK0020_100_clr0_NM_001,          7,       2408,          0,         66,         -1, 
2204 :          @,          0,       2409,         66,         86,         -1, 
2205 :          @,          0,       2410,         86,        999,         -1, 
2206 :          @,          0,       2488,          0,        999,         -1, 
2207 :          @,          0,       1685,          0,         59,         -1, 
2208 :          @,          0,       1686,         59,         65,         -1, 
2209 :          @,          0,       1687,         65,        999,         -1, 
2210 : mons_MK0020_100_clr0_NM_002,          2,       2410,          0,        999,         -1, 
2211 :          @,          0,       1687,          0,        999,         -1, 
2212 : mons_MK0020_100_clr1_00,         13,       2405,         14,         31,         -1, 
2213 :          @,          0,       2406,         31,         45,         -1, 
2214 :          @,          0,       2407,         45,         59,         -1, 
2215 :          @,          0,       2408,         59,         66,         -1, 
2216 :          @,          0,       2409,         66,         86,         -1, 
2217 :          @,          0,       2410,         86,        999,         -1, 
2218 :          @,          0,       2414,         14,         66,         -1, 
2219 :          @,          0,       2415,         66,         86,         -1, 
2220 :          @,          0,       2416,         86,        999,         -1, 
2221 :          @,          0,       2486,         14,         31,         -1, 
2222 :          @,          0,       2487,         31,         45,         -1, 
2223 :          @,          0,       2488,         45,        999,         -1, 
2224 :          @,          0,         -1,         -1,         -1,        200, 
2225 : mons_MK0020_100_clr1_NM_003,          9,       2405,          0,         31,         -1, 
2226 :          @,          0,       2406,         31,         45,         -1, 
2227 :          @,          0,       2407,         45,        999,         -1, 
2228 :          @,          0,       2414,          0,         66,         -1, 
2229 :          @,          0,       2415,         66,         86,         -1, 
2230 :          @,          0,       2416,         86,        999,         -1, 
2231 :          @,          0,       2486,          0,         31,         -1, 
2232 :          @,          0,       2487,         31,         45,         -1, 
2233 :          @,          0,       2488,         45,        999,         -1, 
2234 : mons_MK0020_100_clr1_NM_004,          9,       2408,          0,         66,         -1, 
2235 :          @,          0,       2409,         66,         86,         -1, 
2236 :          @,          0,       2410,         86,        999,         -1, 
2237 :          @,          0,       2414,          0,         66,         -1, 
2238 :          @,          0,       2415,         66,         86,         -1, 
2239 :          @,          0,       2416,         86,        999,         -1, 
2240 :          @,          0,       1675,          0,         65,         -1, 
2241 :          @,          0,       1676,         65,         71,         -1, 
2242 :          @,          0,       1677,         71,        999,         -1, 
2243 : mons_MK0020_100_clr1_NM_005,          9,       2409,          0,         86,         -1, 
2244 :          @,          0,       2410,         86,        999,         -1, 
2245 :          @,          0,       2487,          0,         45,         -1, 
2246 :          @,          0,       2488,         45,        999,         -1, 
2247 :          @,          0,       1673,          0,         50,         -1, 
2248 :          @,          0,       1674,         50,         58,         -1, 
2249 :          @,          0,       1675,         58,         65,         -1, 
2250 :          @,          0,       1676,         65,         71,         -1, 
2251 :          @,          0,       1677,         71,        999,         -1, 
2252 : mons_MK0020_100_clr2_00,         14,       2408,         59,         66,         -1, 
2253 :          @,          0,       2409,         66,         86,         -1, 
2254 :          @,          0,       2410,         86,        999,         -1, 
2255 :          @,          0,       2411,         59,         66,         -1, 
2256 :          @,          0,       2412,         66,         86,         -1, 
2257 :          @,          0,       2413,         86,        999,         -1, 
2258 :          @,          0,       2486,         17,         31,         -1, 
2259 :          @,          0,       2487,         31,         45,         -1, 
2260 :          @,          0,       2488,         45,        999,         -1, 
2261 :          @,          0,       1678,         37,         44,         -1, 
2262 :          @,          0,       1679,         44,         52,         -1, 
2263 :          @,          0,       1680,         52,         59,         -1, 
2264 :          @,          0,       1681,         59,         65,         -1, 
2265 :          @,          0,       1682,         65,        999,         -1, 
2266 : mons_MK0020_100_clr2_NM_006,          6,       2408,          0,         66,         -1, 
2267 :          @,          0,       2409,         66,         86,         -1, 
2268 :          @,          0,       2410,         86,        999,         -1, 
2269 :          @,          0,       2411,          0,         66,         -1, 
2270 :          @,          0,       2412,         66,         86,         -1, 
2271 :          @,          0,       2413,         86,        999,         -1, 
2272 : mons_MK0020_100_clr2_NM_007,          7,       2408,          0,         66,         -1, 
2273 :          @,          0,       2409,         66,         86,         -1, 
2274 :          @,          0,       2410,         86,        999,         -1, 
2275 :          @,          0,       2411,          0,         66,         -1, 
2276 :          @,          0,       2412,         66,         86,         -1, 
2277 :          @,          0,       2413,         86,        999,         -1, 
2278 :          @,          0,       2488,          0,        999,         -1, 
2279 : mons_MK0020_100_clr2_NM_008,         11,       2408,          0,         66,         -1, 
2280 :          @,          0,       2409,         66,         86,         -1, 
2281 :          @,          0,       2410,         86,        999,         -1, 
2282 :          @,          0,       2411,          0,         66,         -1, 
2283 :          @,          0,       2412,         66,         86,         -1, 
2284 :          @,          0,       2413,         86,        999,         -1, 
2285 :          @,          0,       1678,          0,         66,         -1, 
2286 :          @,          0,       1679,         66,         72,         -1, 
2287 :          @,          0,       1680,         72,         79,         -1, 
2288 :          @,          0,       1681,         79,         86,         -1, 
2289 :          @,          0,       1682,         86,        999,         -1, 
2290 : mons_MK0010_100_clr0_00,         16,       2417,         11,         31,         -1, 
2291 :          @,          0,       2418,         31,         45,         -1, 
2292 :          @,          0,       2419,         45,         59,         -1, 
2293 :          @,          0,       2420,         59,         66,         -1, 
2294 :          @,          0,       2421,         66,         86,         -1, 
2295 :          @,          0,       2422,         86,        999,         -1, 
2296 :          @,          0,       2423,         11,         66,         -1, 
2297 :          @,          0,       2424,         66,         86,         -1, 
2298 :          @,          0,       2425,         86,        999,         -1, 
2299 :          @,          0,       2504,         11,         51,         -1, 
2300 :          @,          0,       2505,         51,         66,         -1, 
2301 :          @,          0,       2506,         66,        999,         -1, 
2302 :          @,          0,       2525,         11,         40,         -1, 
2303 :          @,          0,       2526,         40,         54,         -1, 
2304 :          @,          0,       2527,         54,        999,         -1, 
2305 :          @,          0,       2543,          0,        999,         -1, 
2306 : mons_MK0010_100_clr0_NM_001,         15,       2420,          0,         66,         -1, 
2307 :          @,          0,       2421,         66,         86,         -1, 
2308 :          @,          0,       2422,         86,        999,         -1, 
2309 :          @,          0,       2423,          0,         66,         -1, 
2310 :          @,          0,       2424,         66,         86,         -1, 
2311 :          @,          0,       2425,         86,        999,         -1, 
2312 :          @,          0,       2505,          0,         66,         -1, 
2313 :          @,          0,       2506,         66,        999,         -1, 
2314 :          @,          0,       2527,          0,        999,         -1, 
2315 :          @,          0,       2543,          0,        106,         -1, 
2316 :          @,          0,       2544,        106,        120,         -1, 
2317 :          @,          0,       2545,        120,        999,         -1, 
2318 :          @,          0,       2546,          0,        106,         -1, 
2319 :          @,          0,       2547,        106,        120,         -1, 
2320 :          @,          0,       2548,        120,        999,         -1, 
2321 : mons_MK0010_100_clr0_NM_002,          8,       2423,          0,         66,         -1, 
2322 :          @,          0,       2424,         66,         86,         -1, 
2323 :          @,          0,       2425,         86,        999,         -1, 
2324 :          @,          0,       2527,          0,        999,         -1, 
2325 :          @,          0,       2543,          0,        106,         -1, 
2326 :          @,          0,       2544,        106,        120,         -1, 
2327 :          @,          0,       2545,        120,        999,         -1, 
2328 :          @,          0,       2488,          0,        999,         -1, 
2329 : mons_MK0010_100_clr1_00,         14,       2420,          0,        999,         -1, 
2330 :          @,          0,       2426,          0,        999,         -1, 
2331 :          @,          0,       2492,          0,        999,         -1, 
2332 :          @,          0,       2526,          0,        999,         -1, 
2333 :          @,          0,       2543,          0,        999,         -1, 
2334 :          @,          0,       1728,          0,         34,         -1, 
2335 :          @,          0,       1729,         34,         41,         -1, 
2336 :          @,          0,       1730,         41,        999,         -1, 
2337 :          @,          0,       1733,          0,         34,         -1, 
2338 :          @,          0,       1734,         34,         41,         -1, 
2339 :          @,          0,       1735,         41,        999,         -1, 
2340 :          @,          0,       1743,          0,         34,         -1, 
2341 :          @,          0,       1744,         34,         41,         -1, 
2342 :          @,          0,       1745,         41,        999,         -1, 
2343 : mons_MK0010_100_clr1_NM_003,         16,       2420,          0,         66,         -1, 
2344 :          @,          0,       2421,         66,         86,         -1, 
2345 :          @,          0,       2422,         86,        999,         -1, 
2346 :          @,          0,       2426,          0,         66,         -1, 
2347 :          @,          0,       2427,         66,         86,         -1, 
2348 :          @,          0,       2428,         86,        999,         -1, 
2349 :          @,          0,       2526,          0,         54,         -1, 
2350 :          @,          0,       2527,         54,        999,         -1, 
2351 :          @,          0,       2543,          0,        106,         -1, 
2352 :          @,          0,       2544,        106,        120,         -1, 
2353 :          @,          0,       2545,        120,        999,         -1, 
2354 :          @,          0,       1728,          0,         42,         -1, 
2355 :          @,          0,       1729,         42,         49,         -1, 
2356 :          @,          0,       1730,         49,         56,         -1, 
2357 :          @,          0,       1731,         56,         63,         -1, 
2358 :          @,          0,       1732,         63,        999,         -1, 
2359 : mons_MK0010_100_clr1_NM_004,         26,       2420,          0,         66,         -1, 
2360 :          @,          0,       2421,         66,         86,         -1, 
2361 :          @,          0,       2422,         86,        999,         -1, 
2362 :          @,          0,       2426,          0,         66,         -1, 
2363 :          @,          0,       2427,         66,         86,         -1, 
2364 :          @,          0,       2428,         86,        999,         -1, 
2365 :          @,          0,       2492,          0,         52,         -1, 
2366 :          @,          0,       2493,         52,         65,         -1, 
2367 :          @,          0,       2494,         65,        999,         -1, 
2368 :          @,          0,       2526,          0,         54,         -1, 
2369 :          @,          0,       2527,         54,        999,         -1, 
2370 :          @,          0,       2543,          0,        106,         -1, 
2371 :          @,          0,       2544,        106,        120,         -1, 
2372 :          @,          0,       2545,        120,        999,         -1, 
2373 :          @,          0,       1729,          0,         49,         -1, 
2374 :          @,          0,       1730,         49,         56,         -1, 
2375 :          @,          0,       1731,         56,         63,         -1, 
2376 :          @,          0,       1732,         63,        999,         -1, 
2377 :          @,          0,       1734,          0,         59,         -1, 
2378 :          @,          0,       1735,         59,         66,         -1, 
2379 :          @,          0,       1736,         66,         73,         -1, 
2380 :          @,          0,       1737,         73,        999,         -1, 
2381 :          @,          0,       1744,          0,         59,         -1, 
2382 :          @,          0,       1745,         59,         66,         -1, 
2383 :          @,          0,       1746,         66,         73,         -1, 
2384 :          @,          0,       1747,         73,        999,         -1, 
2385 : mons_MK0010_100_clr1_NM_005,         16,       2427,          0,         86,         -1, 
2386 :          @,          0,       2428,         86,        999,         -1, 
2387 :          @,          0,       2527,          0,        999,         -1, 
2388 :          @,          0,       2543,          0,        106,         -1, 
2389 :          @,          0,       2544,        106,        120,         -1, 
2390 :          @,          0,       2545,        120,        999,         -1, 
2391 :          @,          0,       1748,          0,         67,         -1, 
2392 :          @,          0,       1749,         67,         74,         -1, 
2393 :          @,          0,       1750,         74,         81,         -1, 
2394 :          @,          0,       1751,         81,         89,         -1, 
2395 :          @,          0,       1752,         89,        999,         -1, 
2396 :          @,          0,       1758,          0,         77,         -1, 
2397 :          @,          0,       1759,         77,         85,         -1, 
2398 :          @,          0,       1760,         85,         92,         -1, 
2399 :          @,          0,       1761,         92,         98,         -1, 
2400 :          @,          0,       1762,         98,        999,         -1, 
2401 : mons_MK0010_100_clr2_00,         20,       2423,          0,         66,         -1, 
2402 :          @,          0,       2424,         66,         86,         -1, 
2403 :          @,          0,       2425,         86,        999,         -1, 
2404 :          @,          0,       2426,          0,         66,         -1, 
2405 :          @,          0,       2427,         66,         86,         -1, 
2406 :          @,          0,       2428,         86,        999,         -1, 
2407 :          @,          0,       2498,          0,         84,         -1, 
2408 :          @,          0,       2499,         84,         99,         -1, 
2409 :          @,          0,       2500,         99,        999,         -1, 
2410 :          @,          0,       2525,          0,         40,         -1, 
2411 :          @,          0,       2526,         40,         54,         -1, 
2412 :          @,          0,       2527,         54,        999,         -1, 
2413 :          @,          0,       2543,          0,        106,         -1, 
2414 :          @,          0,       2544,        106,        120,         -1, 
2415 :          @,          0,       2545,        120,        999,         -1, 
2416 :          @,          0,       1748,          0,         67,         -1, 
2417 :          @,          0,       1749,         67,         74,         -1, 
2418 :          @,          0,       1750,         74,         81,         -1, 
2419 :          @,          0,       1751,         81,         89,         -1, 
2420 :          @,          0,       1752,         89,        999,         -1, 
2421 : mons_MK0010_100_clr2_QE0470,         14,       2420,          0,         66,         -1, 
2422 :          @,          0,       2421,         66,         86,         -1, 
2423 :          @,          0,       2422,         86,        999,         -1, 
2424 :          @,          0,       2498,          0,         84,         -1, 
2425 :          @,          0,       2499,         84,         99,         -1, 
2426 :          @,          0,       2500,         99,        999,         -1, 
2427 :          @,          0,       2525,          0,         40,         -1, 
2428 :          @,          0,       2526,         40,         54,         -1, 
2429 :          @,          0,       2527,         54,        999,         -1, 
2430 :          @,          0,       1688,          0,         44,         -1, 
2431 :          @,          0,       1689,         44,         52,         -1, 
2432 :          @,          0,       1690,         52,         59,         -1, 
2433 :          @,          0,       1691,         59,         65,         -1, 
2434 :          @,          0,       1692,         65,        999,         -1, 
2435 : mons_MK0010_100_clr2_NM_006,         17,       2423,          0,         66,         -1, 
2436 :          @,          0,       2424,         66,         86,         -1, 
2437 :          @,          0,       2425,         86,        999,         -1, 
2438 :          @,          0,       2426,          0,         66,         -1, 
2439 :          @,          0,       2427,         66,         86,         -1, 
2440 :          @,          0,       2428,         86,        999,         -1, 
2441 :          @,          0,       2525,          0,         40,         -1, 
2442 :          @,          0,       2526,         40,         54,         -1, 
2443 :          @,          0,       2527,         54,        999,         -1, 
2444 :          @,          0,       2543,          0,        106,         -1, 
2445 :          @,          0,       2544,        106,        120,         -1, 
2446 :          @,          0,       2545,        120,        999,         -1, 
2447 :          @,          0,       1748,          0,         67,         -1, 
2448 :          @,          0,       1749,         67,         74,         -1, 
2449 :          @,          0,       1750,         74,         81,         -1, 
2450 :          @,          0,       1751,         81,         89,         -1, 
2451 :          @,          0,       1752,         89,        999,         -1, 
2452 : mons_MK0010_100_clr2_NM_007,         15,       2425,          0,        999,         -1, 
2453 :          @,          0,       2428,          0,        999,         -1, 
2454 :          @,          0,       2498,          0,         84,         -1, 
2455 :          @,          0,       2499,         84,         99,         -1, 
2456 :          @,          0,       2500,         99,        999,         -1, 
2457 :          @,          0,       2527,          0,        999,         -1, 
2458 :          @,          0,       2543,          0,        106,         -1, 
2459 :          @,          0,       2544,        106,        120,         -1, 
2460 :          @,          0,       2545,        120,        999,         -1, 
2461 :          @,          0,       1755,          0,         92,         -1, 
2462 :          @,          0,       1756,         92,         98,         -1, 
2463 :          @,          0,       1757,         98,        999,         -1, 
2464 :          @,          0,       1760,          0,         92,         -1, 
2465 :          @,          0,       1761,         92,         98,         -1, 
2466 :          @,          0,       1762,         98,        999,         -1, 
2467 : mons_MK0010_100_clr2_NM_008,          7,       2425,          0,        999,         -1, 
2468 :          @,          0,       2428,          0,        999,         -1, 
2469 :          @,          0,       2500,          0,        999,         -1, 
2470 :          @,          0,       2527,          0,        999,         -1, 
2471 :          @,          0,       2545,          0,        999,         -1, 
2472 :          @,          0,       2548,          0,        999,         -1, 
2473 :          @,          0,       1762,          0,        999,         -1, 
2474 : mons_ML0010_100_clr0_00,          7,       2429,         14,         31,         -1, 
2475 :          @,          0,       2430,         31,         45,         -1, 
2476 :          @,          0,       2431,         45,        999,         -1, 
2477 :          @,          0,       2495,          6,         25,         -1, 
2478 :          @,          0,       2496,         25,         39,         -1, 
2479 :          @,          0,       2497,         39,        999,         -1, 
2480 :          @,          0,         -1,         -1,         -1,        200, 
2481 : mons_ML0010_100_clr0_NM_001,          7,       2431,          0,        999,         -1, 
2482 :          @,          0,       2497,          0,        999,         -1, 
2483 :          @,          0,       1673,          0,         50,         -1, 
2484 :          @,          0,       1674,         50,         58,         -1, 
2485 :          @,          0,       1675,         58,         65,         -1, 
2486 :          @,          0,       1676,         65,         71,         -1, 
2487 :          @,          0,       1677,         71,        999,         -1, 
2488 : mons_ML0010_100_clr0_NM_002,          3,       2434,          0,        999,         -1, 
2489 :          @,          0,       2440,          0,        999,         -1, 
2490 :          @,          0,       2503,          0,        999,         -1, 
2491 : mons_ML0010_100_clr1_00,          7,       2429,          0,         31,         -1, 
2492 :          @,          0,       2430,         31,         45,         -1, 
2493 :          @,          0,       2431,         45,        999,         -1, 
2494 :          @,          0,       2438,         33,         58,         -1, 
2495 :          @,          0,       2439,         58,         71,         -1, 
2496 :          @,          0,       2440,         71,        999,         -1, 
2497 :          @,          0,         -1,         -1,         -1,        225, 
2498 : mons_ML0010_100_clr1_NM_003,         14,       2430,          0,         45,         -1, 
2499 :          @,          0,       2431,         45,        999,         -1, 
2500 :          @,          0,       1708,          0,         39,         -1, 
2501 :          @,          0,       1709,         39,         46,         -1, 
2502 :          @,          0,       1710,         46,         53,         -1, 
2503 :          @,          0,       1711,         53,         61,         -1, 
2504 :          @,          0,       1712,         61,        999,         -1, 
2505 :          @,          0,       1699,          0,         36,         -1, 
2506 :          @,          0,       1700,         36,         43,         -1, 
2507 :          @,          0,       1701,         43,         50,         -1, 
2508 :          @,          0,       1702,         50,        999,         -1, 
2509 :          @,          0,       1695,          0,         32,         -1, 
2510 :          @,          0,       1696,         32,         39,         -1, 
2511 :          @,          0,       1697,         39,        999,         -1, 
2512 : mons_ML0010_100_clr1_NM_004,          9,       2431,          0,        999,         -1, 
2513 :          @,          0,       2438,          0,         58,         -1, 
2514 :          @,          0,       2439,         58,         71,         -1, 
2515 :          @,          0,       2440,         71,        999,         -1, 
2516 :          @,          0,       1713,          0,         54,         -1, 
2517 :          @,          0,       1714,         54,         62,         -1, 
2518 :          @,          0,       1715,         62,         69,         -1, 
2519 :          @,          0,       1716,         69,         75,         -1, 
2520 :          @,          0,       1717,         75,        999,         -1, 
2521 : mons_ML0010_100_clr1_NM_005,          5,       2431,          0,        999,         -1, 
2522 :          @,          0,       2434,          0,        999,         -1, 
2523 :          @,          0,       2552,          0,        106,         -1, 
2524 :          @,          0,       2553,        106,        120,         -1, 
2525 :          @,          0,       2554,        120,        999,         -1, 
2526 : mons_ML0010_100_clr2_00,         13,       2432,         16,         46,         -1, 
2527 :          @,          0,       2433,         46,         61,         -1, 
2528 :          @,          0,       2434,         61,        999,         -1, 
2529 :          @,          0,       2438,         43,         58,         -1, 
2530 :          @,          0,       2439,         58,         71,         -1, 
2531 :          @,          0,       2440,         71,        999,         -1, 
2532 :          @,          0,       2495,         10,         25,         -1, 
2533 :          @,          0,       2496,         25,         39,         -1, 
2534 :          @,          0,       2497,         39,         51,         -1, 
2535 :          @,          0,       2528,         16,         66,         -1, 
2536 :          @,          0,       2529,         66,         79,         -1, 
2537 :          @,          0,       2530,         79,        999,         -1, 
2538 :          @,          0,         -1,         -1,         -1,        285, 
2539 : mons_ML0010_100_clr2_NM_006,          9,       2432,          0,         46,         -1, 
2540 :          @,          0,       2433,         46,         61,         -1, 
2541 :          @,          0,       2434,         61,        999,         -1, 
2542 :          @,          0,       2495,          0,         25,         -1, 
2543 :          @,          0,       2496,         25,         39,         -1, 
2544 :          @,          0,       2497,         39,        999,         -1, 
2545 :          @,          0,       2528,          0,         66,         -1, 
2546 :          @,          0,       2529,         66,         79,         -1, 
2547 :          @,          0,       2530,         79,        999,         -1, 
2548 : mons_ML0010_100_clr2_NM_007,          8,       2437,          0,        999,         -1, 
2549 :          @,          0,       2440,          0,        999,         -1, 
2550 :          @,          0,       2529,          0,         79,         -1, 
2551 :          @,          0,       2530,         79,        999,         -1, 
2552 :          @,          0,       1750,          0,         81,         -1, 
2553 :          @,          0,       1751,         81,         89,         -1, 
2554 :          @,          0,       1752,         89,        999,         -1, 
2555 :          @,          0,       1742,          0,        999,         -1, 
2556 : mons_ML0010_100_clr2_NM_008,         14,       2432,          0,         46,         -1, 
2557 :          @,          0,       2433,         46,         61,         -1, 
2558 :          @,          0,       2434,         61,        999,         -1, 
2559 :          @,          0,       2438,          0,         58,         -1, 
2560 :          @,          0,       2439,         58,         71,         -1, 
2561 :          @,          0,       2440,         71,        999,         -1, 
2562 :          @,          0,       2497,          0,        999,         -1, 
2563 :          @,          0,       2528,          0,         66,         -1, 
2564 :          @,          0,       2529,         66,         79,         -1, 
2565 :          @,          0,       2530,         79,        999,         -1, 
2566 :          @,          0,       1729,          0,         49,         -1, 
2567 :          @,          0,       1730,         49,         56,         -1, 
2568 :          @,          0,       1731,         56,         63,         -1, 
2569 :          @,          0,       1732,         63,        999,         -1, 
2570 : mons_ML0020_100_clr0_00,          9,       2441,          0,         31,         -1, 
2571 :          @,          0,       2442,         31,         45,         -1, 
2572 :          @,          0,       2443,         45,        999,         -1, 
2573 :          @,          0,       2447,          0,         46,         -1, 
2574 :          @,          0,       2448,         46,         61,         -1, 
2575 :          @,          0,       2449,         61,        999,         -1, 
2576 :          @,          0,       2495,          0,         25,         -1, 
2577 :          @,          0,       2496,         25,         39,         -1, 
2578 :          @,          0,       2497,         39,        999,         -1, 
2579 : mons_ML0020_100_clr0_NM_001,          8,       2446,          0,        999,         -1, 
