           km_,   km_namen,    km_help, km_st_type_st_type_15, km_st_type_st_type_14, km_st_type_st_type_13, km_st_type_st_type_12, km_st_type_st_type_11, km_st_type_st_type_10, km_st_type_st_type_9, km_st_type_st_type_8, km_st_type_st_type_7, km_st_type_st_type_6, km_st_type_st_type_5, km_st_type_st_type_4, km_st_type_st_type_3, km_st_type_st_type_2, km_st_type_st_type_1, km_st_type_st_type_0,   km_count, km_st_clr_st_clr_15, km_st_clr_st_clr_14, km_st_clr_st_clr_13, km_st_clr_st_clr_12, km_st_clr_st_clr_11, km_st_clr_st_clr_10, km_st_clr_st_clr_9, km_st_clr_st_clr_8, km_st_clr_st_clr_7, km_st_clr_st_clr_6, km_st_clr_st_clr_5, km_st_clr_st_clr_4, km_st_clr_st_clr_3, km_st_clr_st_clr_2, km_st_clr_st_clr_1, km_st_clr_st_clr_0,   km_stchk, km_st_seigyo_st_seigyo_15, km_st_seigyo_st_seigyo_14, km_st_seigyo_st_seigyo_13, km_st_seigyo_st_seigyo_12, km_st_seigyo_st_seigyo_11, km_st_seigyo_st_seigyo_10, km_st_seigyo_st_seigyo_9, km_st_seigyo_st_seigyo_8, km_st_seigyo_st_seigyo_7, km_st_seigyo_st_seigyo_6, km_st_seigyo_st_seigyo_5, km_st_seigyo_st_seigyo_4, km_st_seigyo_st_seigyo_3, km_st_seigyo_st_seigyo_2, km_st_seigyo_st_seigyo_1, km_st_seigyo_st_seigyo_0, km_act_ctrl_act_ctrl_31, km_act_ctrl_act_ctrl_30, km_act_ctrl_act_ctrl_29, km_act_ctrl_act_ctrl_28, km_act_ctrl_act_ctrl_27, km_act_ctrl_act_ctrl_26, km_act_ctrl_act_ctrl_25, km_act_ctrl_act_ctrl_24, km_act_ctrl_act_ctrl_23, km_act_ctrl_act_ctrl_22, km_act_ctrl_act_ctrl_21, km_act_ctrl_act_ctrl_20, km_act_ctrl_act_ctrl_19, km_act_ctrl_act_ctrl_18, km_act_ctrl_act_ctrl_17, km_act_ctrl_act_ctrl_16, km_act_ctrl_act_ctrl_15, km_act_ctrl_act_ctrl_14, km_act_ctrl_act_ctrl_13, km_act_ctrl_act_ctrl_12, km_act_ctrl_act_ctrl_11, km_act_ctrl_act_ctrl_10, km_act_ctrl_act_ctrl_9, km_act_ctrl_act_ctrl_8, km_act_ctrl_act_ctrl_7, km_act_ctrl_act_ctrl_6, km_act_ctrl_act_ctrl_5, km_act_ctrl_act_ctrl_4, km_act_ctrl_act_ctrl_3, km_act_ctrl_act_ctrl_2, km_act_ctrl_act_ctrl_1, km_act_ctrl_act_ctrl_0, km_prog_id_status_turn, km_prog_id_status_count, km_prog_id_status_prog, km_prog_id_status_prog_off, km_sort_id, km_menu_unitstatusinfo_on_text_id, km_menu_unitstatusinfo_on_text_id_one, km_menu_unitstatusinfo_off_text_id, km_menu_unitstatusinfo_off_text_id_one, km_enu_sequence_off_text_id, km_rend_model, km_rend_model_motion, km_font_pop_model, km_font_pop_model_mons, km_sp_script_id, km_sp_logic_id, km_unit_logic_act_no_target, km_unit_act_off, km_multi_react_off, km_unit_sp_damage_to_death_odds, km_unit_actx5, km_unit_invi_physics_num, km_unit_invi_magic_num, km_unit_offset_minus_damage, km_union_jin_offset, km_union_jin_no_vanguard, km_union_logic_act_target_change, km_union_logic_come_target, km_union_logic_no_lockup, km_union_offset_str, km_union_offset_int, km_union_offset_spd, km_union_offset_eq_ap, km_union_offset_eq_ac, km_union_offset_eq_guard, km_union_offset_apc, km_union_offset_act_ct_odds, km_union_offset_plus_damage, km_union_offset_minus_damage, 
55 : union_status_056,        120,        160,          1,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          3,          1,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         55,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        241,        255,        229,        230,         58,         -1,          0,         39,          1,         -1,         37,          0,        222,        606,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         15,          0,          0,          0,          0, 
56 : union_status_057,        121,        161,          0,          1,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          3,          1,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         56,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        241,        255,        231,        232,         59,         -1,          0,         40,          1,         -1,         38,          0,        223,        607,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        -15,          0,          0,          0,          0, 
57 : union_status_058,        122,        162,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         57,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        255,        255,        255,        255,          0,         -1,          0,         -1,          0,         -1,         -1,          0,         -1,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
58 : union_status_059,        123,        163,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         58,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        255,        255,        255,        255,          0,         -1,          0,         -1,          0,         -1,         -1,          0,         -1,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
59 : union_status_060,        124,        164,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         59,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        255,        255,        255,        255,          0,         -1,          0,         -1,          0,         -1,         -1,          0,         -1,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
60 : union_status_061,        125,        165,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         60,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        255,        255,        255,        255,          0,         -1,          0,         -1,          0,         -1,         -1,          0,         -1,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
61 : union_status_062,        126,        166,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         61,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        255,        255,        255,        255,          0,         -1,          0,         -1,          0,         -1,         -1,          0,         -1,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
62 : union_status_063,        127,        167,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         62,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        255,        255,        255,        255,          0,         -1,          0,         -1,          0,         -1,         -1,          0,         -1,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
63 : union_status_064,        128,        168,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,         63,          0,          1,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        255,        255,        255,        255,        180,         -1,          0,         -1,          0,         -1,         -1,          0,         -1,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 

