           km_,   km_namen,    km_help, km_categoryid,    km_icon,  km_sortid,   km_price,    km_sell, km_no_sell,  km_no_buy, km_no_menu, km_mons_dissec, km_continue_count, 
531 : breed_001_normal_006,        532,        532,         14,         56,      30005,       9800,         98,          0,          0,          0,          0,        100, 
532 : breed_001_uniq_001,        533,        533,         14,         56,      30050,       4900,         49,          0,          0,          0,          0,        100, 
533 : breed_001_uniq_002,        534,        534,         14,         56,      30051,       4900,         49,          0,          0,          0,          0,        100, 
534 : breed_001_uniq_003,        535,        535,         14,         56,      30052,       4900,         49,          0,          0,          0,          0,        100, 
535 : breed_001_uniq_004,        536,        536,         14,         56,      30053,       6650,         67,          0,          0,          0,          0,        100, 
536 : breed_001_uniq_005,        537,        537,         14,         56,      30054,       6650,         67,          0,          0,          0,          0,        100, 
537 : breed_001_uniq_006,        538,        538,         14,         56,      30055,       6650,         67,          0,          0,          0,          0,        100, 
538 : breed_002_normal_001,        539,        539,         14,         56,      30100,       3300,         33,          0,          0,          0,          0,        100, 
539 : breed_002_normal_002,        540,        540,         14,         56,      30101,       8415,         84,          0,          0,          0,          0,        100, 
540 : breed_002_normal_003,        541,        541,         14,         56,      30102,       9075,         91,          0,          0,          0,          0,        100, 
541 : breed_002_normal_004,        542,        542,         14,         56,      30103,      13200,        132,          0,          0,          0,          0,        100, 
542 : breed_002_normal_005,        543,        543,         14,         56,      30104,      36300,        363,          0,          0,          0,          0,        100, 
543 : breed_002_normal_006,        544,        544,         14,         56,      30105,      46200,        462,          0,          0,          0,          0,        100, 
544 : breed_002_uniq_001,        545,        545,         14,         56,      30150,      23100,        231,          0,          0,          0,          0,        100, 
545 : breed_002_uniq_002,        546,        546,         14,         56,      30151,      23100,        231,          0,          0,          0,          0,        100, 
546 : breed_002_uniq_003,        547,        547,         14,         56,      30152,      29700,        297,          0,          0,          0,          0,        100, 
547 : breed_003_normal_001,        548,        548,         14,         56,      30200,        650,          7,          0,          0,          0,          0,        100, 
548 : breed_003_normal_002,        549,        549,         14,         56,      30201,       1365,         14,          0,          0,          0,          0,        100, 
549 : breed_003_normal_003,        550,        550,         14,         56,      30202,       3575,         36,          0,          0,          0,          0,        100, 
550 : breed_003_normal_004,        551,        551,         14,         56,      30203,       3900,         39,          0,          0,          0,          0,        100, 
551 : breed_003_normal_005,        552,        552,         14,         56,      30204,      13000,        130,          0,          0,          0,          0,        100, 
552 : breed_003_normal_006,        553,        553,         14,         56,      30205,      18200,        182,          0,          0,          0,          0,        100, 
553 : breed_003_uniq_001,        554,        554,         14,         56,      30250,       7800,         78,          0,          0,          0,          1,        100, 
554 : breed_003_uniq_002,        555,        555,         14,         56,      30251,       9100,         91,          0,          0,          0,          1,        100, 
555 : breed_003_uniq_003,        556,        556,         14,         56,      30252,      10400,        104,          0,          0,          0,          1,        100, 
556 : breed_003_uniq_004,        557,        557,         14,         56,      30253,      12350,        124,          0,          0,          0,          1,        100, 
557 : breed_004_normal_001,        558,        558,         14,         56,      30300,        720,          7,          0,          0,          0,          0,        100, 
558 : breed_004_normal_002,        559,        559,         14,         56,      30301,       2232,         22,          0,          0,          0,          0,        100, 
559 : breed_004_normal_003,        560,        560,         14,         56,      30302,       3960,         40,          0,          0,          0,          0,        100, 
560 : breed_004_normal_004,        561,        561,         14,         56,      30303,       4320,         43,          0,          0,          0,          0,        100, 
561 : breed_004_normal_005,        562,        562,         14,         56,      30304,      15120,        151,          0,          0,          0,          0,        100, 
562 : breed_004_normal_006,        563,        563,         14,         56,      30305,      20160,        202,          0,          0,          0,          0,        100, 
563 : breed_004_uniq_001,        564,        564,         14,         56,      30350,      10080,        101,          0,          0,          0,          1,        100, 
564 : breed_004_uniq_002,        565,        565,         14,         56,      30351,      10080,        101,          0,          0,          0,          1,        100, 
565 : breed_004_uniq_003,        566,        566,         14,         56,      30352,      12240,        122,          0,          0,          0,          1,        100, 
566 : breed_004_uniq_005,        567,        567,         14,         56,      30354,      13680,        137,          0,          0,          0,          1,        100, 
567 : breed_005_normal_001,        568,        568,         14,         56,      30400,        860,          9,          0,          0,          0,          0,        100, 
568 : breed_005_normal_002,        569,        569,         14,         56,      30401,       2666,         27,          0,          0,          0,          0,        100, 
569 : breed_005_normal_003,        570,        570,         14,         56,      30402,       4730,         47,          0,          0,          0,          0,        100, 
570 : breed_005_normal_004,        571,        571,         14,         56,      30403,       5160,         52,          0,          0,          0,          0,        100, 
571 : breed_005_normal_005,        572,        572,         14,         56,      30404,      18920,        189,          0,          0,          0,          0,        100, 
572 : breed_005_normal_006,        573,        573,         14,         56,      30405,      24080,        241,          0,          0,          0,          0,        100, 
573 : breed_005_uniq_001,        574,        574,         14,         56,      30407,      11180,        112,          0,          0,          0,          1,        100, 
574 : breed_005_uniq_002,        575,        575,         14,         56,      30408,      12040,        120,          0,          0,          0,          1,        100, 
575 : breed_005_uniq_003,        576,        576,         14,         56,      30409,      13760,        138,          0,          0,          0,          0,        100, 
576 : breed_005_uniq_004,        577,        577,         14,         56,      30410,      15480,        155,          0,          0,          0,          1,        100, 
577 : breed_005_uniq_006,        578,        578,         14,         56,      30412,      19780,        198,          0,          0,          0,          1,        100, 
578 : breed_006_normal_001,        579,        579,         14,         56,      30500,       5580,         56,          0,          0,          0,          0,        100, 
579 : breed_006_normal_002,        580,        580,         14,         56,      30501,       5766,         58,          0,          0,          0,          1,        100, 
580 : breed_006_normal_003,        581,        581,         14,         56,      30502,      10230,        102,          0,          0,          0,          1,        100, 
581 : breed_006_normal_004,        582,        582,         14,         56,      30503,      11160,        112,          0,          0,          0,          0,        100, 
582 : breed_006_normal_005,        583,        583,         14,         56,      30504,      42780,        428,          0,          0,          0,          0,        100, 
583 : breed_006_normal_006,        584,        584,         14,         56,      30505,      52080,        521,          0,          0,          0,          0,        100, 
584 : breed_006_uniq_001,        585,        585,         14,         56,      30550,      26040,        260,          0,          0,          0,          1,        100, 
585 : breed_006_uniq_002,        586,        586,         14,         56,      30551,      27900,        279,          0,          0,          0,          1,        100, 
586 : breed_006_uniq_003,        587,        587,         14,         56,      30552,      29760,        298,          0,          0,          0,          1,        100, 
587 : breed_007_normal_001,        588,        588,         14,         56,      30600,       1560,         16,          0,          0,          0,          0,        100, 
588 : breed_007_normal_002,        589,        589,         14,         56,      30601,       1638,         16,          0,          0,          0,          1,        100, 
589 : breed_007_normal_003,        590,        590,         14,         56,      30602,       3510,         35,          0,          0,          0,          0,        100, 
590 : breed_007_normal_004,        591,        591,         14,         56,      30603,       3900,         39,          0,          0,          0,          1,        100, 
591 : breed_007_normal_005,        592,        592,         14,         56,      30604,      15600,        156,          0,          0,          0,          0,        100, 
592 : breed_007_normal_006,        593,        593,         14,         56,      30605,      21840,        218,          0,          0,          0,          0,        100, 
593 : breed_007_uniq_001,        594,        594,         14,         56,      30650,       9360,         94,          0,          0,          0,          0,        100, 
594 : breed_007_uniq_002,        595,        595,         14,         56,      30651,      12480,        125,          0,          0,          0,          1,        100, 
595 : breed_007_uniq_003,        596,        596,         14,         56,      30652,      13260,        133,          0,          0,          0,          1,        100, 
596 : breed_007_uniq_006,        597,        597,         14,         56,      30655,      16380,        164,          0,          0,          0,          1,        100, 
597 : breed_008_normal_001,        598,        598,         14,         56,      30700,       1040,         10,          0,          0,          0,          0,        100, 
598 : breed_008_normal_002,        599,        599,         14,         56,      30701,       2184,         22,          0,          0,          0,          0,        100, 
599 : breed_008_normal_003,        600,        600,         14,         56,      30702,       5720,         57,          0,          0,          0,          1,        100, 
600 : breed_008_normal_004,        601,        601,         14,         56,      30703,       6240,         62,          0,          0,          0,          0,        100, 
601 : breed_008_normal_005,        602,        602,         14,         56,      30704,      19760,        198,          0,          0,          0,          0,        100, 
602 : breed_008_normal_006,        603,        603,         14,         56,      30705,      29120,        291,          0,          0,          0,          0,        100, 
603 : breed_008_uniq_001,        604,        604,         14,         56,      30750,      14560,        146,          0,          0,          0,          1,        100, 
604 : breed_008_uniq_002,        605,        605,         14,         56,      30751,      16640,        166,          0,          0,          0,          1,        100, 
605 : breed_008_uniq_003,        606,        606,         14,         56,      30752,      17680,        177,          0,          0,          0,          1,        100, 
606 : breed_009_normal_001,        607,        607,         14,         56,      30800,       4600,         46,          0,          0,          0,          0,        100, 
607 : breed_009_normal_002,        608,        608,         14,         56,      30801,       4830,         48,          0,          0,          0,          0,        100, 
608 : breed_009_normal_003,        609,        609,         14,         56,      30802,      12650,        127,          0,          0,          0,          0,        100, 
609 : breed_009_normal_004,        610,        610,         14,         56,      30803,      13800,        138,          0,          0,          0,          0,        100, 
610 : breed_009_normal_005,        611,        611,         14,         56,      30804,      48300,        483,          0,          0,          0,          0,        100, 
611 : breed_009_normal_006,        612,        612,         14,         56,      30805,      64400,        644,          0,          0,          0,          0,        100, 
612 : breed_009_uniq_001,        613,        613,         14,         56,      30850,      25300,        253,          0,          0,          0,          1,        100, 
613 : breed_009_uniq_002,        614,        614,         14,         56,      30851,      27600,        276,          0,          0,          0,          1,        100, 
614 : breed_009_uniq_003,        615,        615,         14,         56,      30852,      41400,        414,          0,          0,          0,          0,        100, 
615 : breed_009_uniq_005,        616,        616,         14,         56,      30854,      39100,        391,          0,          0,          0,          1,        100, 
616 : breed_010_normal_001,        617,        617,         14,         56,      30900,       7000,         70,          0,          0,          0,          0,        100, 
617 : breed_010_normal_002,        618,        618,         14,         56,      30901,       7350,         74,          0,          0,          0,          1,        100, 
618 : breed_010_normal_003,        619,        619,         14,         56,      30902,      22750,        228,          0,          0,          0,          0,        100, 
619 : breed_010_normal_004,        620,        620,         14,         56,      30903,      24500,        245,          0,          0,          0,          1,        100, 
620 : breed_010_normal_005,        621,        621,         14,         56,      30904,      77000,        770,          0,          0,          0,          0,        100, 
621 : breed_010_normal_006,        622,        622,         14,         56,      30905,      98000,        980,          0,          0,          0,          0,        100, 
622 : breed_010_uniq_001,        623,        623,         14,         56,      30950,      38500,        385,          0,          0,          0,          1,        100, 
623 : breed_010_uniq_002,        624,        624,         14,         56,      30951,      42000,        420,          0,          0,          0,          1,        100, 
624 : breed_010_uniq_003,        625,        625,         14,         56,      30952,      59500,        595,          0,          0,          0,          1,        100, 
625 : breed_011_normal_001,        626,        626,         14,         56,      31000,        580,          6,          0,          0,          0,          0,        100, 
626 : breed_011_normal_002,        627,        627,         14,         56,      31001,       1218,         12,          0,          0,          0,          0,        100, 
627 : breed_011_normal_003,        628,        628,         14,         56,      31002,       3190,         32,          0,          0,          0,          0,        100, 
628 : breed_011_normal_004,        629,        629,         14,         56,      31003,       3480,         35,          0,          0,          0,          1,        100, 
629 : breed_011_normal_005,        630,        630,         14,         56,      31004,      11020,        110,          0,          0,          0,          0,        100, 
630 : breed_011_normal_006,        631,        631,         14,         56,      31005,      16240,        162,          0,          0,          0,          0,        100, 
631 : breed_011_uniq_001,        632,        632,         14,         56,      31050,       6960,         70,          0,          0,          0,          1,        100, 
632 : breed_011_uniq_002,        633,        633,         14,         56,      31051,       9280,         93,          0,          0,          0,          0,        100, 
633 : breed_011_uniq_003,        634,        634,         14,         56,      31052,       9860,         99,          0,          0,          0,          0,        100, 
634 : breed_012_normal_001,        635,        635,         14,         56,      31100,       2010,         20,          0,          0,          0,          0,        100, 
635 : breed_012_normal_002,        636,        636,         14,         56,      31101,       2077,         21,          0,          0,          0,          1,        100, 
636 : breed_012_normal_003,        637,        637,         14,         56,      31102,       4355,         44,          0,          0,          0,          0,        100, 
637 : breed_012_normal_004,        638,        638,         14,         56,      31103,       4690,         47,          0,          0,          0,          1,        100, 
638 : breed_012_normal_005,        639,        639,         14,         56,      31104,      14740,        147,          0,          0,          0,          0,        100, 
639 : breed_012_normal_006,        640,        640,         14,         56,      31105,      18760,        188,          0,          0,          0,          0,        100, 
640 : breed_012_uniq_001,        641,        641,         14,         56,      31150,       8040,         80,          0,          0,          0,          1,        100, 
641 : breed_012_uniq_002,        642,        642,         14,         56,      31151,      10050,        101,          0,          0,          0,          1,        100, 
642 : breed_012_uniq_003,        643,        643,         14,         56,      31152,      10720,        107,          0,          0,          0,          1,        100, 
643 : breed_012_uniq_004,        644,        644,         14,         56,      31153,      11390,        114,          0,          0,          0,          1,        100, 
644 : breed_012_uniq_006,        645,        645,         14,         56,      31155,      14070,        141,          0,          0,          0,          1,        100, 
645 : breed_013_normal_001,        646,        646,         14,         56,      31200,        960,         10,          0,          0,          0,          0,        100, 
646 : breed_013_normal_002,        647,        647,         14,         56,      31201,       1008,         10,          0,          0,          0,          0,        100, 
647 : breed_013_normal_003,        648,        648,         14,         56,      31202,       1680,         17,          0,          0,          0,          0,        100, 
648 : breed_013_normal_004,        649,        649,         14,         56,      31203,       1920,         19,          0,          0,          0,          0,        100, 
649 : breed_013_normal_005,        650,        650,         14,         56,      31204,       9600,         96,          0,          0,          0,          0,        100, 
650 : breed_013_normal_006,        651,        651,         14,         56,      31205,      13440,        134,          0,          0,          0,          0,        100, 
651 : breed_013_uniq_001,        652,        652,         14,         56,      31250,       5760,         58,          0,          0,          0,          1,        100, 
652 : breed_013_uniq_002,        653,        653,         14,         56,      31251,       7680,         77,          0,          0,          0,          1,        100, 
653 : breed_013_uniq_003,        654,        654,         14,         56,      31252,       7680,         77,          0,          0,          0,          1,        100, 
654 : breed_013_uniq_004,        655,        655,         14,         56,      31253,       8160,         82,          0,          0,          0,          1,        100, 
655 : breed_014_normal_001,        656,        656,         14,         56,      31300,        530,          5,          0,          0,          0,          0,        100, 
656 : breed_014_normal_002,        657,        657,         14,         56,      31301,       1113,         11,          0,          0,          0,          0,        100, 
657 : breed_014_normal_003,        658,        658,         14,         56,      31302,       2385,         24,          0,          0,          0,          0,        100, 
658 : breed_014_normal_004,        659,        659,         14,         56,      31303,       2650,         27,          0,          0,          0,          1,        100, 
659 : breed_014_normal_005,        660,        660,         14,         56,      31304,      10600,        106,          0,          0,          0,          0,        100, 
660 : breed_014_normal_006,        661,        661,         14,         56,      31305,      14840,        148,          0,          0,          0,          0,        100, 
661 : breed_014_uniq_001,        662,        662,         14,         56,      31350,       6360,         64,          0,          0,          0,          1,        100, 
662 : breed_014_uniq_002,        663,        663,         14,         56,      31351,       8480,         85,          0,          0,          0,          0,        100, 
663 : breed_014_uniq_003,        664,        664,         14,         56,      31352,       9540,         95,          0,          0,          0,          0,        100, 
664 : breed_014_uniq_005,        665,        665,         14,         56,      31354,      11130,        111,          0,          0,          0,          1,        100, 
665 : breed_015_normal_001,        666,        666,         14,         56,      31400,       6090,         61,          0,          0,          0,          0,        100, 
666 : breed_015_normal_002,        667,        667,         14,         56,      31401,       6293,         63,          0,          0,          0,          0,        100, 
667 : breed_015_normal_003,        668,        668,         14,         56,      31402,      13195,        132,          0,          0,          0,          0,        100, 
668 : breed_015_normal_004,        669,        669,         14,         56,      31403,      14210,        142,          0,          0,          0,          0,        100, 
669 : breed_015_normal_005,        670,        670,         14,         56,      31404,      42630,        426,          0,          0,          0,          0,        100, 
670 : breed_015_normal_006,        671,        671,         14,         56,      31405,      56840,        568,          0,          0,          0,          0,        100, 
671 : breed_015_uniq_001,        672,        672,         14,         56,      31450,      26390,        264,          0,          0,          0,          1,        100, 
672 : breed_015_uniq_002,        673,        673,         14,         56,      31451,      28420,        284,          0,          0,          0,          1,        100, 
673 : breed_015_uniq_003,        674,        674,         14,         56,      31452,      36540,        365,          0,          0,          0,          0,        100, 
674 : breed_016_normal_001,        675,        675,         14,         56,      31500,       3450,         35,          0,          0,          0,          0,        100, 
675 : breed_016_normal_002,        676,        676,         14,         56,      31501,       3565,         36,          0,          0,          0,          0,        100, 
676 : breed_016_normal_003,        677,        677,         14,         56,      31502,       6325,         63,          0,          0,          0,          1,        100, 
677 : breed_016_normal_004,        678,        678,         14,         56,      31503,       6900,         69,          0,          0,          0,          1,        100, 
678 : breed_016_normal_005,        679,        679,         14,         56,      31504,      23000,        230,          0,          0,          0,          0,        100, 
679 : breed_016_normal_006,        680,        680,         14,         56,      31505,      32200,        322,          0,          0,          0,          0,        100, 
680 : breed_016_uniq_001,        681,        681,         14,         56,      31550,      16100,        161,          0,          0,          0,          1,        100, 
681 : breed_016_uniq_002,        682,        682,         14,         56,      31551,      19550,        196,          0,          0,          0,          1,        100, 
682 : breed_016_uniq_003,        683,        683,         14,         56,      31552,      18400,        184,          0,          0,          0,          0,        100, 
683 : breed_017_normal_001,        684,        684,         14,         56,      31600,       2720,         27,          0,          0,          0,          0,        100, 
684 : breed_017_normal_002,        685,        685,         14,         56,      31601,       2856,         29,          0,          0,          0,          1,        100, 
685 : breed_017_normal_003,        686,        686,         14,         56,      31602,       7480,         75,          0,          0,          0,          0,        100, 
686 : breed_017_normal_004,        687,        687,         14,         56,      31603,       8160,         82,          0,          0,          0,          0,        100, 
687 : breed_017_normal_005,        688,        688,         14,         56,      31604,      29920,        299,          0,          0,          0,          0,        100, 
688 : breed_017_normal_006,        689,        689,         14,         56,      31605,      38080,        381,          0,          0,          0,          0,        100, 
689 : breed_017_uniq_001,        690,        690,         14,         56,      31650,      19040,        190,          0,          0,          0,          1,        100, 
690 : breed_017_uniq_002,        691,        691,         14,         56,      31651,      21760,        218,          0,          0,          0,          0,        100, 
691 : breed_017_uniq_003,        692,        692,         14,         56,      31652,      21760,        218,          0,          0,          0,          1,        100, 
692 : breed_018_normal_001,        693,        693,         14,         56,      31700,       5700,         57,          0,          0,          0,          1,        100, 
693 : breed_018_normal_002,        694,        694,         14,         56,      31701,       5985,         60,          0,          0,          0,          0,        100, 
694 : breed_018_normal_003,        695,        695,         14,         56,      31702,      12825,        128,          0,          0,          0,          0,        100, 
695 : breed_018_normal_004,        696,        696,         14,         56,      31703,      14250,        143,          0,          0,          0,          0,        100, 
696 : breed_018_normal_005,        697,        697,         14,         56,      31704,      57000,        570,          0,          0,          0,          0,        100, 
697 : breed_018_normal_006,        698,        698,         14,         56,      31705,      79800,        798,          0,          0,          0,          0,        100, 
698 : breed_018_uniq_001,        699,        699,         14,         56,      31750,      34200,        342,          0,          0,          0,          1,        100, 
699 : breed_018_uniq_002,        700,        700,         14,         56,      31751,      39900,        399,          0,          0,          0,          1,        100, 
700 : breed_018_uniq_003,        701,        701,         14,         56,      31752,      48450,        485,          0,          0,          0,          1,        100, 
701 : breed_018_uniq_004,        702,        702,         14,         56,      31753,      54150,        542,          0,          0,          0,          1,        100, 
702 : breed_018_uniq_005,        703,        703,         14,         56,      31754,      54150,        542,          0,          0,          0,          1,        100, 
703 : breed_018_uniq_006,        704,        704,         14,         56,      31755,      59850,        599,          0,          0,          0,          1,        100, 
704 : breed_019_normal_001,        705,        705,         14,         56,      31800,       1920,         19,          0,          0,          0,          0,        100, 
705 : breed_019_normal_002,        706,        706,         14,         56,      31801,       2016,         20,          0,          0,          0,          0,        100, 
706 : breed_019_normal_003,        707,        707,         14,         56,      31802,       4320,         43,          0,          0,          0,          1,        100, 
707 : breed_019_normal_004,        708,        708,         14,         56,      31803,       4800,         48,          0,          0,          0,          0,        100, 
708 : breed_019_normal_005,        709,        709,         14,         56,      31804,      19200,        192,          0,          0,          0,          0,        100, 
709 : breed_019_normal_006,        710,        710,         14,         56,      31805,      26880,        269,          0,          0,          0,          0,        100, 
710 : breed_019_uniq_001,        711,        711,         14,         56,      31850,      10560,        106,          0,          0,          0,          1,        100, 
711 : breed_019_uniq_002,        712,        712,         14,         56,      31851,      14400,        144,          0,          0,          0,          0,        100, 
712 : breed_019_uniq_003,        713,        713,         14,         56,      31852,      15360,        154,          0,          0,          0,          1,        100, 
713 : breed_019_uniq_007,        714,        714,         14,         56,      31856,      20160,        202,          0,          0,          0,          1,        100, 
714 : breed_020_normal_001,        715,        715,         14,         56,      31900,        800,          8,          0,          0,          0,          0,        100, 
715 : breed_020_normal_002,        716,        716,         14,         56,      31901,       1680,         17,          0,          0,          0,          0,        100, 
716 : breed_020_normal_003,        717,        717,         14,         56,      31902,       4400,         44,          0,          0,          0,          0,        100, 
717 : breed_020_normal_004,        718,        718,         14,         56,      31903,       4800,         48,          0,          0,          0,          0,        100, 
718 : breed_020_normal_005,        719,        719,         14,         56,      31904,      16800,        168,          0,          0,          0,          0,        100, 
719 : breed_020_normal_006,        720,        720,         14,         56,      31905,      22400,        224,          0,          0,          0,          0,        100, 
720 : breed_020_uniq_001,        721,        721,         14,         56,      31950,       8800,         88,          0,          0,          0,          1,        100, 
721 : breed_020_uniq_002,        722,        722,         14,         56,      31951,      11200,        112,          0,          0,          0,          1,        100, 
722 : breed_020_uniq_003,        723,        723,         14,         56,      31952,      12800,        128,          0,          0,          0,          1,        100, 
723 : breed_020_uniq_005,        724,        724,         14,         56,      31954,      17600,        176,          0,          0,          0,          1,        100, 
724 : breed_021_normal_001,        725,        725,         14,         56,      32000,       3400,         34,          0,          0,          0,          0,        100, 
725 : breed_021_normal_002,        726,        726,         14,         56,      32001,       5270,         53,          0,          0,          0,          0,        100, 
726 : breed_021_normal_003,        727,        727,         14,         56,      32002,      11050,        111,          0,          0,          0,          1,        100, 
727 : breed_021_normal_004,        728,        728,         14,         56,      32003,      11900,        119,          0,          0,          0,          0,        100, 
728 : breed_021_normal_005,        729,        729,         14,         56,      32004,      37400,        374,          0,          0,          0,          0,        100, 
729 : breed_021_normal_006,        730,        730,         14,         56,      32005,      47600,        476,          0,          0,          0,          0,        100, 
730 : breed_021_uniq_001,        731,        731,         14,         56,      32050,      23800,        238,          0,          0,          0,          1,        100, 
731 : breed_021_uniq_002,        732,        732,         14,         56,      32051,      25500,        255,          0,          0,          0,          1,        100, 
732 : breed_021_uniq_003,        733,        733,         14,         56,      32052,      28900,        289,          0,          0,          0,          1,        100, 
733 : breed_022_normal_001,        734,        734,         14,         56,      32100,       9800,         98,          0,          0,          0,          0,        100, 
734 : breed_022_normal_002,        735,        735,         14,         56,      32101,      20580,        206,          0,          0,          0,          0,        100, 
735 : breed_022_normal_003,        736,        736,         14,         56,      32102,      34300,        343,          0,          0,          0,          1,        100, 
736 : breed_022_normal_004,        737,        737,         14,         56,      32103,      58800,        588,          0,          0,          0,          0,        100, 
737 : breed_022_normal_005,        738,        738,         14,         56,      32104,     215600,       2156,          0,          0,          0,          0,        100, 
738 : breed_022_normal_006,        739,        739,         14,         56,      32105,     274400,       2744,          0,          0,          0,          0,        100, 
739 : breed_022_uniq_001,        740,        740,         14,         56,      32150,     117600,       1176,          0,          0,          0,          1,        100, 
740 : breed_022_uniq_002,        741,        741,         14,         56,      32151,     137200,       1372,          0,          0,          0,          1,        100, 
741 : breed_022_uniq_003,        742,        742,         14,         56,      32152,     176400,       1764,          0,          0,          0,          1,        100, 
742 : breed_023_normal_001,        743,        743,         14,         56,      32200,      54000,        540,          0,          0,          0,          0,        100, 
743 : breed_023_normal_002,        744,        744,         14,         56,      32201,      55800,        558,          0,          0,          0,          0,        100, 
744 : breed_023_normal_003,        745,        745,         14,         56,      32202,      99000,        990,          0,          0,          0,          1,        100, 
745 : breed_023_normal_004,        746,        746,         14,         56,      32203,     108000,       1080,          0,          0,          0,          1,        100, 
746 : breed_023_normal_005,        747,        747,         14,         56,      32204,     396000,       3960,          0,          0,          0,          0,        100, 
747 : breed_023_normal_006,        748,        748,         14,         56,      32205,     504000,       5040,          0,          0,          0,          0,        100, 
748 : breed_023_uniq_001,        749,        749,         14,         56,      32250,     216000,       2160,          0,          0,          0,          1,        100, 
749 : breed_023_uniq_002,        750,        750,         14,         56,      32251,     288000,       2880,          0,          0,          0,          1,        100, 
750 : breed_023_uniq_003,        751,        751,         14,         56,      32252,     324000,       3240,          0,          0,          0,          1,        100, 
751 : breed_024_normal_001,        752,        752,         14,         56,      32300,       4800,         48,          0,          0,          0,          0,        100, 
752 : breed_024_normal_002,        753,        753,         14,         56,      32301,       4960,         50,          0,          0,          0,          0,        100, 
753 : breed_024_normal_003,        754,        754,         14,         56,      32302,       8800,         88,          0,          0,          0,          0,        100, 
754 : breed_024_normal_004,        755,        755,         14,         56,      32303,       9600,         96,          0,          0,          0,          1,        100, 
755 : breed_024_normal_005,        756,        756,         14,         56,      32304,      33600,        336,          0,          0,          0,          0,        100, 
756 : breed_024_normal_006,        757,        757,         14,         56,      32305,      44800,        448,          0,          0,          0,          0,        100, 
757 : breed_024_uniq_001,        758,        758,         14,         56,      32350,      19200,        192,          0,          0,          0,          0,        100, 
758 : breed_024_uniq_002,        759,        759,         14,         56,      32351,      24000,        240,          0,          0,          0,          0,        100, 
759 : breed_024_uniq_003,        760,        760,         14,         56,      32352,      27200,        272,          0,          0,          0,          0,        100, 
760 : breed_025_normal_001,        761,        761,         14,         56,      32400,       9300,         93,          0,          0,          0,          0,        100, 
761 : breed_025_normal_002,        762,        762,         14,         56,      32401,       9610,         96,          0,          0,          0,          0,        100, 
762 : breed_025_normal_003,        763,        763,         14,         56,      32402,      13950,        140,          0,          0,          0,          0,        100, 
763 : breed_025_normal_004,        764,        764,         14,         56,      32403,      15500,        155,          0,          0,          0,          0,        100, 
764 : breed_025_normal_005,        765,        765,         14,         56,      32404,      71300,        713,          0,          0,          0,          0,        100, 
765 : breed_025_normal_006,        766,        766,         14,         56,      32405,      86800,        868,          0,          0,          0,          0,        100, 
766 : breed_025_uniq_001,        767,        767,         14,         56,      32450,      43400,        434,          0,          0,          0,          0,        100, 
767 : breed_025_uniq_002,        768,        768,         14,         56,      32451,      43400,        434,          0,          0,          0,          0,        100, 
768 : breed_025_uniq_003,        769,        769,         14,         56,      32452,      46500,        465,          0,          0,          0,          0,        100, 
769 : breed_025_uniq_006,        770,        770,         14,         56,      32455,      62000,        620,          0,          0,          0,          0,        100, 
770 : breed_026_normal_001,        771,        771,         14,         56,      32500,      20100,        201,          0,          0,          0,          0,        100, 
771 : breed_026_normal_003,        772,        772,         14,         56,      32502,      36850,        369,          0,          0,          0,          0,        100, 
772 : breed_026_normal_005,        773,        773,         14,         56,      32504,     134000,       1340,          0,          0,          0,          0,        100, 
773 : breed_026_normal_006,        774,        774,         14,         56,      32505,     187600,       1876,          0,          0,          0,          0,        100, 
774 : breed_026_uniq_001,        775,        775,         14,         56,      32550,      93800,        938,          0,          0,          0,          1,        100, 
775 : breed_026_uniq_002,        776,        776,         14,         56,      32551,     107200,       1072,          0,          0,          0,          0,        100, 
776 : breed_026_uniq_003,        777,        777,         14,         56,      32552,     120600,       1206,          0,          0,          0,          1,        100, 
777 : breed_027_normal_001,        778,        778,         14,         56,      32600,     340000,       3400,          0,          0,          0,          0,        100, 
778 : breed_027_normal_002,        779,        779,         14,         56,      32601,     346800,       3468,          0,          0,          0,          0,        100, 
779 : breed_027_normal_003,        780,        780,         14,         56,      32602,     578000,       5780,          0,          0,          0,          1,        100, 
780 : breed_027_normal_004,        781,        781,         14,         56,      32603,     612000,       6120,          0,          0,          0,          1,        100, 
781 : breed_027_normal_005,        782,        782,         14,         56,      32604,     800000,       8000,          0,          0,          0,          0,        100, 
782 : breed_027_normal_006,        783,        783,         14,         56,      32605,     950000,       9500,          0,          0,          0,          0,        100, 
783 : breed_027_uniq_001,        784,        784,         14,         56,      32650,     952000,       9520,          0,          0,          0,          1,        100, 
784 : breed_027_uniq_002,        785,        785,         14,         56,      32651,     952000,       9520,          0,          0,          0,          1,        100, 
785 : breed_027_uniq_003,        786,        786,         14,         56,      32652,     950000,       9500,          0,          0,          0,          1,        100, 
786 : breed_027_uniq_007,        787,        787,         14,         56,      32656,     960000,       9600,          0,          0,          0,          1,        100, 
787 : breed_027_uniq_008,        788,        788,         14,         56,      32657,     970000,       9700,          0,          0,          0,          1,        100, 
788 : breed_027_uniq_009,        789,        789,         14,         56,      32658,     980000,       9800,          0,          0,          0,          1,        100, 
789 : breed_028_normal_001,        790,        790,         14,         56,      32800,       8700,         87,          0,          0,          0,          1,        100, 
790 : breed_028_normal_002,        791,        791,         14,         56,      32801,       8990,         90,          0,          0,          0,          0,        100, 
