           km_,   km_namen,    km_help, km_jin_type,  km_jin_lv, km_argument, km_need_daiji, km_need_hero01, km_need_hero02, km_need_hero03, km_need_hero04, km_need_hero05, km_need_hero06, km_need_hero07, km_need_hero08, km_need_hero09, km_need_hero10, km_need_hero11, km_need_hero12, km_need_hero13, km_jin_formation, km_selected_front_ratio, km_add_select_front_ratio, km_add_impress_1, km_add_impress_2, km_add_para_butsu_ap_1, km_add_para_butsu_ac_1, km_add_para_mgc_ap_1, km_add_para_mgc_ac_1, km_add_para_str_1, km_add_para_int_1, km_add_para_spd_1, km_add_para_butsu_ap_2, km_add_para_butsu_ac_2, km_add_para_mgc_ap_2, km_add_para_mgc_ac_2, km_add_para_str_2, km_add_para_int_2, km_add_para_spd_2, km_add_para_butsu_ap_3, km_add_para_butsu_ac_3, km_add_para_mgc_ap_3, km_add_para_mgc_ac_3, km_add_para_str_3, km_add_para_int_3, km_add_para_spd_3, km_add_para_butsu_ap_4, km_add_para_butsu_ac_4, km_add_para_mgc_ap_4, km_add_para_mgc_ac_4, km_add_para_str_4, km_add_para_int_4, km_add_para_spd_4, km_add_para_butsu_ap_5, km_add_para_butsu_ac_5, km_add_para_mgc_ap_5, km_add_para_mgc_ac_5, km_add_para_str_5, km_add_para_int_5, km_add_para_spd_5, 
157 : mahou_attack_type_M_002,        158,         53,         47,          2,          0,    8913254,          0,          2,          0,          0,          0,          0,          0,          0,          0,          0,          5,          0,          0,        165,         90,          0,        127,        127,        100,        100,        120,        100,        100,        120,        100,         61,        115,         61,        115,        100,        100,         61,         61,        115,         61,        115,        100,        100,         61,         61,        115,         61,        115,        100,        100,         61,         61,        115,         61,        115,        100,        100,         61, 
158 : mahou_attack_type_M_003,        159,         53,         47,          3,          0,    8913254,          2,          2,          0,          0,          0,          0,          0,          0,          0,          0,          5,          0,          0,        165,         90,          0,        128,        128,        100,        100,        130,        100,        100,        130,        100,         62,        120,         62,        120,        100,        100,         62,         62,        120,         62,        120,        100,        100,         62,         62,        120,         62,        120,        100,        100,         62,         62,        120,         62,        120,        100,        100,         62, 
159 : mahou_attack_type_O_001,        160,         54,         48,          1,          0,    8913255,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        170,         80,          0,         -1,         -1,        100,        100,        100,        100,        100,        105,        100,        100,        105,        100,        100,        100,        100,         50,        100,        105,        100,        100,        100,        100,         50,        100,        100,        110,        100,        100,        100,        100,        100,        100,        110,        100,        100,        100,        100, 
160 : mahou_attack_type_O_002,        161,         54,         48,          2,          0,    8913255,          2,          0,          0,          0,          0,          0,          0,          1,          0,          0,          3,          0,          0,        170,         80,          0,         -1,         -1,        100,        100,        100,        100,        100,        108,        100,        100,        108,        100,        100,        100,        100,         51,        100,        108,        100,        100,        100,        100,         51,        100,        100,        120,        100,        100,        100,        100,        100,        100,        120,        100,        100,        100,        100, 
161 : mahou_attack_type_O_003,        162,         54,         48,          3,          0,    8913255,          3,          0,          0,          0,          0,          0,          0,          2,          0,          0,          4,          0,          0,        170,         80,          0,         -1,         -1,        100,        100,        100,        100,        100,        110,        100,        100,        110,        100,        100,        100,        100,         52,        100,        110,        100,        100,        100,        100,         52,        100,        100,        130,        100,        100,        100,        100,        100,        100,        130,        100,        100,        100,        100, 
162 : mahou_attack_type_P_001,        163,         55,         48,          4,          0,    8913256,          3,          1,          0,          0,          0,          0,          0,          3,          0,          0,          5,          0,          0,        170,         80,          0,        384,        384,        100,        100,        100,        100,        100,        113,        100,        100,        113,        100,        100,        100,        100,         53,        100,        113,        100,        100,        100,        100,         53,        100,        100,        135,        100,        100,        100,        100,        100,        100,        135,        100,        100,        100,        100, 
163 : mahou_attack_type_P_002,        164,         55,         48,          5,          0,    8913256,          3,          1,          0,          0,          0,          0,          0,          4,          0,          0,          5,          0,          0,        170,         80,          0,        385,        385,        100,        100,        100,        100,        100,        115,        100,        100,        115,        100,        100,        100,        100,         54,        100,        115,        100,        100,        100,        100,         54,        100,        100,        140,        100,        100,        100,        100,        100,        100,        140,        100,        100,        100,        100, 
164 : mahou_attack_type_P_003,        165,         55,         48,          6,          0,    8913256,          3,          1,          0,          0,          0,          0,          0,          5,          0,          0,          5,          0,          0,        170,         80,          0,        386,        386,        100,        100,        100,        100,        100,        120,        100,        100,        120,        100,        100,        100,        100,         55,        100,        120,        100,        100,        100,        100,         55,        100,        100,        145,        100,        100,        100,        100,        100,        100,        145,        100,        100,        100,        100, 
165 : mahou_attack_type_Q_001,        166,         56,         49,          1,          0,    8913257,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        175,         80,          0,        399,        399,        100,        100,        100,        100,        100,        100,        105,        100,        100,        100,        100,        105,        105,        100,        100,        100,        105,        100,        100,        100,        100,        100,         40,        105,         40,        100,        105,        100,        100,         40,        105,         40,        100,        105,        100, 
166 : mahou_attack_type_Q_002,        167,         56,         49,          2,          0,    8913257,          2,          0,          0,          0,          0,          0,          0,          0,          0,          0,          3,          0,          0,        175,         80,          0,        400,        400,        100,        100,        100,        100,        100,        100,        108,        100,        100,        100,        100,        108,        108,        100,        100,        100,        108,        100,        100,        100,        100,        100,         41,        108,         41,        100,        108,        100,        100,         41,        108,         41,        100,        108,        100, 
167 : mahou_attack_type_Q_003,        168,         56,         49,          3,          0,    8913257,          3,          0,          0,          0,          0,          0,          0,          0,          0,          0,          4,          0,          0,        175,         80,          0,        401,        401,        100,        100,        100,        100,        100,        100,        110,        100,        100,        100,        100,        110,        110,        100,        100,        100,        110,        100,        100,        100,        100,        100,         42,        110,         42,        100,        110,        100,        100,         42,        110,         42,        100,        110,        100, 
168 : mahou_attack_type_R_001,        169,         57,         49,          4,          0,    8913258,          3,          0,          0,          1,          0,          0,          0,          0,          0,          0,          5,          0,          0,        175,         80,          0,         -1,         -1,        100,        100,        100,        100,        100,        100,        113,        100,        100,        100,        100,        113,        113,        100,        100,        100,        113,        100,        100,        100,        100,        100,         43,        113,         43,        100,        113,        100,        100,         43,        113,         43,        100,        113,        100, 
169 : mahou_attack_type_R_002,        170,         57,         49,          5,          0,    8913258,          3,          0,          0,          2,          0,          0,          0,          0,          0,          0,          5,          0,          0,        175,         80,          0,         -1,         -1,        100,        100,        100,        100,        100,        100,        115,        100,        100,        100,        100,        115,        115,        100,        100,        100,        115,        100,        100,        100,        100,        100,         44,        115,         44,        100,        115,        100,        100,         44,        115,         44,        100,        115,        100, 
170 : mahou_attack_type_R_003,        171,         57,         49,          6,          0,    8913258,          3,          0,          0,          3,          0,          0,          0,          0,          0,          0,          5,          0,          0,        175,         80,          0,         -1,         -1,        100,        100,        100,        100,        100,        100,        120,        100,        100,        100,        100,        120,        120,        100,        100,        100,        120,        100,        100,        100,        100,        100,         45,        120,         45,        100,        120,        100,        100,         45,        120,         45,        100,        120,        100, 
171 : mahou_attack_type_S_001,        172,         58,         49,          7,          0,    8913259,          4,          0,          0,          4,          0,          0,          0,          0,          0,          0,          5,          0,          0,        175,         80,          0,        156,        156,        100,        100,        100,        100,        100,        100,        125,        100,        100,        100,        100,        125,        125,        100,        100,        100,        125,        100,        100,        100,        100,        100,         46,        125,         46,        100,        125,        100,        100,         46,        125,         46,        100,        125,        100, 
172 : mahou_attack_type_S_002,        173,         58,         49,          8,          0,    8913259,          4,          0,          1,          5,          0,          0,          0,          0,          0,          0,          5,          0,          0,        175,         80,          0,        157,        157,        100,        100,        100,        100,        100,        100,        130,        100,        100,        100,        100,        130,        130,        100,        100,        100,        130,        100,        100,        100,        100,        100,         47,        130,         47,        100,        130,        100,        100,         47,        130,         47,        100,        130,        100, 
173 : mahou_attack_type_S_003,        174,         58,         49,          9,          0,    8913259,          4,          0,          2,          5,          0,          0,          1,          0,          0,          0,          5,          0,          0,        175,         80,          0,        158,        158,        100,        100,        100,        100,        100,        100,        135,        100,        100,        100,        100,        135,        135,        100,        100,        100,        135,        100,        100,        100,        100,        100,         48,        135,         48,        100,        135,        100,        100,         48,        135,         48,        100,        135,        100, 
174 : mahou_attack_type_T_001,        175,         59,         50,          1,          0,    8913260,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        180,         67,          0,        186,        186,        100,        113,        100,        113,        113,        100,        100,        100,          0,        100,          0,        100,        100,        100,        100,          0,        100,          0,        100,        100,        100,        100,        100,        113,        100,        100,        100,        100,        100,        100,        113,        100,        100,        100,        100, 
175 : mahou_attack_type_T_002,        176,         59,         50,          2,          0,    8913260,          2,          0,          0,          0,          3,          0,          0,          0,          0,          0,          3,          0,          0,        180,         67,          0,        187,        187,        100,        115,        100,        115,        115,        100,        100,        100,          0,        100,          0,        100,        100,        100,        100,          0,        100,          0,        100,        100,        100,        100,        100,        115,        100,        100,        100,        100,        100,        100,        115,        100,        100,        100,        100, 
176 : mahou_attack_type_T_003,        177,         59,         50,          3,          0,    8913260,          4,          0,          0,          0,          5,          0,          0,          0,          0,          0,          5,          0,          0,        180,         67,          0,        188,        188,        100,        120,        100,        120,        120,        100,        100,        100,          0,        100,          0,        100,        100,        100,        100,          0,        100,          0,        100,        100,        100,        100,        100,        120,        100,        100,        100,        100,        100,        100,        120,        100,        100,        100,        100, 
177 : mahou_attack_type_U_001,        178,         60,         51,          1,          0,    8913261,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        185,         90,          0,         -1,         -1,        100,        100,        120,        100,        100,        120,        120,         30,        100,        100,        100,         30,        100,        100,         30,        100,        100,        100,        100,        100,        100,        100,        100,        120,        100,        100,        100,        100,        100,        100,        120,        100,        100,        100,        100, 
178 : mahou_attack_type_U_002,        179,         60,         51,          2,          0,    8913261,          3,          0,          0,          1,          1,          0,          0,          0,          0,          0,          4,          0,          0,        185,         90,          0,         -1,         -1,        100,        100,        125,        100,        100,        125,        125,         35,        100,        100,        100,         35,        100,        100,         35,        100,        100,        100,        100,        100,        100,        100,        100,        125,        100,        100,        100,        100,        100,        100,        125,        100,        100,        100,        100, 
179 : mahou_attack_type_U_003,        180,         60,         51,          3,          0,    8913261,          4,          0,          0,          2,          2,          1,          1,          1,          1,          0,          5,          0,          0,        185,         90,          0,         -1,         -1,        100,        100,        130,        100,        100,        130,        130,         40,        100,        100,        100,         40,        100,        100,         40,        100,        100,        100,        100,        100,        100,        100,        100,        130,        100,        100,        100,        100,        100,        100,        130,        100,        100,        100,        100, 
180 : mahou_attack_type_V_001,        181,         61,         52,          1,          0,    8913262,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        190,          0,          0,        404,        404,        120,        120,        120,        120,        105,        105,        105,        100,        100,        100,        100,         30,         30,         30,        100,        100,        100,        100,         30,         30,         30,        100,        100,        100,        100,         30,         30,         30,        100,        100,        100,        100,         30,         30,         30, 
181 : mahou_attack_type_V_002,        182,         61,         52,          2,          0,    8913262,          3,          0,          0,          0,          0,          1,          1,          1,          1,          0,          5,          0,          0,        190,          0,          0,        405,        405,        130,        130,        130,        130,        110,        110,        110,        100,        100,        100,        100,         35,         35,         35,        100,        100,        100,        100,         35,         35,         35,        100,        100,        100,        100,         35,         35,         35,        100,        100,        100,        100,         35,         35,         35, 
182 : mahou_attack_type_V_003,        183,         61,         52,          3,          0,    8913262,          4,          0,          0,          0,          0,          1,          1,          1,          1,          0,          5,          5,          0,        190,          0,          0,        406,        406,        140,        140,        140,        140,        115,        115,        115,        100,        100,        100,        100,         40,         40,         40,        100,        100,        100,        100,         40,         40,         40,        100,        100,        100,        100,         40,         40,         40,        100,        100,        100,        100,         40,         40,         40, 
183 : butsu_guard_type_A_001,        184,         62,         60,          1,          0,    8913263,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        195,         67,          0,        314,        314,        100,        105,        100,        105,        100,        100,         60,        100,        105,        100,        100,        100,        100,        100,        100,        105,        100,        100,        100,        100,        100,        100,        100,        100,        105,        100,        100,         60,        100,        100,        100,        105,        100,        100,         60, 
184 : butsu_guard_type_A_002,        185,         62,         60,          2,          0,    8913263,          2,          0,          0,          0,          0,          0,          0,          0,          0,          3,          0,          0,          0,        195,         67,          0,        315,        315,        100,        108,        100,        108,        100,        100,         61,        100,        108,        100,        100,        100,        100,        100,        100,        108,        100,        100,        100,        100,        100,        100,        100,        100,        108,        100,        100,         61,        100,        100,        100,        108,        100,        100,         61, 
185 : butsu_guard_type_A_003,        186,         62,         60,          3,          0,    8913263,          4,          0,          0,          0,          0,          0,          0,          0,          0,          5,          0,          0,          0,        195,         67,          0,        316,        316,        100,        110,        100,        110,        100,        100,         62,        100,        110,        100,        100,        100,        100,        100,        100,        110,        100,        100,        100,        100,        100,        100,        100,        100,        110,        100,        100,         62,        100,        100,        100,        110,        100,        100,         62, 
186 : butsu_guard_type_B_001,        187,         63,         61,          1,          0,    8913264,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        200,         80,          0,        141,        141,         50,        105,         50,        105,        100,        100,        100,        100,        105,        100,        100,        100,        100,         50,        100,        105,        100,        100,        100,        100,        100,        100,        105,        100,        100,        100,        100,         50,        100,        100,        100,        100,        100,        100,        100, 
187 : butsu_guard_type_B_002,        188,         63,         61,          2,          0,    8913264,          1,          1,          0,          0,          0,          0,          0,          0,          0,          3,          0,          0,          0,        200,         80,          0,        142,        142,         51,        108,         51,        108,        100,        100,        100,        100,        108,        100,        100,        100,        100,         51,        100,        108,        100,        100,        100,        100,        100,        100,        108,        100,        100,        100,        100,         51,        100,        100,        100,        100,        100,        100,        100, 
188 : butsu_guard_type_B_003,        189,         63,         61,          3,          0,    8913264,          2,          1,          0,          0,          0,          0,          0,          0,          0,          4,          0,          0,          0,        200,         80,          0,        143,        143,         52,        110,         52,        110,        100,        100,        100,        100,        110,        100,        100,        100,        100,         52,        100,        110,        100,        100,        100,        100,        100,        100,        110,        100,        100,        100,        100,         52,        100,        100,        100,        100,        100,        100,        100, 
189 : butsu_guard_type_C_001,        190,         64,         61,          4,          0,    8913265,          3,          1,          0,          0,          0,          0,          0,          0,          0,          5,          0,          0,          0,        200,         80,          0,        494,        494,         53,        113,         53,        113,        100,        100,        100,        100,        113,        100,        100,        100,        100,         53,        100,        113,        100,        100,        100,        100,        100,        100,        113,        100,        100,        100,        100,         53,        100,        100,        100,        100,        100,        100,        100, 
190 : butsu_guard_type_C_002,        191,         64,         61,          5,          0,    8913265,          3,          1,          0,          0,          0,          0,          1,          0,          0,          5,          0,          0,          0,        200,         80,          0,        495,        495,         54,        115,         54,        115,        100,        100,        100,        100,        115,        100,        100,        100,        100,         54,        100,        115,        100,        100,        100,        100,        100,        100,        115,        100,        100,        100,        100,         54,        100,        100,        100,        100,        100,        100,        100, 
191 : butsu_guard_type_C_003,        192,         64,         61,          6,          0,    8913265,          3,          1,          0,          0,          0,          0,          2,          0,          0,          5,          0,          0,          0,        200,         80,          0,        496,        496,         55,        120,         55,        120,        100,        100,        100,        100,        120,        100,        100,        100,        100,         55,        100,        120,        100,        100,        100,        100,        100,        100,        120,        100,        100,        100,        100,         55,        100,        100,        100,        100,        100,        100,        100, 
192 : butsu_guard_type_D_001,        193,         65,         62,          1,          0,    8913266,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        205,         75,          0,         -1,         -1,        100,        100,        100,        105,        100,        105,        100,        100,        105,        100,        100,        105,        100,         50,        100,        105,        100,        100,        105,        100,         50,        100,        100,         50,        105,        100,        100,        100,        100,        100,         50,        105,        100,        100,        100, 
193 : butsu_guard_type_D_002,        194,         65,         62,          2,          0,    8913266,          2,          0,          0,          0,          0,          0,          2,          0,          0,          2,          0,          0,          0,        205,         75,          0,         -1,         -1,        100,        100,        100,        108,        100,        108,        100,        100,        108,        100,        100,        108,        100,         51,        100,        108,        100,        100,        108,        100,         51,        100,        100,         51,        108,        100,        100,        100,        100,        100,         51,        108,        100,        100,        100, 
194 : butsu_guard_type_D_003,        195,         65,         62,          3,          0,    8913266,          3,          0,          0,          0,          0,          0,          3,          0,          0,          3,          0,          0,          0,        205,         75,          0,         -1,         -1,        100,        100,        100,        110,        100,        110,        100,        100,        110,        100,        100,        110,        100,         52,        100,        110,        100,        100,        110,        100,         52,        100,        100,         52,        110,        100,        100,        100,        100,        100,         52,        110,        100,        100,        100, 
195 : butsu_guard_type_E_001,        196,         66,         62,          4,          0,    8913267,          3,          1,          0,          0,          0,          0,          3,          0,          0,          3,          0,          0,          0,        205,         75,          0,        319,        319,        100,        100,        100,        113,        100,        113,        100,        100,        113,        100,        100,        113,        100,         53,        100,        113,        100,        100,        113,        100,         53,        100,        100,         53,        113,        100,        100,        100,        100,        100,         53,        113,        100,        100,        100, 
196 : butsu_guard_type_E_002,        197,         66,         62,          5,          0,    8913267,          3,          1,          0,          0,          0,          0,          4,          0,          0,          4,          0,          0,          0,        205,         75,          0,        320,        320,        100,        100,        100,        115,        100,        115,        100,        100,        115,        100,        100,        115,        100,         54,        100,        115,        100,        100,        115,        100,         54,        100,        100,         54,        115,        100,        100,        100,        100,        100,         54,        115,        100,        100,        100, 
197 : butsu_guard_type_E_003,        198,         66,         62,          6,          0,    8913267,          3,          2,          0,          0,          0,          0,          5,          0,          0,          5,          0,          0,          0,        205,         75,          0,        321,        321,        100,        100,        100,        120,        100,        120,        100,        100,        120,        100,        100,        120,        100,         55,        100,        120,        100,        100,        120,        100,         55,        100,        100,         55,        120,        100,        100,        100,        100,        100,         55,        120,        100,        100,        100, 
198 : butsu_guard_type_F_001,        199,         67,         63,          1,          0,    8913268,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        210,         90,          0,         -1,         -1,        105,        105,        100,        100,        100,        100,         40,        105,        105,        100,         40,        100,        100,        100,        105,        105,        100,         40,        100,        100,        100,        100,         40,        100,        105,        100,        100,         40,        100,         40,        100,        105,        100,        100,         40, 
199 : butsu_guard_type_F_002,        200,         67,         63,          2,          0,    8913268,          2,          0,          0,          0,          0,          2,          0,          0,          0,          0,          0,          0,          0,        210,         90,          0,         -1,         -1,        108,        108,        100,        100,        100,        100,         41,        108,        108,        100,         41,        100,        100,        100,        108,        108,        100,         41,        100,        100,        100,        100,         41,        100,        108,        100,        100,         41,        100,         41,        100,        108,        100,        100,         41, 
200 : butsu_guard_type_F_003,        201,         67,         63,          3,          0,    8913268,          3,          0,          0,          0,          0,          3,          0,          0,          0,          0,          0,          0,          0,        210,         90,          0,         -1,         -1,        110,        110,        100,        100,        100,        100,         42,        110,        110,        100,         42,        100,        100,        100,        110,        110,        100,         42,        100,        100,        100,        100,         42,        100,        110,        100,        100,         42,        100,         42,        100,        110,        100,        100,         42, 
201 : butsu_guard_type_G_001,        202,         68,         63,          4,          0,    8913269,          3,          1,          0,          0,          0,          4,          0,          0,          0,          0,          0,          0,          0,        210,         90,          0,         -1,         -1,        113,        113,        100,        100,        100,        100,         43,        113,        113,        100,         43,        100,        100,        100,        113,        113,        100,         43,        100,        100,        100,        100,         43,        100,        113,        100,        100,         43,        100,         43,        100,        113,        100,        100,         43, 
202 : butsu_guard_type_G_002,        203,         68,         63,          5,          0,    8913269,          3,          1,          0,          0,          1,          4,          0,          0,          0,          0,          0,          0,          0,        210,         90,          0,         -1,         -1,        115,        115,        100,        100,        100,        100,         44,        115,        115,        100,         44,        100,        100,        100,        115,        115,        100,         44,        100,        100,        100,        100,         44,        100,        115,        100,        100,         44,        100,         44,        100,        115,        100,        100,         44, 
203 : butsu_guard_type_G_003,        204,         68,         63,          6,          0,    8913269,          3,          1,          0,          0,          2,          4,          0,          0,          0,          0,          0,          0,          0,        210,         90,          0,         -1,         -1,        120,        120,        100,        100,        100,        100,         45,        120,        120,        100,         45,        100,        100,        100,        120,        120,        100,         45,        100,        100,        100,        100,         45,        100,        120,        100,        100,         45,        100,         45,        100,        120,        100,        100,         45, 
204 : butsu_guard_type_H_001,        205,         69,         63,          7,          0,    8913270,          3,          1,          0,          0,          3,          5,          0,          0,          0,          0,          0,          0,          0,        210,         90,          0,        324,        324,        125,        125,        100,        100,        100,        100,         46,        125,        125,        100,         46,        100,        100,        100,        125,        125,        100,         46,        100,        100,        100,        100,         46,        100,        125,        100,        100,         46,        100,         46,        100,        125,        100,        100,         46, 
205 : butsu_guard_type_H_002,        206,         69,         63,          8,          0,    8913270,          3,          1,          1,          0,          4,          5,          0,          0,          0,          0,          0,          0,          0,        210,         90,          0,        325,        325,        130,        130,        100,        100,        100,        100,         47,        130,        130,        100,         47,        100,        100,        100,        130,        130,        100,         47,        100,        100,        100,        100,         47,        100,        130,        100,        100,         47,        100,         47,        100,        130,        100,        100,         47, 
206 : butsu_guard_type_H_003,        207,         69,         63,          9,          0,    8913270,          3,          1,          2,          0,          5,          5,          0,          0,          0,          0,          0,          0,          0,        210,         90,          0,        326,        326,        135,        135,        100,        100,        100,        100,         48,        135,        135,        100,         48,        100,        100,        100,        135,        135,        100,         48,        100,        100,        100,        100,         48,        100,        135,        100,        100,         48,        100,         48,        100,        135,        100,        100,         48, 
207 : butsu_guard_type_I_001,        208,         70,         64,          1,          0,    8913271,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        215,        100,          0,        309,        309,        100,        115,        115,        100,        100,        100,         30,        115,        115,        100,        100,        100,        100,         30,        100,        115,        100,        100,        100,        100,         30,        100,        115,        100,        100,        100,        100,         30,        100,        115,        100,        100,        100,        100,         30, 
208 : butsu_guard_type_I_002,        209,         70,         64,          2,          0,    8913271,          2,          0,          0,          0,          0,          0,          1,          1,          1,          3,          0,          0,          0,        215,        100,          0,        310,        310,        100,        120,        120,        100,        100,        100,         35,        120,        120,        100,        100,        100,        100,         35,        100,        120,        100,        100,        100,        100,         35,        100,        120,        100,        100,        100,        100,         35,        100,        120,        100,        100,        100,        100,         35, 
209 : butsu_guard_type_I_003,        210,         70,         64,          3,          0,    8913271,          3,          0,          0,          0,          0,          0,          2,          2,          1,          5,          0,          0,          0,        215,        100,          0,        311,        311,        100,        130,        130,        100,        100,        100,         40,        130,        130,        100,        100,        100,        100,         40,        100,        130,        100,        100,        100,        100,         40,        100,        130,        100,        100,        100,        100,         40,        100,        130,        100,        100,        100,        100,         40, 
210 : butsu_guard_type_J_001,        211,         71,         65,          1,          0,    8913272,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        220,         75,          0,        131,        131,        100,        120,        100,        100,        100,        100,        100,        100,        120,        100,        100,         40,         40,         40,        100,        120,        100,        100,         40,         40,         40,        100,        120,        100,        100,         40,         40,         40,        100,        120,        100,        100,         40,         40,         40, 
211 : butsu_guard_type_J_002,        212,         71,         65,          2,          0,    8913272,          2,          0,          0,          0,          0,          0,          1,          0,          1,          0,          0,          0,          0,        220,         75,          0,        132,        132,        100,        125,        100,        100,        100,        100,        100,        100,        125,        100,        100,         45,         45,         45,        100,        125,        100,        100,         45,         45,         45,        100,        125,        100,        100,         45,         45,         45,        100,        125,        100,        100,         45,         45,         45, 
212 : butsu_guard_type_J_003,        213,         71,         65,          3,          0,    8913272,          3,          0,          0,          0,          0,          0,          2,          0,          2,          0,          0,          0,          0,        220,         75,          0,        133,        133,        100,        130,        100,        100,        100,        100,        100,        100,        130,        100,        100,         50,         50,         50,        100,        130,        100,        100,         50,         50,         50,        100,        130,        100,        100,         50,         50,         50,        100,        130,        100,        100,         50,         50,         50, 
213 : mahou_guard_type_A_001,        214,         72,         80,          1,          0,    8913273,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        225,         67,          0,         -1,         -1,        105,        100,        100,        100,        100,        100,        100,        100,         60,        100,        105,        100,        100,         60,        100,         60,        100,        105,        100,        100,         60,        100,        100,        100,        105,        100,        100,        100,        100,        100,        100,        105,        100,        100,        100, 
214 : mahou_guard_type_A_002,        215,         72,         80,          2,          0,    8913273,          2,          0,          0,          0,          0,          2,          0,          0,          0,          0,          5,          0,          0,        225,         67,          0,         -1,         -1,        108,        100,        100,        100,        100,        100,        100,        100,         61,        100,        108,        100,        100,         61,        100,         61,        100,        108,        100,        100,         61,        100,        100,        100,        108,        100,        100,        100,        100,        100,        100,        108,        100,        100,        100, 
215 : mahou_guard_type_A_003,        216,         72,         80,          3,          0,    8913273,          3,          0,          0,          0,          0,          3,          0,          0,          0,          0,          5,          0,          0,        225,         67,          0,         -1,         -1,        110,        100,        100,        100,        100,        100,        100,        100,         62,        100,        110,        100,        100,         62,        100,         62,        100,        110,        100,        100,         62,        100,        100,        100,        110,        100,        100,        100,        100,        100,        100,        110,        100,        100,        100, 
216 : mahou_guard_type_B_001,        217,         73,         81,          1,          0,    8913274,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        230,         67,          0,        146,        146,        100,        100,        100,        105,        100,        100,        100,        100,        100,        100,        105,        100,        100,        100,        100,        100,        100,        105,        100,        100,        100,        100,         60,        100,        100,        100,        105,         60,        100,         60,        100,        100,        100,        105,         60, 
217 : mahou_guard_type_B_002,        218,         73,         81,          2,          0,    8913274,          2,          0,          0,          0,          0,          0,          0,          0,          1,          0,          3,          0,          0,        230,         67,          0,        147,        147,        100,        100,        100,        108,        100,        100,        100,        100,        100,        100,        108,        100,        100,        100,        100,        100,        100,        108,        100,        100,        100,        100,         61,        100,        100,        100,        108,         61,        100,         61,        100,        100,        100,        108,         61, 
