           km_, km_totsugeki_exp, km_totsugeki_exp2, km_totsugeki_lv_base, km_totsugeki_lv_now, km_totsugeki_lv_battle, km_totsugeki_use_flag, km_sogeki_exp, km_sogeki_exp2, km_sogeki_lv_base, km_sogeki_lv_now, km_sogeki_lv_battle, km_sogeki_use_flag, km_kousaku_exp, km_kousaku_exp2, km_kousaku_lv_base, km_kousaku_lv_now, km_kousaku_lv_battle, km_kousaku_use_flag, km_kyujo_exp, km_kyujo_exp2, km_kyujo_lv_base, km_kyujo_lv_now, km_kyujo_lv_battle, km_kyujo_use_flag, km_senjutsu_exp, km_senjutsu_exp2, km_senjutsu_lv_base, km_senjutsu_lv_now, km_senjutsu_lv_battle, km_senjutsu_use_flag, km_senryaku_exp, km_senryaku_exp2, km_senryaku_lv_base, km_senryaku_lv_now, km_senryaku_lv_battle, km_senryaku_use_flag, km_kinki_exp, km_kinki_exp2, km_kinki_lv_base, km_kinki_lv_now, km_kinki_lv_battle, km_kinki_use_flag, 
198 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
199 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,        731,          0,          7,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
200 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,        731,          0,          7,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
201 : btl_free_npc,        593,          0,          6,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
202 : btl_free_npc_008,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
203 : btl_free_npc_038,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
204 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
205 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
206 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
207 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
208 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,        105,          0,          4,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
209 : btl_free_npc,        585,          0,          6,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
210 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,        731,          0,          7,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
211 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
212 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,        105,          0,          4,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
213 : btl_free_npc_014,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
214 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
215 : btl_free_npc_037,        585,          0,          6,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
216 : btl_free_npc_099,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,        105,          0,          4,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
217 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,        731,          0,          7,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
218 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
219 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
220 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
221 : btl_free_npc_067,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
222 : btl_free_npc_029,          0,          0,         -1,         -1,         -1,          0,        731,          0,          7,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
223 : btl_free_npc_040,        585,          0,          6,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
224 : btl_pc_paris,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,        260,          0,          6,         -1,         -1,          0,        325,          0,          7,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
225 : btl_pc_allan,        661,          0,          6,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,          1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
226 : btl_pc_kate,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,        900,          0,          8,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
227 : btl_pc_sheryl,          0,          0,         -1,         -1,         -1,          0,        900,          0,          8,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
228 :      jager,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,        195,          0,          5,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
229 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
230 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
231 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
232 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,        806,          0,          7,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
233 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
234 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
235 : btl_free_npc,        585,          0,          6,         -1,         -1,          0,        585,          0,          6,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
236 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
237 : btl_free_npc_035,        585,          0,          6,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
238 : btl_free_npc_025,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,        105,          0,          4,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
239 : btl_free_npc_016,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,        105,          0,          4,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
240 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
241 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
242 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
243 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
244 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
245 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,        105,          0,          4,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
246 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
247 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,        731,          0,          7,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
248 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,        105,          0,          4,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
249 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
250 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
251 : btl_free_npc_063,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
252 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,        731,          0,          7,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
253 : btl_free_npc_003,        585,          0,          6,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
254 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
255 : btl_free_npc_056,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
256 : btl_free_npc_053,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
257 : btl_free_npc_071,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
258 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
259 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
260 : btl_pc_zolean,       1840,          0,         11,         -1,         -1,          0,         16,          0,          1,         -1,         -1,          0,       3774,          0,         23,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
261 : btl_pc_caedmon,          0,          0,         -1,         -1,         -1,          0,        590,          0,          6,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,         48,          0,          2,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
262 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
263 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
264 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
265 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
266 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,        326,          0,          7,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
267 : btl_free_npc,        900,          0,          8,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
268 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
269 : btl_free_npc_041,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
270 : btl_free_npc_098,          0,          0,         -1,         -1,         -1,          0,        908,          0,          8,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
271 : btl_free_npc_065,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,        966,          0,          8,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
272 : btl_free_npc_061,        900,          0,          8,         -1,         -1,          0,        731,          0,          7,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
273 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,        900,          0,          8,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
274 : btl_free_npc_057,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
275 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
276 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
277 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
278 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
279 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
280 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,        900,          0,          8,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
281 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
