           km_,   km_chara,   km_param, km_party_lock, km_party_guest, km_not_reserve, km_sort_id, km_chara_class, km_base_lv, km_base_hp, km_base_ap, km_battle_ap_charge, km_base_str, km_base_mgc, km_base_spd,  km_per_id, km_base_per, km_base_tension, km_tension_style, km_hp_growth_type, km_hp_growth_type_101, km_hp_growth_type_201, km_ap_growth_type, km_ap_growth_type_101, km_ap_growth_type_201, km_str_growth_type, km_str_growth_type_101, km_str_growth_type_201, km_mgc_growth_type, km_mgc_growth_type_101, km_mgc_growth_type_201, km_spd_growth_type, km_spd_growth_type_101, km_spd_growth_type_201, km_per_growth_type, km_per_growth_type_101, km_per_growth_type_201, km_eqskill_oh_oh, km_eqskill_oh_th, km_eqskill_oh_ww, km_eqskill_th_th, km_eqskill_s_fw, km_eqskill_s_oh, km_eqskill_s_th, km_artsskill_sword, km_artsskill_katana, km_artsskill_axe, km_artsskill_mace, km_artsskill_spear, km_artsskill_staff, km_mgcskill_01, km_mgcskill_02, km_mgcskill_03, km_mgcskill_04, km_mgcskill_05, km_mgcskill_06, km_mgcskill_07, km_itemskill_01, km_itemskill_02, km_itemskill_03, km_itemskill_04, km_itemskill_05, km_itemskill_06, km_df_att_zan, km_df_att_da, km_df_att_shou, km_df_att_kantu, km_df_fire, km_df_thunder,  km_df_ice, km_df_acid, km_df_poison, km_preset_act_arts, km_preset_act_magic, km_preset_act_item, km_eq_main_weapon, km_eqlv_main, km_eq_style, km_eq_sub_weapon1, km_eqlv_sub, km_eq_accessories1, km_eq_accessories2, km_eq_accessories_sp, km_logic_target_union, km_logic_target_unit, km_pre_logic_target_union, km_post_logic_target_union, km_btl_action, km_btl_action_append_1, km_btl_action_append_2, km_btl_action_append_3,  km_demise,   km_money,  km_item_1, km_item_1_num,  km_item_2, km_item_2_num,  km_item_3, km_item_3_num,  km_item_4, km_item_4_num,  km_item_5, km_item_5_num,  km_item_6, km_item_6_num,  km_item_7, km_item_7_num,  km_item_8, km_item_8_num, km_aim_weapon, km_aim_accessory_01, km_aim_accessory_02, km_open_heikin, km_open_phy, km_open_mgc, km_end_of_the_rainbow, km_lootmes, km_ptalk_count, km_ptalk_mes, 
200 : btl_free_npc,        355,        200,          0,          0,          0,        251,        206,         36,        288,         27,          4,         15,         25,         17,        118,         13,         56,          0,          1,         55,        109,         10,         64,        118,         16,         70,        124,         28,         82,        136,         40,         94,        148,         49,        103,        157,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          5,         10,         20,          5,          5,         20,         10,         10,          5,          0,        145,        165,        174,          0,          1,         -1,         -1,       1176,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,      10220,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,        186,        210,        213,          1,          1,          1,         16,         42,         49,         55, 
201 : btl_free_npc,        356,        201,          0,          0,          0,        252,        201,         36,        234,         19,          3,         18,         27,         14,         83,         17,         58,          0,          1,         55,        109,         10,         64,        118,         16,         70,        124,         28,         82,        136,         40,         94,        148,         49,        103,        157,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          5,         10,         20,          5,          5,         20,         10,         10,          5,          0,        141,        165,        724,          0,          3,         -1,         -1,       1318,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,       6660,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,        723,        210,        213,          1,          1,          1,         23,         41,         48,         54, 
202 : btl_free_npc_008,        357,        202,          0,          0,          0,        253,         21,         36,        265,         25,          4,         23,         21,         18,         34,         16,         48,          0,          2,         56,        110,         11,         65,        119,         17,         71,        125,         29,         83,        137,         41,         95,        149,         50,        104,        158,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          5,          5,         10,         20,          5,         10,         10,         20,          5,         48,         98,        228,        454,          0,          0,         -1,         -1,       1149,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,       7840,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,        477,        222,        225,          1,          1,          1,         26,         35,         42,         48, 
203 : btl_free_npc_038,        358,        203,          0,          0,          0,        254,          8,         36,        246,         26,          4,         21,         14,         19,         65,         18,         66,          0,          0,         54,        108,          9,         63,        117,         15,         69,        123,         27,         81,        135,         39,         93,        147,         48,        102,        156,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         10,         20,          5,          5,          5,         10,         10,         20,          5,         72,         98,        165,        713,          0,          3,         -1,         -1,       1268,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,      15480,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,        690,        204,        207,          1,          1,          1,         20,         35,         42,         48, 
204 : btl_free_npc,        359,        204,          0,          0,          0,      10121,         37,         35,        164,         24,          4,         27,         19,         17,         40,         20,         65,          0,          0,         54,        108,          9,         63,        117,         18,         72,        126,         30,         84,        138,         39,         93,        147,         48,        102,        156,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         10,         20,          5,          5,         20,         10,         10,          5,          5,         44,         98,        165,        546,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,       9900,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,        558,        204,        207,          1,          0,          0,         19,         37,         -1,         -1, 
205 : btl_free_npc,        360,        205,          0,          0,          0,      10122,         43,         35,        145,         20,          3,         26,         16,         18,         30,         21,         36,          0,          0,         54,        108,          9,         63,        117,         18,         72,        126,         30,         84,        138,         39,         93,        147,         48,        102,        156,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         10,         20,          5,          5,         20,         10,         10,          5,          5,         44,         98,        165,        410,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,       3770,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,        426,        204,        207,          1,          0,          0,         14,         35,         -1,         -1, 
206 : btl_free_npc,        361,        206,          0,          0,          0,      10123,         19,         35,        216,         21,          3,         22,         22,         20,        155,         19,         50,          0,          2,         56,        110,         11,         65,        119,         20,         74,        128,         32,         86,        140,         41,         95,        149,         50,        104,        158,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          5,          5,         10,         20,         20,         10,         10,          5,          5,          0,         98,        209,        101,          0,          1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,       7580,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         36,        222,        225,          1,          0,          0,         14,         36,         -1,         -1, 
207 : btl_free_npc,        362,        207,          0,          0,          0,      10124,          8,         35,        160,         22,          3,         26,         21,         20,        119,         18,         60,          0,          2,         56,        110,         11,         65,        119,         20,         74,        128,         32,         86,        140,         41,         95,        149,         50,        104,        158,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          5,         20,          5,         10,         20,         10,         10,          5,          5,          0,         98,        219,        295,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,       7980,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,        315,        228,        231,          1,          0,          0,         17,         37,         -1,         -1, 
208 : btl_free_npc,        363,        208,          0,          0,          0,      10125,        192,         35,        159,         23,          3,         19,         21,         18,         84,         18,         45,          0,          2,         56,        110,         11,         65,        119,         20,         74,        128,         32,         86,        140,         41,         95,        149,         50,        104,        158,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         20,         10,          5,          5,         20,         10,         10,          5,          5,         44,        153,        165,        113,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,       4340,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         84,        216,        219,          1,          0,          0,         11,         38,         -1,         -1, 
209 : btl_free_npc,        364,        209,          0,          0,          0,      10126,        198,         35,        172,         21,          3,         16,         25,         18,        114,         26,         69,          0,          1,         55,        109,         10,         64,        118,         19,         73,        127,         31,         85,        139,         40,         94,        148,         49,        103,        157,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          5,         10,         20,          5,         20,         10,         10,          5,          5,          0,        141,        165,        873,          0,          3,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,       4350,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,        849,        210,        213,          1,          0,          0,          5,         36,         -1,         -1, 
210 : btl_free_npc,        365,        210,          0,          0,          0,      10127,         15,         35,        184,         23,          3,         25,         25,         17,         35,         23,         31,          0,          2,         56,        110,         11,         65,        119,         20,         74,        128,         32,         86,        140,         41,         95,        149,         50,        104,        158,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         20,         10,          5,          5,         20,         10,         10,          5,          5,         68,        149,        165,        824,          0,          3,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,      10060,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,        810,        216,        219,          1,          0,          0,         16,         36,         -1,         -1, 
211 : btl_free_npc,        366,        211,          0,          0,          0,      10128,         19,         35,        195,         27,          4,         22,         20,         19,        117,         21,         70,          0,          2,         56,        110,         11,         65,        119,         20,         74,        128,         32,         86,        140,         41,         95,        149,         50,        104,        158,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          5,          5,         10,         20,         20,         10,         10,          5,          5,          0,         98,        217,        535,          0,          1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,       9090,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,        531,        222,        225,          1,          0,          0,         20,         35,         -1,         -1, 
212 : btl_free_npc,        367,        212,          0,          0,          0,      10129,        194,         35,        146,         26,          4,         16,         24,         19,        167,         18,         46,          0,          1,         55,        109,         10,         64,        118,         19,         73,        127,         31,         85,        139,         40,         94,        148,         49,        103,        157,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          5,         10,         20,          5,         20,         10,         10,          5,          5,          0,        153,        165,        712,          0,          3,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,      10230,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,        684,        210,        213,          1,          0,          0,         10,         34,         -1,         -1, 
213 : btl_free_npc_014,        368,        213,          0,          0,          0,      10130,          8,         35,        182,         21,          3,         23,         15,         18,         78,         17,         36,          0,          0,         54,        108,          9,         63,        117,         18,         72,        126,         30,         84,        138,         39,         93,        147,         48,        102,        156,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         10,         20,          5,          5,          5,         10,         20,         10,          5,         52,         98,        165,        262,          0,          1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,       9800,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,        267,        204,        207,          1,          0,          0,          5,         36,         -1,         -1, 
214 : btl_free_npc,        369,        214,          0,          0,          0,      10131,         21,         35,        160,         24,          4,         26,         20,         21,        128,         20,         63,          0,          2,         56,        110,         11,         65,        119,         20,         74,        128,         32,         86,        140,         41,         95,        149,         50,        104,        158,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          5,          5,         10,         20,          5,         10,         20,         10,          5,          0,         98,        213,        546,          0,          1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,       6580,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,        558,        222,        225,          1,          0,          0,         13,         34,         -1,         -1, 
215 : btl_free_npc_037,        370,        215,          0,          0,          0,      10132,        188,         35,        145,         27,          4,         20,         24,         17,        162,         15,         60,          0,          2,         56,        110,         11,         65,        119,         20,         74,        128,         32,         86,        140,         41,         95,        149,         50,        104,        158,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         20,         10,          5,          5,          5,         10,         20,         10,          5,         52,        141,        165,        410,          0,          1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,       5340,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,        426,        216,        219,          1,          0,          0,         18,         37,         -1,         -1, 
216 : btl_free_npc_099,        371,        216,          0,          0,          0,      10133,        193,         35,        196,         18,          3,         20,         22,         21,         47,         11,         64,          0,          2,         56,        110,         11,         65,        119,         20,         74,        128,         32,         86,        140,         41,         95,        149,         50,        104,        158,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         20,         10,          5,          5,          5,         10,         20,         10,          5,         68,        153,        165,        836,          0,          3,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,       7390,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,        825,        216,        219,          1,          0,          0,          6,         34,         -1,         -1, 
217 : btl_free_npc,        372,        217,          0,          0,          0,      10134,        187,         35,        187,         21,          3,         17,         22,         16,         53,         21,         49,          0,          1,         55,        109,         10,         64,        118,         19,         73,        127,         31,         85,        139,         40,         94,        148,         49,        103,        157,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          5,         10,         20,          5,          5,         10,         20,         10,          5,          0,        145,        165,        654,          0,          3,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,      10000,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,        654,        210,        213,          1,          0,          0,         20,         34,         -1,         -1, 
218 : btl_free_npc,        373,        218,          0,          0,          0,      10135,         49,         35,        162,         20,          3,         27,         19,         15,         68,         26,         67,          0,          0,         54,        108,          9,         63,        117,         18,         72,        126,         30,         84,        138,         39,         93,        147,         48,        102,        156,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         10,         20,          5,          5,          5,         10,         10,         20,          5,         68,         98,        165,        724,          0,          3,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,       5850,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,        714,        204,        207,          1,          0,          0,         12,         34,         -1,         -1, 
219 : btl_free_npc,        374,        219,          0,          0,          0,      10136,          6,         35,        183,         21,          3,         21,         14,         20,         38,         17,         43,          0,          0,         54,        108,          9,         63,        117,         18,         72,        126,         30,         84,        138,         39,         93,        147,         48,        102,        156,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         10,         20,          5,          5,          5,         10,         10,         20,          5,         52,         98,        165,        173,          0,          1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,       9830,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,        165,        204,        207,          1,          0,          0,         16,         37,         -1,         -1, 
220 : btl_free_npc,        375,        220,          0,          0,          0,      10137,         20,         35,        198,         24,          4,         24,         21,         20,         43,         25,         34,          0,          2,         56,        110,         11,         65,        119,         20,         74,        128,         32,         86,        140,         41,         95,        149,         50,        104,        158,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          5,          5,         10,         20,          5,         10,         10,         20,          5,          0,         98,        224,        614,          0,          1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,       8100,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,        630,        222,        225,          1,          0,          0,         17,         35,         -1,         -1, 
221 : btl_free_npc_067,        376,        221,          0,          0,          0,      10138,         30,         35,        144,         27,          4,         25,         17,         16,        125,         13,         51,          0,          0,         54,        108,          9,         63,        117,         18,         72,        126,         30,         84,        138,         39,         93,        147,         48,        102,        156,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         10,         20,          5,          5,          5,         10,         10,         20,          5,         52,         98,        165,        325,          0,          1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,       8980,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,        351,        204,        207,          1,          0,          0,          8,         34,         -1,         -1, 
222 : btl_free_npc_029,        377,        222,          0,          0,          0,      10139,         14,         35,        166,         21,          3,         24,         20,         19,        156,         24,         66,          0,          2,         56,        110,         11,         65,        119,         20,         74,        128,         32,         86,        140,         41,         95,        149,         50,        104,        158,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         20,         10,          5,          5,          5,         10,         10,         20,          5,         52,        145,        165,        184,          0,          1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,       9490,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,        198,        216,        219,          1,          0,          0,         14,         35,         -1,         -1, 
223 : btl_free_npc_040,        378,        223,          0,          0,          0,      10140,         14,         35,        162,         25,          4,         23,         19,         17,         55,         22,         51,          0,          2,         56,        110,         11,         65,        119,         20,         74,        128,         32,         86,        140,         41,         95,        149,         50,        104,        158,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         20,         10,          5,          5,          5,         10,         10,         20,          5,         52,        141,        165,        325,          0,          1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,       7110,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,        351,        216,        219,          1,          0,          0,         11,         36,         -1,         -1, 
224 : btl_pc_paris,         22,        224,          0,          0,          0,        114,        132,         48,        352,         22,          3,         24,         26,         17,         94,         23,         34,          0,          2,         56,        110,         11,         65,        119,         17,         71,        125,         29,         83,        137,         41,         95,        149,         50,        104,        158,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          5,         10,         20,          5,         20,         10,         10,          5,          5,         21,        118,        186,        874,          0,          3,         -1,         -1,       1176,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,      11740,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,        858,         54,         57,          1,          0,          0,         35,         14,         20,         26, 
225 : btl_pc_allan,         38,        225,          0,          0,          0,        115,        144,         41,        308,         25,          4,         29,         14,         22,        152,         15,         41,          0,          0,         54,        108,          9,         63,        117,         15,         69,        123,         27,         81,        135,         39,         93,        147,         48,        102,        156,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         10,         20,          5,          5,         20,         20,         20,         20,         20,         39,        136,        204,        974,          0,          5,         -1,         -1,       1268,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,      21580,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,        867,        186,        189,          1,          0,          0,         35,         30,         21,         27, 
226 : btl_pc_kate,         28,        226,          0,          0,          0,        116,        127,         45,        291,         27,          4,         22,         25,         15,         87,         20,         30,          0,          2,         56,        110,         11,         65,        119,         17,         71,        125,         29,         83,        137,         41,         95,        149,         50,        104,        158,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          5,         10,         20,          5,          5,         20,         10,         10,          5,         22,        119,        187,        556,          0,          0,       1058,          0,       1318,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,      19110,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,        552,         60,         63,          1,          0,          0,         39,         20,         22,         28, 
227 : btl_pc_sheryl,         29,        227,          0,          0,          0,        117,        207,         41,        311,         29,          4,         20,         25,         18,        150,         21,         40,          0,          1,         55,        109,         10,         64,        118,         16,         70,        124,         28,         82,        136,         40,         94,        148,         49,        103,        157,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          5,         10,         20,          5,          5,         20,         10,         10,          5,         23,        120,        188,        883,          0,          3,         -1,         -1,       1149,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,      21030,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,        846,         66,         69,          1,          0,          0,         33,         21,         23,         29, 
228 :      jager,         10,        228,          0,          0,          0,        118,        336,         41,        339,         32,          5,         28,         22,         19,        144,         20,         44,          0,          0,         54,        108,          9,         63,        117,         15,         69,        123,         27,         81,        135,         39,         93,        147,         48,        102,        156,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         10,         20,          5,          5,         20,         10,         10,          5,          5,         14,        111,        179,        714,          0,          3,         -1,         -1,       1206,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,      30000,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,        708,         42,         45,          1,          0,          0,         50,          9,         24,         30, 
229 : btl_free_npc,        379,        229,          0,          0,          0,        255,         21,         39,        207,         22,          3,         22,         19,         21,         47,         20,         38,          0,          2,         56,        110,         11,         65,        119,         17,         71,        125,         29,         83,        137,         41,         95,        149,         50,        104,        158,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          5,          5,         10,         20,         20,         10,         10,          5,          5,         48,         98,        229,        114,          0,          0,       1098,          0,       1293,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,      10220,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,        111,        222,        225,          1,          1,          1,         29,         36,         43,         49, 
230 : btl_free_npc,        380,        230,          0,          0,          0,        256,        324,         39,        216,         24,          4,         22,         15,         17,        160,         16,         41,          0,          0,         54,        108,          9,         63,        117,         15,         69,        123,         27,         81,        135,         39,         93,        147,         48,        102,        156,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         10,         20,          5,          5,         20,         10,         10,          5,          5,         84,         98,        165,        326,          0,          1,         -1,         -1,       1236,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,      13080,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,        369,        204,        207,          1,          1,          1,         28,         36,         43,         49, 
231 : btl_free_npc,        381,        231,          0,          0,          0,        257,         45,         39,        274,         25,          4,         26,         18,         19,         45,         18,         53,          0,          0,         54,        108,          9,         63,        117,         15,         69,        123,         27,         81,        135,         39,         93,        147,         48,        102,        156,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         10,         20,          5,          5,         20,         10,         10,          5,          5,         76,         98,        165,        411,          0,          0,       1087,          0,       1268,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,      14870,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,        450,        204,        207,          1,          1,          1,         22,         37,         44,         50, 
