           km_,   km_namen, km_class_ancestry, km_class_rank, km_class_type, km_class_lv, km_class_rankup,      km_hp,      km_ap,     km_spd, km_mgcskill_07, km_sp_ctrl_15, km_sp_ctrl_14, km_sp_ctrl_13, km_sp_ctrl_12, km_sp_ctrl_11, km_sp_ctrl_10, km_sp_ctrl_9, km_sp_ctrl_8, km_sp_ctrl_7, km_sp_ctrl_6, km_sp_ctrl_5, km_sp_ctrl_4, km_sp_ctrl_3, km_sp_ctrl_2, km_sp_ctrl_1, km_sp_ctrl_0,     km_str,     km_mgc, km_eqskill_oh_oh, km_eqskill_oh_th, km_eqskill_oh_ww, km_eqskill_th_th, km_eqskill_s_fw, km_eqskill_s_oh, km_eqskill_s_th, km_artsskill_sword, km_artsskill_katana, km_artsskill_axe, km_artsskill_mace, km_artsskill_spear, km_artsskill_staff, km_mgcskill_01, km_mgcskill_02, km_mgcskill_03, km_mgcskill_04, km_mgcskill_05, km_mgcskill_06, km_mgcc_cnt, km_mgcc_threshold, km_itemskill_01, km_itemskill_02, km_itemskill_03, km_itemskill_04, km_itemskill_05, km_itemskill_06, km_class_bonus_1, km_class_bonus_2, km_class_bonus_3, km_class_bonus_4, km_logic_target_union, km_logic_target_unit, 
196 : class_magic_type_C_005,        197,          5,          2,         33,          5,          1,          0,         48,         23,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         22,         35,        395,        694,        116,       4350, 
197 : class_magic_type_C_006,        198,          5,          2,         33,          6,          1,          0,         54,         24,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         23,         36,        396,        694,        116,       4350, 
198 : class_magic_type_D_001,        199,          5,          3,         34,          1,          0,          0,         45,         20,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         35,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        254,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        379,         -1,         -1,        692,         56,       4458, 
199 : class_magic_type_D_002,        200,          5,          3,         34,          2,          0,          0,         48,         20,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         37,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        254,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        379,        414,         -1,        692,         56,       4458, 
200 : class_magic_type_D_003,        201,          5,          3,         34,          3,          1,          0,         50,         21,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         39,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        254,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        380,        414,         -1,        692,         56,       4458, 
201 : class_magic_type_D_004,        202,          5,          3,         34,          4,          1,          0,         54,         21,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         41,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        254,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        381,        415,         19,        692,         56,       4458, 
202 : class_magic_type_D_005,        203,          5,          3,         34,          5,          1,          0,         60,         23,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         44,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        254,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        382,        416,         19,        692,         56,       4458, 
203 : class_magic_type_D_006,        204,          5,          3,         34,          6,          1,          0,         67,         24,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         48,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        254,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        383,        417,         20,        692,         56,       4458, 
204 : class_magic_type_E_001,        205,          5,          3,         35,          1,          0,          0,         45,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         35,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        254,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        384,         -1,         -1,        692,        165,       4458, 
205 : class_magic_type_E_002,        206,          5,          3,         35,          2,          0,          0,         48,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         37,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        254,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        384,        419,         -1,        692,        165,       4458, 
206 : class_magic_type_E_003,        207,          5,          3,         35,          3,          1,          0,         50,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         39,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        254,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        385,        419,         -1,        692,        165,       4458, 
207 : class_magic_type_E_004,        208,          5,          3,         35,          4,          1,          0,         54,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         41,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        254,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        386,        420,         19,        692,        165,       4458, 
208 : class_magic_type_E_005,        209,          5,          3,         35,          5,          1,          0,         60,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         44,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        254,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        387,        421,         19,        692,        165,       4458, 
209 : class_magic_type_E_006,        210,          5,          3,         35,          6,          1,          0,         67,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         48,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        254,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        388,        422,         20,        692,        165,       4458, 
210 : class_magic_type_F_001,        211,          5,          3,         36,          1,          0,          0,         45,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         35,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        254,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        389,         -1,         -1,        692,        165,       4527, 
211 : class_magic_type_F_002,        212,          5,          3,         36,          2,          0,          0,         48,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         37,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        254,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        389,        424,         -1,        692,        165,       4527, 
212 : class_magic_type_F_003,        213,          5,          3,         36,          3,          1,          0,         50,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         39,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        254,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        390,        424,         -1,        692,        165,       4527, 
213 : class_magic_type_F_004,        214,          5,          3,         36,          4,          1,          0,         54,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         41,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        254,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        391,        425,         19,        692,        165,       4527, 
214 : class_magic_type_F_005,        215,          5,          3,         36,          5,          1,          0,         60,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         44,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        254,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        392,        426,         19,        692,        165,       4527, 
215 : class_magic_type_F_006,        216,          5,          3,         36,          6,          1,          0,         67,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         48,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        254,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        393,        427,         20,        692,        165,       4527, 
216 : class_magic_type_G_001,        217,          5,          3,         37,          1,          0,          0,         45,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         35,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        254,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        394,         -1,         -1,        694,         70,       4350, 
217 : class_magic_type_G_002,        218,          5,          3,         37,          2,          0,          0,         48,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         37,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        254,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        394,        429,         -1,        694,         70,       4350, 
218 : class_magic_type_G_003,        219,          5,          3,         37,          3,          1,          0,         50,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         39,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        254,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        395,        429,         -1,        694,         70,       4350, 
219 : class_magic_type_G_004,        220,          5,          3,         37,          4,          1,          0,         54,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         41,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        254,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        396,        430,         19,        694,         70,       4350, 
220 : class_magic_type_G_005,        221,          5,          3,         37,          5,          1,          0,         60,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         44,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        254,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        397,        431,         19,        694,         70,       4350, 
221 : class_magic_type_G_006,        222,          5,          3,         37,          6,          1,          0,         67,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         48,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        254,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        398,        432,         20,        694,         70,       4350, 
222 : class_magic_type_H_001,        223,          5,          4,         38,          1,          0,          0,         62,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,         41,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        255,          0,          0,          2,          7,          0,          0,          0,          0,          0,          0,        176,         -1,        692,        694,         81,       4375, 
223 : class_magic_type_H_002,        224,          5,          4,         38,          2,          0,          0,         63,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,         43,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        255,          0,          0,          2,          8,          0,          0,          0,          0,          0,          0,        176,         10,        692,        694,         81,       4375, 
224 : class_magic_type_H_003,        225,          5,          4,         38,          3,          0,          0,         67,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,         45,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        255,          0,          0,          2,          9,          0,          0,          0,          0,          0,          0,        177,         10,        692,        694,         81,       4375, 
225 : class_magic_type_H_004,        226,          5,          4,         38,          4,          1,          0,         73,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,         47,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        255,          0,          0,          2,         10,          0,          0,          0,          0,          0,          0,        178,         11,        692,        694,         81,       4375, 
226 : class_magic_type_H_005,        227,          5,          4,         38,          5,          1,          0,         80,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,         50,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        255,          0,          0,          2,         11,          0,          0,          0,          0,          0,          0,        179,         12,        692,        694,         81,       4375, 
227 : class_magic_type_H_006,        228,          5,          4,         38,          6,          1,          0,         90,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,         54,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        255,          0,          0,          2,         12,          0,          0,          0,          0,          0,          0,        180,         13,        692,        694,         81,       4375, 
228 : class_magic_type_I_001,        229,          5,          4,         39,          1,          0,          0,         62,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         41,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        254,          0,          0,          0,          0,          0,          0,          0,          0,          0,        399,         -1,         -1,        692,        171,       4466, 
229 : class_magic_type_I_002,        230,          5,          4,         39,          2,          0,          0,         63,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         43,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        254,          0,          0,          0,          0,          0,          0,          0,          0,          0,        399,         -1,         -1,        692,        171,       4466, 
230 : class_magic_type_I_003,        231,          5,          4,         39,          3,          0,          0,         67,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         45,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        254,          0,          0,          0,          0,          0,          0,          0,          0,          0,        400,        299,         -1,        692,        171,       4466, 
231 : class_magic_type_I_004,        232,          5,          4,         39,          4,          1,          0,         73,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         47,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        254,          0,          0,          0,          0,          0,          0,          0,          0,          0,        401,        299,        304,        692,        171,       4466, 
232 : class_magic_type_I_005,        233,          5,          4,         39,          5,          1,          0,         80,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         50,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        254,          0,          0,          0,          0,          0,          0,          0,          0,          0,        402,        300,        304,        692,        171,       4466, 
233 : class_magic_type_I_006,        234,          5,          4,         39,          6,          1,          0,         90,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         54,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        254,          0,          0,          0,          0,          0,          0,          0,          0,          0,        403,        301,        305,        692,        171,       4466, 
234 : class_magic_type_J_001,        235,          5,          4,         40,          1,          0,        440,         62,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          0,         41,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        687,         -1,         -1,        694,        171,       4375, 
235 : class_magic_type_J_002,        236,          5,          4,         40,          2,          0,        460,         63,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          0,         43,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        687,         10,         -1,        694,        171,       4375, 
236 : class_magic_type_J_003,        237,          5,          4,         40,          3,          0,        480,         67,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          0,         45,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        687,         10,         -1,        694,        171,       4375, 
237 : class_magic_type_J_004,        238,          5,          4,         40,          4,          1,        510,         73,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          0,         47,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        687,         11,        294,        694,        171,       4375, 
238 : class_magic_type_J_005,        239,          5,          4,         40,          5,          1,        550,         80,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          0,         50,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        687,         12,        294,        694,        171,       4375, 
239 : class_magic_type_J_006,        240,          5,          4,         40,          6,          1,        600,         90,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          0,         54,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        687,         13,        295,        694,        171,       4375, 
240 : class_magic_type_K_001,        241,          5,          5,         41,          1,          0,          0,         76,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,         47,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        255,          0,          0,          0,          3,          7,          0,          0,          0,          0,          0,          0,        136,         -1,         -1,        692,         98,       4580, 
241 : class_magic_type_K_002,        242,          5,          5,         41,          2,          0,          0,         80,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,         49,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        255,          0,          0,          0,          3,          8,          0,          0,          0,          0,          0,          0,        136,        186,         -1,        692,         98,       4580, 
242 : class_magic_type_K_003,        243,          5,          5,         41,          3,          0,          0,         85,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,         51,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        255,          0,          0,          0,          3,          9,          0,          0,          0,          0,          0,          0,        137,        186,         19,        692,         98,       4580, 
243 : class_magic_type_K_004,        244,          5,          5,         41,          4,          1,          0,         91,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,         53,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        255,          0,          0,          0,          3,         10,          0,          0,          0,          0,          0,          0,        138,        187,         19,        692,         98,       4580, 
244 : class_magic_type_K_005,        245,          5,          5,         41,          5,          1,          0,        102,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,         56,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        255,          0,          0,          0,          3,         11,          0,          0,          0,          0,          0,          0,        139,        188,         20,        692,         98,       4580, 
245 : class_magic_type_K_006,        246,          5,          5,         41,          6,          1,          0,        114,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,         61,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        255,          0,          0,          0,          3,         12,          0,          0,          0,          0,          0,          0,        140,        189,         21,        692,         98,       4580, 
246 : class_magic_type_L_001,        247,          5,          5,         42,          1,          0,          0,         76,         23,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,         47,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        255,        255,          0,          0,          0,          0,          3,          7,          0,          0,          0,          0,          0,          0,        126,         -1,         -1,        692,        171,       4482, 
247 : class_magic_type_L_002,        248,          5,          5,         42,          2,          0,          0,         80,         23,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,         49,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        255,        255,          0,          0,          0,          0,          3,          8,          0,          0,          0,          0,          0,          0,        126,        156,         -1,        692,        171,       4482, 
248 : class_magic_type_L_003,        249,          5,          5,         42,          3,          0,          0,         85,         24,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,         51,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        255,        255,          0,          0,          0,          0,          3,          9,          0,          0,          0,          0,          0,          0,        127,        156,        700,        692,        171,       4482, 
249 : class_magic_type_L_004,        250,          5,          5,         42,          4,          1,          0,         91,         24,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,         53,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        255,        255,          0,          0,          0,          0,          3,         10,          0,          0,          0,          0,          0,          0,        128,        157,        700,        692,        171,       4482, 
250 : class_magic_type_L_005,        251,          5,          5,         42,          5,          1,          0,        102,         25,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,         56,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        255,        255,          0,          0,          0,          0,          3,         11,          0,          0,          0,          0,          0,          0,        129,        158,        701,        692,        171,       4482, 
251 : class_magic_type_L_006,        252,          5,          5,         42,          6,          1,          0,        114,         26,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,         61,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        255,        255,          0,          0,          0,          0,          3,         12,          0,          0,          0,          0,          0,          0,        130,        159,        702,        692,        171,       4482, 
252 : class_magic_type_M_001,        253,          5,          6,         43,          1,          0,          0,        100,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         53,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        254,          0,          0,          0,          0,          0,          0,          0,          0,        404,         -1,         -1,        696,        145,       4607, 
253 : class_magic_type_M_002,        254,          5,          6,         43,          2,          0,          0,        104,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         55,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        254,          0,          0,          0,          0,          0,          0,          0,          0,        404,        439,         -1,        696,        145,       4607, 
254 : class_magic_type_M_003,        255,          5,          6,         43,          3,          0,          0,        110,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         57,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        254,          0,          0,          0,          0,          0,          0,          0,          0,        405,        439,        156,        696,        145,       4607, 
