           km_,   km_namen,    km_help, km_categoryid,    km_icon,  km_sortid,   km_price,    km_sell, km_no_sell, km_no_menu,   km_item1,    km_num1,   km_odds1,   km_item2,    km_num2,   km_odds2,   km_item3,    km_num3,   km_odds3,   km_item4,    km_num4,   km_odds4, km_sozai_type1, km_sozai_type2, km_sozai_type3, km_sozai_type4, km_sozai_type5, km_sozai_type6, km_sozai_type7, km_sozai_type8, 
232 : mons_MI2010_100_clr2,        233,        233,         16,         61,       2602,      10296,       4680,          0,          0,    9044488,          2,         30,    9044367,          2,         30,    9044414,          1,         20,    9044659,          1,         10,          1,          0,          0,          0,          1,          1,          0,          0, 
233 : mons_MI2011_120_clr0,        234,        234,         16,         61,       2603,       3960,       1800,          0,          0,    9044652,          3,         40,    9044651,          3,         40,    9044653,          2,         30,    9044657,          1,          5,          1,          0,          0,          0,          1,          1,          0,          0, 
234 : mons_MI2011_120_clr1,        235,        235,         16,         61,       2604,       1980,        900,          0,          0,    9044445,          3,         40,    9044479,          2,         30,    9044652,          2,         30,    9044651,          2,         30,          1,          0,          0,          0,          1,          1,          0,          0, 
235 : mons_MI2011_120_clr2,        236,        236,         16,         61,       2605,      11880,       5400,          0,          0,    9044488,          2,         30,    9044427,          3,         40,    9044367,          2,         30,    9044659,          1,         10,          1,          0,          0,          0,          1,          1,          0,          0, 
236 : mons_MI2010_NM_001,        237,        237,         16,         61,       2610,      31360,      14250,          0,          0,    9044488,          3,         40,    9044427,          4,         50,    9044367,          4,         50,    9044180,          1,          5,          2,          0,          0,          0,          2,          2,          0,          1, 
237 : mons_MI2010_NM_002,        238,        238,         16,         61,       2611,      10560,       4800,          0,          0,    9044366,          4,         50,    9044488,          2,         30,    9044427,          2,         30,    9044174,          1,          5,          2,          0,          0,          0,          2,          2,          0,          1, 
238 : mons_MI2010_NM_003,        239,        239,         16,         61,       2612,      33260,      15120,          0,          0,    9044488,          3,         40,    9044367,          4,         50,    9044414,          2,         30,    9044181,          1,          5,          2,          0,          0,          0,          2,          2,          0,          1, 
239 : mons_MI2010_NM_004,        240,        240,         16,         61,       2613,      32630,      14830,          0,          0,    9044367,          4,         50,    9044414,          2,         30,    9044180,          1,          5,    9044183,          1,          3,          2,          0,          0,          0,          2,          2,          0,          1, 
240 : mons_MI2010_NM_005,        241,        241,         16,         61,       2614,      23020,      10460,          0,          0,    9044479,          4,         50,    9044653,          2,         30,    9044657,          1,         20,    9044171,          1,          5,          3,          0,          0,          0,          3,          3,          0,          1, 
241 : mons_MI2010_NM_006,        242,        242,         16,         61,       2615,      34850,      15840,          0,          0,    9044488,          3,         40,    9044427,          4,         50,    9044414,          2,         30,    9044180,          1,          5,          2,          0,          0,          0,          2,          2,          0,          1, 
242 : mons_MI2010_NM_007,        243,        243,         16,         61,       2616,       5490,       2500,          0,          0,    9044445,          4,         50,    9044651,          4,         50,    9044479,          4,         50,    9044653,          2,         30,          2,          0,          0,          0,          2,          2,          0,          1, 
243 : mons_MI2010_NM_008,        244,        244,         16,         61,       2617,      11400,       5180,          0,          0,    9044479,          4,         50,    9044652,          4,         50,    9044653,          1,         20,    9044169,          1,          5,          2,          0,          0,          0,          2,          2,          0,          1, 
244 : mons_MI2020_100_clr0,        245,        245,         16,         61,       2700,       1200,        545,          0,          0,    9044660,          3,         40,    9044411,          3,         40,    9044478,          2,         30,    9044666,          1,         10,          1,          0,          0,          1,          0,          0,          1,          0, 
245 : mons_MI2020_100_clr1,        246,        246,         16,         61,       2701,       2880,       1309,          0,          0,    9044660,          3,         40,    9044478,          3,         40,    9044662,          1,         20,    9044667,          1,          5,          1,          0,          0,          1,          0,          0,          1,          0, 
246 : mons_MI2020_100_clr2,        247,        247,         16,         61,       2702,       6240,       2836,          0,          0,    9044487,          2,         30,    9044662,          2,         30,    9044663,          1,         10,    9044668,          1,          5,          1,          0,          0,          1,          0,          0,          1,          0, 
247 : mons_MI2021_120_clr0,        248,        248,         16,         61,       2703,       7200,       3273,          0,          0,    9044487,          3,         40,    9044662,          3,         40,    9044663,          1,         20,    9044669,          1,         10,          1,          0,          0,          1,          0,          0,          1,          0, 
248 : mons_MI2021_120_clr1,        249,        249,         16,         61,       2704,       7200,       3273,          0,          0,    9044487,          3,         40,    9044662,          3,         40,    9044663,          1,         20,    9044670,          1,         10,          1,          0,          0,          1,          0,          0,          1,          0, 
249 : mons_MI2021_120_clr2,        250,        250,         16,         61,       2705,      10800,       4909,          0,          0,    9044410,          3,         40,    9044426,          4,         50,    9044471,          3,         40,    9044671,          1,         10,          1,          0,          0,          1,          0,          0,          1,          0, 
250 : mons_MI2020_NM_001,        251,        251,         16,         61,       2710,       4800,       2180,          0,          0,    9044660,          4,         50,    9044469,          4,         50,    9044666,          1,         10,    9044662,          2,         30,          2,          0,          0,          2,          0,          0,          2,          1, 
251 : mons_MI2020_NM_002,        252,        252,         16,         61,       2711,      21120,       9600,          0,          0,    9044487,          3,         40,    9044410,          2,         30,    9044426,          3,         40,    9044176,          1,          5,          2,          0,          0,          2,          0,          0,          2,          1, 
252 : mons_MI2020_NM_003,        253,        253,         16,         61,       2712,      10180,       4630,          0,          0,    9044661,          4,         50,    9044662,          2,         30,    9044667,          1,         10,    9044169,          1,          5,          2,          0,          0,          2,          0,          0,          2,          1, 
253 : mons_MI2020_NM_004,        254,        254,         16,         61,       2713,      20740,       9430,          0,          0,    9044487,          3,         40,    9044667,          1,         20,    9044426,          3,         40,    9044174,          1,          5,          2,          0,          0,          2,          0,          0,          2,          1, 
254 : mons_MI2020_NM_005,        255,        255,         16,         61,       2714,      19200,       8730,          0,          0,    9044487,          3,         40,    9044667,          1,         20,    9044426,          3,         40,    9044175,          1,          5,          2,          0,          0,          2,          0,          0,          2,          1, 
255 : mons_MI2020_NM_006,        256,        256,         16,         61,       2715,      39550,      17980,          0,          0,    9044426,          4,         50,    9044471,          3,         40,    9044668,          1,         20,    9044187,          1,          5,          2,          0,          0,          2,          0,          0,          2,          1, 
256 : mons_MI2020_NM_007,        257,        257,         16,         61,       2716,      31390,      14270,          0,          0,    9044410,          3,         40,    9044471,          3,         40,    9044668,          1,         20,    9044179,          1,          5,          2,          0,          0,          2,          0,          0,          2,          1, 
257 : mons_MI2020_NM_008,        258,        258,         16,         61,       2717,      15550,       7070,          0,          0,    9044662,          3,         40,    9044663,          1,         20,    9044487,          3,         40,    9044174,          1,          5,          2,          0,          0,          2,          0,          0,          2,          1, 
258 : mons_MI0010_100_clr0,        259,        259,         16,         61,       2800,        385,        175,          0,          0,    9044672,          3,         40,    9044397,          3,         40,    9044479,          2,         30,    9044678,          1,         10,          1,          1,          0,          0,          0,          1,          0,          0, 
259 : mons_MI0010_100_clr1,        260,        260,         16,         61,       2801,       1848,        840,          0,          0,    9044445,          3,         40,    9044479,          2,         30,    9044674,          1,         20,    9044679,          1,          5,          1,          1,          0,          0,          0,          1,          0,          0, 
260 : mons_MI0010_100_clr2,        261,        261,         16,         61,       2802,       6006,       2730,          0,          0,    9044488,          2,         30,    9044427,          3,         40,    9044414,          1,         20,    9044680,          1,         10,          1,          1,          0,          0,          0,          1,          0,          0, 
261 : mons_MI0012_150_clr0,        262,        262,         16,         61,       2806,       6930,       3150,          0,          0,    9044488,          3,         40,    9044427,          4,         50,    9044414,          2,         30,    9044681,          1,         10,          1,          1,          0,          0,          0,          1,          0,          0, 
262 : mons_MI0012_150_clr1,        263,        263,         16,         61,       2807,       2310,       1050,          0,          0,    9044673,          3,         40,    9044674,          2,         30,    9044675,          1,         10,    9044679,          1,          5,          1,          1,          0,          0,          0,          1,          0,          0, 
263 : mons_MI0012_150_clr2,        264,        264,         16,         61,       2808,       6930,       3150,          0,          0,    9044488,          2,         30,    9044427,          3,         40,    9044414,          1,         20,    9044680,          1,         10,          1,          1,          0,          0,          0,          1,          0,          0, 
264 : mons_MI0010_NM_001,        265,        265,         16,         61,       2810,      19770,       8990,          0,          0,    9044488,          3,         40,    9044414,          2,         30,    9044681,          1,         20,    9044180,          1,          5,          2,          2,          0,          0,          0,          2,          0,          1, 
265 : mons_MI0010_NM_002,        266,        266,         16,         61,       2811,      37330,      16970,          0,          0,    9044427,          4,         50,    9044681,          1,         20,    9044181,          1,          5,    9044186,          1,          3,          3,          3,          0,          0,          0,          3,          0,          1, 
266 : mons_MI0010_NM_003,        267,        267,         16,         61,       2812,       6220,       2830,          0,          0,    9044673,          4,         50,    9044479,          4,         50,    9044674,          2,         30,    9044169,          1,          5,          2,          2,          0,          0,          0,          2,          0,          1, 
267 : mons_MI0010_NM_004,        268,        268,         16,         61,       2813,      10070,       4580,          0,          0,    9044674,          3,         40,    9044675,          1,         20,    9044679,          1,         10,    9044174,          1,          5,          2,          2,          0,          0,          0,          2,          0,          1, 
268 : mons_MI0010_NM_005,        269,        269,         16,         61,       2814,       9700,       4410,          0,          0,    9044674,          3,         40,    9044675,          1,         20,    9044679,          1,         10,    9044173,          1,          5,          2,          2,          0,          0,          0,          2,          0,          1, 
269 : mons_MI0010_NM_006,        270,        270,         16,         61,       2815,      19770,       8990,          0,          0,    9044410,          3,         40,    9044414,          2,         30,    9044680,          1,         20,    9044180,          1,          5,          2,          2,          0,          0,          0,          2,          0,          1, 
270 : mons_MI0010_NM_007,        271,        271,         16,         61,       2816,      19030,       8650,          0,          0,    9044488,          3,         40,    9044427,          4,         50,    9044680,          1,         20,    9044181,          1,          5,          2,          2,          0,          0,          0,          2,          0,          1, 
271 : mons_MI0010_NM_008,        272,        272,         16,         61,       2817,      18300,       8320,          0,          0,    9044427,          4,         50,    9044414,          2,         30,    9044680,          1,         20,    9044180,          1,          5,          2,          2,          0,          0,          0,          2,          0,          1, 
272 : mons_MK1010_100_clr0,        273,        273,         16,         61,       2900,        210,         95,          0,          0,    9044682,          3,         40,    9044468,          3,         40,    9044411,          3,         40,    9044688,          1,         10,          1,          0,          0,          1,          0,          0,          1,          0, 
273 : mons_MK1010_100_clr1,        274,        274,         16,         61,       2901,       2653,       1206,          0,          0,    9044486,          3,         40,    9044684,          2,         30,    9044685,          1,         10,    9044689,          1,         10,          1,          0,          0,          1,          0,          0,          1,          0, 
274 : mons_MK1010_100_clr2,        275,        275,         16,         61,       2902,       3276,       1489,          0,          0,    9044410,          2,         30,    9044684,          2,         30,    9044685,          1,         10,    9044690,          1,         10,          1,          0,          0,          1,          0,          0,          1,          0, 
275 : mons_MK1011_120_clr0,        276,        276,         16,         61,       2903,        315,        143,          0,          0,    9044682,          3,         40,    9044468,          3,         40,    9044683,          3,         40,    9044688,          1,         10,          1,          0,          0,          1,          0,          0,          1,          0, 
276 : mons_MK1011_120_clr1,        277,        277,         16,         61,       2904,       4410,       2005,          0,          0,    9044486,          4,         50,    9044381,          2,         30,    9044691,          1,         10,    9044183,          1,          3,          1,          0,          0,          1,          0,          0,          1,          0, 
277 : mons_MK1011_120_clr2,        278,        278,         16,         61,       2905,       3780,       1718,          0,          0,    9044684,          2,         30,    9044410,          2,         30,    9044685,          1,         10,    9044690,          1,         10,          1,          0,          0,          1,          0,          0,          1,          0, 
278 : mons_MK1010_NM_001,        279,        279,         16,         61,       2910,      10790,       4900,          0,          0,    9044486,          4,         50,    9044684,          3,         40,    9044685,          1,         20,    9044182,          1,          5,          2,          0,          0,          2,          0,          0,          2,          1, 
279 : mons_MK1010_NM_002,        280,        280,         16,         61,       2911,       6720,       3050,          0,          0,    9044486,          4,         50,    9044684,          2,         30,    9044685,          1,         10,    9044174,          1,          5,          2,          0,          0,          2,          0,          0,          2,          1, 
280 : mons_MK1010_NM_003,        281,        281,         16,         61,       2912,       3530,       1600,          0,          0,    9044406,          4,         50,    9044407,          3,         40,    9044689,          1,         10,    9044170,          1,          5,          2,          0,          0,          2,          0,          0,          2,          1, 
281 : mons_MK1010_NM_004,        282,        282,         16,         61,       2913,        830,        380,          0,          0,    9044682,          4,         50,    9044683,          4,         50,    9044468,          4,         50,    9044409,          3,         40,          2,          0,          0,          2,          0,          0,          2,          1, 
282 : mons_MK1010_NM_005,        283,        283,         16,         61,       2914,       3490,       1590,          0,          0,    9044415,          4,         50,    9044486,          3,         40,    9044689,          1,         10,    9044170,          1,          5,          2,          0,          0,          2,          0,          0,          2,          1, 
283 : mons_MK1010_NM_006,        284,        284,         16,         61,       2915,      20970,       9530,          0,          0,    9044486,          3,         40,    9044410,          2,         30,    9044179,          1,          5,    9044183,          1,          3,          3,          0,          0,          3,          0,          0,          3,          1, 
284 : mons_MK1010_NM_007,        285,        285,         16,         61,       2916,       7060,       3210,          0,          0,    9044415,          4,         50,    9044407,          3,         40,    9044684,          2,         30,    9044172,          1,          5,          3,          0,          0,          3,          0,          0,          3,          1, 
285 : mons_MK1010_NM_008,        286,        286,         16,         61,       2917,      14520,       6600,          0,          0,    9044486,          4,         50,    9044684,          3,         40,    9044690,          1,         10,    9044176,          1,          5,          3,          0,          0,          3,          0,          0,          3,          1, 
286 : mons_MK0030_100_clr0,        287,        287,         16,         61,       3000,       2200,       1000,          0,          0,    9044692,          3,         40,    9044399,          3,         40,    9044404,          2,         30,    9044698,          1,          5,          1,          0,          1,          0,          0,          1,          0,          0, 
287 : mons_MK0030_100_clr1,        288,        288,         16,         61,       3001,       5280,       2400,          0,          0,    9044460,          3,         40,    9044444,          3,         40,    9044404,          3,         40,    9044699,          1,          5,          1,          0,          1,          0,          0,          1,          0,          0, 
288 : mons_MK0030_100_clr2,        289,        289,         16,         61,       3002,      17160,       7800,          0,          0,    9044694,          2,         30,    9044477,          2,         30,    9044470,          2,         30,    9044700,          1,         10,          1,          0,          1,          0,          0,          1,          0,          0, 
289 : mons_MK0030_NM_001,        290,        290,         16,         61,       3010,      17600,       8000,          0,          0,    9044693,          4,         50,    9044407,          3,         40,    9044698,          1,         10,    9044169,          1,          5,          2,          0,          2,          0,          0,          2,          0,          1, 
290 : mons_MK0030_NM_002,        291,        291,         16,         61,       3011,      35550,      16160,          0,          0,    9044693,          4,         50,    9044416,          3,         40,    9044698,          1,         20,    9044171,          1,          5,          3,          0,          3,          0,          0,          3,          0,          1, 
291 : mons_MK0030_NM_003,        292,        292,         16,         61,       3012,      76740,      34880,          0,          0,    9044452,          3,         40,    9044694,          2,         30,    9044699,          1,         10,    9044177,          1,          5,          3,          0,          3,          0,          0,          3,          0,          1, 
292 : mons_MK0030_NM_004,        293,        293,         16,         61,       3013,      17950,       8160,          0,          0,    9044693,          4,         50,    9044407,          3,         40,    9044416,          3,         40,    9044169,          1,          5,          2,          0,          2,          0,          0,          2,          0,          1, 
293 : mons_MK0030_NM_005,        294,        294,         16,         61,       3014,      44440,      20200,          0,          0,    9044452,          4,         50,    9044694,          3,         40,    9044699,          1,         20,    9044178,          1,          5,          2,          0,          2,          0,          0,          2,          0,          1, 
294 : mons_MK0030_NM_006,        295,        295,         16,         61,       3015,     115100,      52320,          0,          0,    9044467,          4,         50,    9044470,          2,         30,    9044700,          1,         10,    9044181,          1,          5,          3,          0,          3,          0,          0,          3,          0,          1, 
295 : mons_MK0030_NM_007,        296,        296,         16,         61,       3016,      67760,      30800,          0,          0,    9044477,          3,         40,    9044470,          3,         40,    9044700,          1,         20,    9044186,          1,          5,          2,          0,          2,          0,          0,          2,          0,          1, 
296 : mons_MK0030_NM_008,        297,        297,         16,         61,       3017,      45760,      20800,          0,          0,    9044452,          4,         50,    9044694,          2,         30,    9044700,          1,         10,    9044178,          1,          5,          2,          0,          2,          0,          0,          2,          0,          1, 
297 : mons_MK0020_100_clr0,        298,        298,         16,         61,       3100,        975,        443,          0,          0,    9044701,          3,         40,    9044448,          3,         40,    9044703,          2,         30,    9044707,          1,          5,          1,          0,          1,          0,          0,          0,          1,          0, 
298 : mons_MK0020_100_clr1,        299,        299,         16,         61,       3101,       4680,       2127,          0,          0,    9044448,          3,         40,    9044422,          3,         40,    9044703,          2,         30,    9044708,          1,          5,          1,          0,          1,          0,          0,          0,          1,          0, 
299 : mons_MK0020_100_clr2,        300,        300,         16,         61,       3102,      15210,       6914,          0,          0,    9044704,          1,         10,    9044473,          2,         30,    9044482,          2,         30,    9044709,          1,          5,          1,          0,          1,          0,          0,          0,          1,          0, 
300 : mons_MK0020_NM_001,        301,        301,         16,         61,       3110,     102020,      46370,          0,          0,    9044473,          3,         40,    9044482,          2,         30,    9044491,          2,         30,    9044184,          1,          5,          3,          0,          3,          0,          0,          0,          3,          1, 
301 : mons_MK0020_NM_002,        302,        302,         16,         61,       3111,      57330,      26060,          0,          0,    9044482,          3,         40,    9044491,          2,         30,    9044709,          1,         10,    9044186,          1,          5,          2,          0,          2,          0,          0,          0,          2,          1, 
302 : mons_MK0020_NM_003,        303,        303,         16,         61,       3112,       8580,       3900,          0,          0,    9044702,          4,         50,    9044448,          4,         50,    9044703,          2,         30,    9044707,          1,         10,          3,          0,          3,          0,          0,          0,          3,          1, 
303 : mons_MK0020_NM_004,        304,        304,         16,         61,       3113,      68020,      30920,          0,          0,    9044455,          3,         40,    9044703,          3,         40,    9044473,          2,         30,    9044177,          1,          5,          3,          0,          3,          0,          0,          0,          3,          1, 
304 : mons_MK0020_NM_005,        305,        305,         16,         61,       3114,      31820,      14460,          0,          0,    9044704,          1,         20,    9044464,          3,         40,    9044708,          1,         20,    9044173,          1,          5,          2,          0,          2,          0,          0,          0,          2,          1, 
305 : mons_MK0020_NM_006,        306,        306,         16,         61,       3115,      64900,      29500,          0,          0,    9044464,          3,         40,    9044417,          3,         40,    9044473,          2,         30,    9044175,          1,          5,          3,          0,          3,          0,          0,          0,          3,          1, 
306 : mons_MK0020_NM_007,        307,        307,         16,         61,       3116,      34320,      15600,          0,          0,    9044703,          3,         40,    9044400,          3,         40,    9044707,          1,         20,    9044171,          1,          5,          3,          0,          3,          0,          0,          0,          3,          1, 
307 : mons_MK0020_NM_008,        308,        308,         16,         61,       3117,      31200,      14180,          0,          0,    9044703,          3,         40,    9044707,          1,         20,    9044704,          1,         10,    9044171,          1,          5,          3,          0,          3,          0,          0,          0,          3,          1, 
308 : mons_MK0010_100_clr0,        309,        309,         16,         61,       3200,       5600,       2545,          0,          0,    9044457,          3,         40,    9044431,          3,         40,    9044466,          3,         40,    9044716,          1,         10,          1,          1,          0,          0,          0,          1,          0,          0, 
309 : mons_MK0010_100_clr1,        310,        310,         16,         61,       3201,      13440,       6109,          0,          0,    9044484,          2,         30,    9044712,          2,         30,    9044713,          1,         10,    9044717,          1,          5,          1,          1,          0,          0,          0,          1,          0,          0, 
310 : mons_MK0010_100_clr2,        311,        311,         16,         61,       3202,      21840,       9927,          0,          0,    9044424,          2,         30,    9044493,          2,         30,    9044713,          1,         10,    9044718,          1,          5,          1,          1,          0,          0,          0,          1,          0,          0, 
311 : mons_MK0010_NM_001,        312,        312,         16,         61,       3210,     134400,      61090,          0,          0,    9044484,          3,         40,    9044493,          2,         30,    9044475,          2,         30,    9044181,          1,          5,          5,          3,          0,          0,          0,          3,          0,          2, 
312 : mons_MK0010_NM_002,        313,        313,         16,         61,       3211,     147840,      67200,          0,          0,    9044424,          3,         40,    9044493,          2,         30,    9044475,          2,         30,    9044181,          1,          5,          5,          3,          0,          0,          0,          3,          0,          2, 
313 : mons_MK0010_NM_003,        314,        314,         16,         61,       3212,      22180,      10080,          0,          0,    9044711,          4,         50,    9044431,          4,         50,    9044466,          4,         50,    9044407,          3,         40,          5,          3,          0,          0,          0,          3,          0,          2, 
314 : mons_MK0010_NM_004,        315,        315,         16,         61,       3213,      47040,      21380,          0,          0,    9044710,          4,         50,    9044712,          3,         40,    9044713,          1,         20,    9044171,          1,          5,          5,          3,          0,          0,          0,          3,          0,          2, 
315 : mons_MK0010_NM_005,        316,        316,         16,         61,       3214,      96770,      43990,          0,          0,    9044712,          3,         40,    9044713,          1,         20,    9044717,          1,         20,    9044175,          1,          5,          5,          3,          0,          0,          0,          3,          0,          2, 
316 : mons_MK0010_NM_006,        317,        317,         16,         61,       3215,      12210,       5550,          0,          0,    9044457,          4,         50,    9044710,          4,         50,    9044431,          4,         50,    9044711,          4,         50,          5,          3,          0,          0,          0,          3,          0,          2, 
317 : mons_MK0010_NM_007,        318,        318,         16,         61,       3216,     166210,      75550,          0,          0,    9044493,          3,         40,    9044475,          2,         30,    9044718,          1,         20,    9044186,          1,          5,          5,          3,          0,          0,          0,          3,          0,          2, 
318 : mons_MK0010_NM_008,        319,        319,         16,         61,       3217,     197120,      89600,          0,          0,    9044493,          3,         40,    9044475,          3,         40,    9044718,          1,         20,    9044188,          1,          5,          5,          3,          0,          0,          0,          3,          0,          2, 
319 : mons_ML0010_100_clr0,        320,        320,         16,         61,       3300,       2080,        945,          0,          0,    8978439,          2,         30,    9044719,          3,         40,    9044489,          3,         40,    9044721,          2,         30,          1,          0,          0,          1,          0,          0,          1,          0, 
320 : mons_ML0010_100_clr1,        321,        321,         16,         61,       3301,       3456,       1571,          0,          0,    9044489,          3,         40,    9044719,          3,         40,    9044324,          3,         40,    9044722,          1,         10,          1,          0,          0,          1,          0,          0,          1,          0, 
321 : mons_ML0010_100_clr2,        322,        322,         16,         61,       3302,      11232,       5105,          0,          0,    9044721,          2,         30,    9044722,          1,         10,    9044338,          1,         20,    9044343,          1,         20,          1,          0,          0,          1,          0,          0,          1,          0, 
322 : mons_ML0011_120_clr0,        323,        323,         16,         61,       3303,       4320,       1964,          0,          0,    9044719,          3,         40,    9044489,          3,         40,    9044337,          2,         30,    9044721,          2,         30,          1,          0,          0,          1,          0,          0,          1,          0, 
323 : mons_ML0011_120_clr1,        324,        324,         16,         61,       3304,       4320,       1964,          0,          0,    9044719,          3,         40,    9044489,          3,         40,    9044369,          3,         40,    9044722,          1,         10,          1,          0,          0,          1,          0,          0,          1,          0, 
324 : mons_ML0011_120_clr2,        325,        325,         16,         61,       3305,      12960,       5891,          0,          0,    9044721,          2,         30,    9044722,          1,         10,    9044338,          1,         20,    9044343,          1,         20,          1,          0,          0,          1,          0,          0,          1,          0, 
325 : mons_ML0010_NM_001,        326,        326,         16,         61,       3310,      25340,      11520,          0,          0,    9044335,          4,         50,    9044721,          3,         40,    9044722,          1,         20,    9044173,          1,          5,          2,          0,          0,          2,          0,          0,          2,          1, 
326 : mons_ML0010_NM_002,        327,        327,         16,         61,       3311,      41530,      18880,          0,          0,    9044336,          2,         30,    9044343,          2,         30,    9044722,          1,         20,    9044186,          1,          5,          2,          0,          0,          2,          0,          0,          2,          1, 
327 : mons_ML0010_NM_003,        328,        328,         16,         61,       3312,      24880,      11310,          0,          0,    9044337,          4,         50,    9044721,          3,         40,    9044722,          1,         20,    9044173,          1,          5,          2,          0,          0,          2,          0,          0,          2,          1, 
328 : mons_ML0010_NM_004,        329,        329,         16,         61,       3313,      24420,      11100,          0,          0,    9044369,          4,         50,    9044721,          3,         40,    9044722,          1,         20,    9044175,          1,          5,          2,          0,          0,          2,          0,          0,          2,          1, 
329 : mons_ML0010_NM_005,        330,        330,         16,         61,       3314,      70500,      32050,          0,          0,    9044338,          2,         30,    9044343,          2,         30,    9044336,          1,         20,    9044185,          1,          5,          3,          0,          0,          3,          0,          0,          3,          1, 
330 : mons_ML0010_NM_006,        331,        331,         16,         61,       3315,       5930,       2700,          0,          0,    9044415,          4,         50,    9044324,          3,         40,    9044489,          3,         40,    9044720,          1,         10,          2,          0,          0,          2,          0,          0,          2,          1, 
331 : mons_ML0010_NM_007,        332,        332,         16,         61,       3316,      72580,      32990,          0,          0,    9044721,          3,         40,    9044722,          2,         30,    9044343,          2,         30,    9044183,          1,          5,          3,          0,          0,          3,          0,          0,          3,          1, 
332 : mons_ML0010_NM_008,        333,        333,         16,         61,       3317,      23040,      10470,          0,          0,    9044719,          4,         50,    9044489,          4,         50,    9044721,          2,         30,    9044171,          1,          5,          3,          0,          0,          3,          0,          0,          3,          1, 
333 : mons_ML0020_100_clr0,        334,        334,         16,         61,       3400,       2560,       1164,          0,          0,    9044415,          3,         40,    9044489,          3,         40,    9044729,          3,         40,    9044730,          2,         30,          1,          0,          1,          0,          0,          1,          0,          0, 
334 : mons_ML0020_100_clr1,        335,        335,         16,         61,       3401,       6048,       2749,          0,          0,    9044729,          3,         40,    9044489,          3,         40,    9044730,          2,         30,    9044171,          1,          3,          1,          0,          1,          0,          0,          1,          0,          0, 
335 : mons_ML0020_100_clr2,        336,        336,         16,         61,       3402,      10920,       4964,          0,          0,    9044730,          2,         30,    9044731,          1,         10,    9044363,          2,         30,    9044736,          1,         20,          1,          0,          1,          0,          0,          1,          0,          0, 
336 : mons_ML0021_120_clr0,        337,        337,         16,         61,       3403,       5040,       2291,          0,          0,    9044489,          3,         40,    9044728,          3,         40,    9044729,          3,         40,    9044730,          2,         30,          1,          0,          1,          0,          0,          1,          0,          0, 
337 : mons_ML0021_120_clr1,        338,        338,         16,         61,       3404,       7560,       3436,          0,          0,    9044729,          3,         40,    9044324,          3,         40,    9044730,          2,         30,    9044731,          1,         10,          1,          0,          1,          0,          0,          1,          0,          0, 
338 : mons_ML0021_120_clr2,        339,        339,         16,         61,       3405,      12600,       5727,          0,          0,    9044335,          4,         50,    9044325,          3,         40,    9044737,          1,         20,    9044731,          1,         30,          1,          0,          1,          0,          0,          1,          0,          0, 
339 : mons_ML0020_NM_001,        340,        340,         16,         61,       3410,      99720,      45330,          0,          0,    9044343,          2,         30,    9044336,          2,         30,    9044186,          1,          5,    9044188,          1,          3,          3,          0,          3,          0,          0,          3,          0,          1, 
340 : mons_ML0020_NM_002,        341,        341,         16,         61,       3411,      26880,      12220,          0,          0,    9044489,          4,         50,    9044730,          3,         40,    9044731,          1,         20,    9044171,          1,          5,          3,          0,          3,          0,          0,          3,          0,          1, 
341 : mons_ML0020_NM_003,        342,        342,         16,         61,       3412,      13310,       6050,          0,          0,    9044728,          4,         50,    9044730,          3,         40,    9044731,          1,         20,    9044169,          1,          5,          2,          0,          2,          0,          0,          2,          0,          1, 
342 : mons_ML0020_NM_004,        343,        343,         16,         61,       3413,      27420,      12460,          0,          0,    9044730,          3,         40,    9044731,          1,         20,    9044363,          2,         30,    9044173,          1,          5,          2,          0,          2,          0,          0,          2,          0,          1, 
343 : mons_ML0020_NM_005,        344,        344,         16,         61,       3414,      41930,      19060,          0,          0,    9044730,          3,         40,    9044731,          2,         30,    9044343,          2,         30,    9044180,          1,          5,          2,          0,          2,          0,          0,          2,          0,          1, 
344 : mons_ML0020_NM_006,        345,        345,         16,         61,       3415,      27150,      12340,          0,          0,    9044489,          4,         50,    9044730,          3,         40,    9044731,          1,         20,    9044171,          1,          5,          3,          0,          3,          0,          0,          3,          0,          1, 
345 : mons_ML0020_NM_007,        346,        346,         16,         61,       3416,      28490,      12950,          0,          0,    9044728,          4,         50,    9044730,          3,         40,    9044731,          1,         20,    9044169,          1,          5,          3,          0,          3,          0,          0,          3,          0,          1, 
346 : mons_ML0020_NM_008,        347,        347,         16,         61,       3417,      55370,      25170,          0,          0,    9044730,          3,         40,    9044731,          1,         20,    9044363,          2,         30,    9044178,          1,          5,          3,          0,          3,          0,          0,          3,          0,          1, 
347 : mons_ML1010_100_clr0,        348,        348,         16,         61,       3500,       5040,       2291,          0,          0,    9044457,          3,         40,    9044738,          3,         40,    9044742,          1,          5,    9044169,          1,          5,          1,          0,          1,          0,          0,          0,          1,          0, 
348 : mons_ML1010_100_clr1,        349,        349,         16,         61,       3501,      18144,       8247,          0,          0,    9044484,          3,         40,    9044739,          2,         30,    9044493,          2,         30,    9044743,          1,         10,          1,          0,          1,          0,          0,          0,          1,          0, 
349 : mons_ML1010_100_clr2,        350,        350,         16,         61,       3502,      19656,       8935,          0,          0,    9044484,          3,         40,    9044410,          2,         30,    9044493,          2,         30,    9044744,          1,          5,          1,          0,          1,          0,          0,          0,          1,          0, 
