           km_,   km_namen,    km_help, km_namen_suffix, km_StrNo_SkeletalMesh, km_material_id, km_StrNo_AnimSet_b, km_StrNo_AnimTree_b, km_StrNo_AnimSet_f, km_StrNo_AnimTree_f, km_trax_battle_basic, km_StrNo_sp_staus_pkgname00, km_StrNo_sp_dead_pkgname00, km_StrNo_seb_move, km_StrNo_seb_effect, km_ja_inter, km_StrNo_seb_actorvoice, km_StrNo_voice_cue_prefix, km_btl_voice_chara, km_menu_voice_id, km_blood_type, km_build_id, km_variation_id,    km_df_h,    km_df_m,    km_df_l,    km_lodh, km_chara_hit, km_model_collision_x, km_model_collision_y, km_model_collision_z, km_chara_camera_hit, km_figure_camera_size, km_camera_hit_on, km_z_offset, km_mot_guard_type, km_mot_dead_type, km_mot_sidemove_type, km_ragdoll, km_mot_movespeed_walk, km_mot_movespeed_run, km_mot_movespeed_rev, km_global_breed_category, km_global_breed, km_multi_lockup, km_move_style, km_mode_vibration, km_move_speed_battle_w, km_move_speed_battle_r, km_face_id, km_emblem_id, km_emblem_mat,     km_sex, km_friend_type, km_collision_weight, km_hp_gauge_announce, km_use_shadow, km_model_no_hide, km_nikusitsu, km_shield_count, km_pop_offset, km_on_leader, 
961 : EV0310_001_BTL_unit05,         85,         -1,          1,      73169,          0,      73170,      73171,      73172,      73173,          0,      73174,      73175,      73176,      73177,          1,      73178,      73179,         46,          0,          1,          0,          0,          0,        600,        200,         20,          1,         45,        165,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,        131,         57,          1,          0,          2,        700,          0,          0,          0,          0,          0,          0,          0, 
962 : EV0310_001_BTL_unit06,         85,         -1,          1,      73180,          1,      73181,      73182,      73183,      73184,          0,      73185,      73186,      73187,      73188,          1,      73189,      73190,         46,          0,          1,          0,          0,          0,        600,        200,         20,          1,         45,        165,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,        132,         57,          1,          0,          2,        700,          0,          0,          0,          0,          0,          0,          0, 
963 : EV0310_001_BTL_unit07,         85,         -1,          1,      73191,          2,      73192,      73193,      73194,      73195,          0,      73196,      73197,      73198,      73199,          1,      73200,      73201,         46,          0,          1,          0,          0,          0,        600,        200,         20,          1,         45,        165,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,        133,         57,          1,          0,          2,        700,          0,          0,          0,          0,          0,          0,          0, 
964 : EV0310_001_BTL_unit08,         85,         -1,          1,      73202,          0,      73203,      73204,      73205,      73206,          0,      73207,      73208,      73209,      73210,          1,      73211,      73212,         47,          0,          1,          0,          0,          0,        600,        200,         20,          1,         75,        255,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        180,         -1,          1,          1,          0,          0,          2,          6,        137,         59,          1,          0,          2,       1200,          0,          0,          0,          0,          0,          0,          0, 
965 : EV0310_001_BTL_unit09,         85,         -1,          1,      73213,          1,      73214,      73215,      73216,      73217,          0,      73218,      73219,      73220,      73221,          1,      73222,      73223,         47,          0,          1,          0,          0,          0,        600,        200,         20,          1,         75,        255,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        180,         -1,          1,          1,          0,          0,          2,          6,        138,         59,          1,          0,          2,       1200,          0,          0,          0,          0,          0,          0,          0, 
966 : EV0310_001_BTL_unit10,         85,         -1,          1,      73224,          2,      73225,      73226,      73227,      73228,          0,      73229,      73230,      73231,      73232,          1,      73233,      73234,         47,          0,          1,          0,          0,          0,        600,        200,         20,          1,         75,        255,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        180,         -1,          1,          1,          0,          0,          2,          6,        139,         59,          1,          0,          2,       1200,          0,          0,          0,          0,          0,          0,          0, 
967 : EV0310_001_BTL_unit11,         85,         -1,          1,      73235,          0,      73236,      73237,      73238,      73239,          0,      73240,      73241,      73242,      73243,          1,      73244,      73245,         48,          0,          1,          0,          0,          0,        300,        200,         20,          1,         43,        125,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          2,          1,          0,          0,          2,          6,        140,         60,          1,          0,          2,        500,          0,          0,          0,          0,          0,          0,          0, 
968 : EV0310_001_BTL_unit12,         85,         -1,          1,      73246,          1,      73247,      73248,      73249,      73250,          0,      73251,      73252,      73253,      73254,          1,      73255,      73256,         48,          0,          1,          0,          0,          0,        300,        200,         20,          1,         43,        125,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          2,          1,          0,          0,          2,          6,        141,         60,          1,          0,          2,        500,          0,          0,          0,          0,          0,          0,          0, 
969 : EV0310_001_BTL_unit13,         85,         -1,          1,      73257,          2,      73258,      73259,      73260,      73261,          0,      73262,      73263,      73264,      73265,          1,      73266,      73267,         48,          0,          1,          0,          0,          0,        300,        200,         20,          1,         43,        125,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          2,          1,          0,          0,          2,          6,        142,         60,          1,          0,          2,        500,          0,          0,          0,          0,          0,          0,          0, 
970 : EV0330_001_BTL_unit01,        850,         -1,          2,      73268,          0,      73269,      73270,      73271,      73272,          1,      73273,      73274,      73275,      73276,          0,      73277,      73278,         71,          0,          4,          0,          0,          0,        400,        200,         20,          1,         80,        390,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          7,        120,         -1,         48,          3,          0,          0,          2,          6,       1005,         -1,          0,          2,          0,      15000,          0,          0,          1,          1,          1,          1,          0, 
971 : EV0330_001_BTL_unit02,         85,         -1,          1,      73279,          0,      73280,      73281,      73282,      73283,          0,      73284,      73285,      73286,      73287,          1,      73288,      73289,         45,          0,          1,          0,          0,          0,        600,        200,         20,          1,         55,        187,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,        134,         57,          1,          0,          2,        800,          0,          0,          0,          0,          0,          0,          0, 
972 : EV0330_001_BTL_unit03,         85,         -1,          1,      73290,          1,      73291,      73292,      73293,      73294,          0,      73295,      73296,      73297,      73298,          1,      73299,      73300,         45,          0,          1,          0,          0,          0,        600,        200,         20,          1,         55,        187,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,        135,         57,          1,          0,          2,        800,          0,          0,          0,          0,          0,          0,          0, 
973 : EV0330_001_BTL_unit04,         85,         -1,          1,      73301,          2,      73302,      73303,      73304,      73305,          0,      73306,      73307,      73308,      73309,          1,      73310,      73311,         45,          0,          1,          0,          0,          0,        600,        200,         20,          1,         55,        187,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,        136,         57,          1,          0,          2,        800,          0,          0,          0,          0,          0,          0,          0, 
974 : EV0330_001_BTL_unit05,         85,         -1,          1,      73312,          0,      73313,      73314,      73315,      73316,          0,      73317,      73318,      73319,      73320,          1,      73321,      73322,         46,          0,          1,          0,          0,          0,        600,        200,         20,          1,         45,        165,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,        131,         57,          1,          0,          2,        700,          0,          0,          0,          0,          0,          0,          0, 
975 : EV0330_001_BTL_unit06,         85,         -1,          1,      73323,          1,      73324,      73325,      73326,      73327,          0,      73328,      73329,      73330,      73331,          1,      73332,      73333,         46,          0,          1,          0,          0,          0,        600,        200,         20,          1,         45,        165,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,        132,         57,          1,          0,          2,        700,          0,          0,          0,          0,          0,          0,          0, 
976 : EV0330_001_BTL_unit07,         85,         -1,          1,      73334,          2,      73335,      73336,      73337,      73338,          0,      73339,      73340,      73341,      73342,          1,      73343,      73344,         46,          0,          1,          0,          0,          0,        600,        200,         20,          1,         45,        165,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,        133,         57,          1,          0,          2,        700,          0,          0,          0,          0,          0,          0,          0, 
977 : EV0330_001_BTL_unit08,         85,         -1,          1,      73345,          0,      73346,      73347,      73348,      73349,          0,      73350,      73351,      73352,      73353,          1,      73354,      73355,         47,          0,          1,          0,          0,          0,        600,        200,         20,          1,         75,        255,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        180,         -1,          1,          1,          0,          0,          2,          6,        137,         59,          1,          0,          2,       1200,          0,          0,          0,          0,          0,          0,          0, 
978 : EV0330_001_BTL_unit09,         85,         -1,          1,      73356,          1,      73357,      73358,      73359,      73360,          0,      73361,      73362,      73363,      73364,          1,      73365,      73366,         47,          0,          1,          0,          0,          0,        600,        200,         20,          1,         75,        255,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        180,         -1,          1,          1,          0,          0,          2,          6,        138,         59,          1,          0,          2,       1200,          0,          0,          0,          0,          0,          0,          0, 
979 : EV0330_001_BTL_unit10,         85,         -1,          1,      73367,          2,      73368,      73369,      73370,      73371,          0,      73372,      73373,      73374,      73375,          1,      73376,      73377,         47,          0,          1,          0,          0,          0,        600,        200,         20,          1,         75,        255,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        180,         -1,          1,          1,          0,          0,          2,          6,        139,         59,          1,          0,          2,       1200,          0,          0,          0,          0,          0,          0,          0, 
980 : EV0330_001_BTL_unit11,         85,         -1,          1,      73378,          0,      73379,      73380,      73381,      73382,          0,      73383,      73384,      73385,      73386,          1,      73387,      73388,         48,          0,          1,          0,          0,          0,        300,        200,         20,          1,         43,        125,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          2,          1,          0,          0,          2,          6,        140,         60,          1,          0,          2,        500,          0,          0,          0,          0,          0,          0,          0, 
981 : EV0330_001_BTL_unit12,         85,         -1,          1,      73389,          1,      73390,      73391,      73392,      73393,          0,      73394,      73395,      73396,      73397,          1,      73398,      73399,         48,          0,          1,          0,          0,          0,        300,        200,         20,          1,         43,        125,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          2,          1,          0,          0,          2,          6,        141,         60,          1,          0,          2,        500,          0,          0,          0,          0,          0,          0,          0, 
982 : EV0330_001_BTL_unit13,         85,         -1,          1,      73400,          2,      73401,      73402,      73403,      73404,          0,      73405,      73406,      73407,      73408,          1,      73409,      73410,         48,          0,          1,          0,          0,          0,        300,        200,         20,          1,         43,        125,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          2,          1,          0,          0,          2,          6,        142,         60,          1,          0,          2,        500,          0,          0,          0,          0,          0,          0,          0, 
983 : EV0330_001_BTL_unit14,        875,         -1,         50,      73411,          0,      73412,      73413,      73414,      73415,          1,      73416,      73417,      73418,      73419,          0,      73420,      73421,         77,          0,          5,          0,          0,          0,        600,        200,         20,          1,         65,        200,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,         90,         15,         18,          1,          0,          0,          2,          6,       1019,         -1,          0,          2,          0,       2000,          0,          0,          0,          0,          1,          0,          0, 
984 : EV0610_001_BTL_unit01,        828,         -1,          2,      73422,          0,      73423,      73424,      73425,      73426,          1,      73427,      73428,      73429,      73430,          0,      73431,      73432,         59,          0,          4,          0,          0,          0,        400,        200,         20,          1,         90,        290,        100,          0,          0,          0,          1,          0,          0,          0,          1,          1,          7,         90,         -1,         47,          3,          0,          0,          2,          6,       1006,         -1,          0,          2,          0,      16000,          0,          0,          1,          1,          1,          1,          0, 
985 : EV0720_001_BTL_unit01,        831,         -1,          2,      73433,          0,      73434,      73435,      73436,      73437,          0,      73438,      73439,      73440,      73441,          1,      73442,      73443,         61,          0,          1,          0,          0,          0,        400,        200,         20,          1,         40,        155,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,          7,        113,          0,          2,          0,        800,          0,          0,          0,          0,          1,          0,          0, 
986 : EV0720_001_BTL_unit02,        832,         -1,          2,      73444,          0,      73445,      73446,      73447,      73448,          1,      73449,      73450,      73451,      73452,          0,      73453,      73454,         62,          0,          1,          0,          0,          0,        400,        200,         20,          1,         75,        310,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        120,         -1,          0,          3,          0,          0,          2,          6,       1001,        113,          0,          2,          0,       1400,          0,          0,          0,          1,          1,          1,          0, 
987 : EV0720_001_BTL_unit03,       1262,         -1,          1,      73455,          0,      73456,      73457,      73458,      73459,          0,      73460,      73461,      73462,      73463,          1,      73464,      73465,         39,          0,          1,          0,          0,          0,        600,        200,         20,          1,         55,        187,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,         80,        113,          1,          0,          2,        800,          0,          0,          0,          0,          0,          0,          0, 
988 : EV0720_001_BTL_unit04,       1262,         -1,          1,      73466,          0,      73467,      73468,      73469,      73470,          0,      73471,      73472,      73473,      73474,          1,      73475,      73476,         39,          0,          1,          0,          0,          0,        600,        200,         20,          1,         55,        187,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,         81,        113,          1,          0,          2,        800,          0,          0,          0,          0,          0,          0,          0, 
989 : EV0720_001_BTL_unit05,       1262,         -1,          1,      73477,          0,      73478,      73479,      73480,      73481,          0,      73482,      73483,      73484,      73485,          1,      73486,      73487,         39,          0,          1,          0,          0,          0,        600,        200,         20,          1,         55,        187,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,         82,        113,          1,          0,          2,        800,          0,          0,          0,          0,          0,          0,          0, 
990 : EV0720_001_BTL_unit06,       1262,         -1,          1,      73488,          0,      73489,      73490,      73491,      73492,          0,      73493,      73494,      73495,      73496,          1,      73497,      73498,         40,          0,          1,          0,          0,          0,        600,        200,         20,          1,         45,        165,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,         75,        113,          1,          0,          2,        700,          0,          0,          0,          0,          0,          0,          0, 
991 : EV0720_001_BTL_unit07,       1262,         -1,          1,      73499,          0,      73500,      73501,      73502,      73503,          0,      73504,      73505,      73506,      73507,          1,      73508,      73509,         40,          0,          1,          0,          0,          0,        600,        200,         20,          1,         45,        165,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,         76,        113,          1,          0,          2,        700,          0,          0,          0,          0,          0,          0,          0, 
992 : EV0720_001_BTL_unit08,       1262,         -1,          1,      73510,          0,      73511,      73512,      73513,      73514,          0,      73515,      73516,      73517,      73518,          1,      73519,      73520,         40,          0,          1,          0,          0,          0,        600,        200,         20,          1,         45,        165,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,         77,        113,          1,          0,          2,        700,          0,          0,          0,          0,          0,          0,          0, 
993 : EV0720_001_BTL_unit09,       1262,         -1,          1,      73521,          0,      73522,      73523,      73524,      73525,          0,      73526,      73527,      73528,      73529,          1,      73530,      73531,         41,          0,          1,          0,          0,          0,        600,        200,         20,          1,         45,        165,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,         90,        113,          1,          1,          2,        600,          0,          0,          0,          0,          0,          0,          0, 
994 : EV0720_001_BTL_unit10,       1262,         -1,          1,      73532,          0,      73533,      73534,      73535,      73536,          0,      73537,      73538,      73539,      73540,          1,      73541,      73542,         41,          0,          1,          0,          0,          0,        600,        200,         20,          1,         45,        165,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,         91,        113,          1,          1,          2,        600,          0,          0,          0,          0,          0,          0,          0, 
995 : EV0720_001_BTL_unit11,       1262,         -1,          1,      73543,          0,      73544,      73545,      73546,      73547,          0,      73548,      73549,      73550,      73551,          1,      73552,      73553,         41,          0,          1,          0,          0,          0,        600,        200,         20,          1,         45,        165,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,         92,        113,          1,          1,          2,        600,          0,          0,          0,          0,          0,          0,          0, 
996 : EV0720_001_BTL_unit12,       1262,         -1,          1,      73554,          0,      73555,      73556,      73557,      73558,          0,      73559,      73560,      73561,      73562,          1,      73563,      73564,         42,          0,          1,          0,          0,          0,        600,        200,         20,          1,         40,        155,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,         85,        113,          1,          1,          2,        500,          0,          0,          0,          0,          0,          0,          0, 
997 : EV0720_001_BTL_unit13,       1262,         -1,          1,      73565,          0,      73566,      73567,      73568,      73569,          0,      73570,      73571,      73572,      73573,          1,      73574,      73575,         42,          0,          1,          0,          0,          0,        600,        200,         20,          1,         40,        155,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,         86,        113,          1,          1,          2,        500,          0,          0,          0,          0,          0,          0,          0, 
998 : EV0720_001_BTL_unit14,       1262,         -1,          1,      73576,          0,      73577,      73578,      73579,      73580,          0,      73581,      73582,      73583,      73584,          1,      73585,      73586,         42,          0,          1,          0,          0,          0,        600,        200,         20,          1,         40,        155,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,         87,        113,          1,          1,          2,        500,          0,          0,          0,          0,          0,          0,          0, 
999 : EV0720_001_BTL_unit15,       1262,         -1,          1,      73587,          0,      73588,      73589,      73590,      73591,          0,      73592,      73593,      73594,      73595,          1,      73596,      73597,         43,          0,          1,          0,          0,          0,        600,        200,         20,          1,         75,        255,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        180,         -1,          1,          1,          0,          0,          2,          6,         95,        113,          1,          0,          2,       1200,          0,          0,          0,          0,          0,          0,          0, 
1000 : EV0720_001_BTL_unit16,       1262,         -1,          1,      73598,          0,      73599,      73600,      73601,      73602,          0,      73603,      73604,      73605,      73606,          1,      73607,      73608,         43,          0,          1,          0,          0,          0,        600,        200,         20,          1,         75,        255,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        180,         -1,          1,          1,          0,          0,          2,          6,         96,        113,          1,          0,          2,       1200,          0,          0,          0,          0,          0,          0,          0, 
1001 : EV0720_001_BTL_unit17,       1262,         -1,          1,      73609,          0,      73610,      73611,      73612,      73613,          0,      73614,      73615,      73616,      73617,          1,      73618,      73619,         43,          0,          1,          0,          0,          0,        600,        200,         20,          1,         75,        255,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        180,         -1,          1,          1,          0,          0,          2,          6,         97,        113,          1,          0,          2,       1200,          0,          0,          0,          0,          0,          0,          0, 
1002 : EV0720_001_BTL_unit18,       1262,         -1,          1,      73620,          0,      73621,      73622,      73623,      73624,          0,      73625,      73626,      73627,      73628,          1,      73629,      73630,         44,          0,          1,          0,          0,          0,        300,        200,         20,          1,         43,        125,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          2,          1,          0,          0,          2,          6,         99,        113,          1,          0,          2,        500,          0,          0,          0,          0,          0,          0,          0, 
1003 : EV0720_001_BTL_unit19,       1262,         -1,          1,      73631,          0,      73632,      73633,      73634,      73635,          0,      73636,      73637,      73638,      73639,          1,      73640,      73641,         44,          0,          1,          0,          0,          0,        300,        200,         20,          1,         43,        125,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          2,          1,          0,          0,          2,          6,        100,        113,          1,          0,          2,        500,          0,          0,          0,          0,          0,          0,          0, 
1004 : EV0720_001_BTL_unit20,       1262,         -1,          1,      73642,          0,      73643,      73644,      73645,      73646,          0,      73647,      73648,      73649,      73650,          1,      73651,      73652,         44,          0,          1,          0,          0,          0,        300,        200,         20,          1,         43,        125,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          2,          1,          0,          0,          2,          6,        101,        113,          1,          0,          2,        500,          0,          0,          0,          0,          0,          0,          0, 
1005 : EV0720_001_BTL_unit21,       1262,         -1,          1,      73653,          0,      73654,      73655,      73656,      73657,          0,      73658,      73659,      73660,      73661,          1,      73662,      73663,         39,          0,          1,          0,          0,          0,        600,        200,         20,          1,         55,        187,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,        108,        113,          1,          0,          2,        800,          0,          0,          0,          0,          0,          0,          0, 
1006 : EV0720_001_BTL_unit22,       1262,         -1,          1,      73664,          0,      73665,      73666,      73667,      73668,          0,      73669,      73670,      73671,      73672,          1,      73673,      73674,         40,          0,          1,          0,          0,          0,        600,        200,         20,          1,         45,        165,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,        103,        113,          1,          0,          2,        700,          0,          0,          0,          0,          0,          0,          0, 
1007 : EV0720_001_BTL_unit23,       1262,         -1,          1,      73675,          0,      73676,      73677,      73678,      73679,          0,      73680,      73681,      73682,      73683,          1,      73684,      73685,         41,          0,          1,          0,          0,          0,        600,        200,         20,          1,         45,        165,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,        118,        113,          1,          1,          2,        600,          0,          0,          0,          0,          0,          0,          0, 
1008 : EV0720_001_BTL_unit24,       1262,         -1,          1,      73686,          0,      73687,      73688,      73689,      73690,          0,      73691,      73692,      73693,      73694,          1,      73695,      73696,         42,          0,          1,          0,          0,          0,        600,        200,         20,          1,         40,        155,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,        113,        113,          1,          1,          2,        500,          0,          0,          0,          0,          0,          0,          0, 
1009 : EV0720_001_BTL_unit25,       1262,         -1,          1,      73697,          0,      73698,      73699,      73700,      73701,          0,      73702,      73703,      73704,      73705,          1,      73706,      73707,         43,          0,          1,          0,          0,          0,        600,        200,         20,          1,         75,        255,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        180,         -1,          1,          1,          0,          0,          2,          6,        123,        113,          1,          0,          2,       1200,          0,          0,          0,          0,          0,          0,          0, 
1010 : EV0720_001_BTL_unit26,       1262,         -1,          1,      73708,          0,      73709,      73710,      73711,      73712,          0,      73713,      73714,      73715,      73716,          1,      73717,      73718,         44,          0,          1,          0,          0,          0,        300,        200,         20,          1,         43,        125,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          2,          1,          0,          0,          2,          6,        127,        113,          1,          0,          2,        500,          0,          0,          0,          0,          0,          0,          0, 
1011 : EV0720_001_BTL_unit27,        875,         -1,         50,      73719,          0,      73720,      73721,      73722,      73723,          1,      73724,      73725,      73726,      73727,          0,      73728,      73729,         77,          0,          5,          0,          0,          0,        600,        200,         20,          1,         65,        200,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,         90,         15,         18,          1,          0,          0,          2,          6,       1019,         -1,          0,          2,          0,       2000,          0,          0,          0,          0,          1,          0,          0, 
1012 : EV0720_001_BTL_unit28,        877,         -1,         50,      73730,          1,      73731,      73732,      73733,      73734,          1,      73735,      73736,      73737,      73738,          0,      73739,      73740,         77,          0,          5,          0,          0,          0,        600,        200,         20,          1,         65,        200,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,         90,         15,         18,          1,          0,          0,          2,          6,       1020,         -1,          0,          2,          0,       2000,          0,          0,          0,          0,          1,          0,          0, 
1013 : EV0720_001_BTL_unit29,        878,         -1,         50,      73741,          2,      73742,      73743,      73744,      73745,          1,      73746,      73747,      73748,      73749,          0,      73750,      73751,         77,          0,          5,          0,          0,          0,        600,        200,         20,          1,         65,        200,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,         90,         15,         18,          1,          0,          0,          2,          6,       1021,         -1,          0,          2,          0,       2000,          0,          0,          0,          0,          1,          0,          0, 
1014 : EV0800_001_BTL_unit01,       1251,         -1,          2,      73752,          0,      73753,      73754,      73755,      73756,          1,      73757,      73758,      73759,      73760,          0,      73761,      73762,        105,          0,          2,          0,          0,          0,        600,        200,         20,          1,         45,        295,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          7,        270,         15,         46,          1,          0,          0,          2,          6,       1011,         -1,          0,          2,          0,       3400,          0,          0,          0,          1,          1,          1,          0, 
1015 : EV0830_001_BTL_unit01,        848,         -1,          2,      73763,          0,      73764,      73765,      73766,      73767,          1,      73768,      73769,      73770,      73771,          0,      73772,      73773,         70,          0,          4,          0,          0,          0,        400,        200,         20,          1,        150,        820,        100,          0,          0,          0,          1,          0,          0,          0,          1,          1,          4,         45,         -1,         48,          3,          0,          0,          2,          6,       1007,         -1,          0,          2,          0,      30000,          0,          0,          1,          1,          1,          1,          0, 
1016 : EV0830_001_BTL_unit02,         75,         -1,          1,      73774,          0,      73775,      73776,      73777,      73778,          0,      73779,      73780,      73781,      73782,          1,      73783,      73784,         35,          0,          1,          0,          0,          0,        600,        200,         20,          1,         55,        187,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,         60,         47,          1,          0,          2,        800,          0,          0,          0,          0,          0,          0,          0, 
1017 : EV0830_001_BTL_unit03,         75,         -1,          1,      73785,          1,      73786,      73787,      73788,      73789,          0,      73790,      73791,      73792,      73793,          1,      73794,      73795,         35,          0,          1,          0,          0,          0,        600,        200,         20,          1,         55,        187,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,         61,         47,          1,          0,          2,        800,          0,          0,          0,          0,          0,          0,          0, 
1018 : EV0830_001_BTL_unit04,         75,         -1,          1,      73796,          2,      73797,      73798,      73799,      73800,          0,      73801,      73802,      73803,      73804,          1,      73805,      73806,         35,          0,          1,          0,          0,          0,        600,        200,         20,          1,         55,        187,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,         62,         47,          1,          0,          2,        800,          0,          0,          0,          0,          0,          0,          0, 
1019 : EV0830_001_BTL_unit05,         75,         -1,          1,      73807,          0,      73808,      73809,      73810,      73811,          0,      73812,      73813,      73814,      73815,          1,      73816,      73817,         35,          0,          1,          0,          0,          0,        600,        200,         20,          1,         45,        165,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,         57,         47,          1,          0,          2,        700,          0,          0,          0,          0,          0,          0,          0, 
1020 : EV0830_001_BTL_unit06,         75,         -1,          1,      73818,          1,      73819,      73820,      73821,      73822,          0,      73823,      73824,      73825,      73826,          1,      73827,      73828,         35,          0,          1,          0,          0,          0,        600,        200,         20,          1,         45,        165,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,         58,         47,          1,          0,          2,        700,          0,          0,          0,          0,          0,          0,          0, 
