           km_,   km_chara,     km_pay, km_scenario_flag, km_s_numup, km_s_numdown, km_event_flag, km_e_numup, km_e_numdown, km_need_clear_adventure, km_daijinamono, km_btl_lvup, km_btl_lvdown, km_read_only, km_respawn, km_respawn_btlnum, km_respawn_time,   km_ASC_c,   km_ASC_n,   km_ASC_l,   km_CPC_c,   km_CPC_n,   km_CPC_l,   km_ERC_c,   km_ERC_n,   km_ERC_l,   km_VAL_c,   km_VAL_n,   km_VAL_l,   km_RIO_c,   km_RIO_n,   km_RIO_l,   km_BAR_c,   km_BAR_n,   km_BAR_l,   km_GOL_c,   km_GOL_n,   km_GOL_l,   km_MEL_c,   km_MEL_n,   km_MEL_l,   km_NGP_c,   km_NGP_n,   km_NGP_l,   km_UNB_c,   km_UNB_n,   km_UNB_l, 
179 : btl_free_npc_018,        187,          0,          0,       3200,          0,         -1,          0,          0,         -1,         -1,          0,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
180 : btl_free_npc_076,        188,          0,          0,       3200,          0,         -1,          0,          0,         -1,         -1,          0,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
181 : btl_free_npc_096,        189,          0,          0,       3200,          0,         -1,          0,          0,         -1,         -1,         34,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
182 : btl_free_npc_042,        190,          0,          0,       3200,          0,         -1,          0,          0,         -1,         -1,         34,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
183 : btl_free_npc_049,        191,          0,          0,       3200,          0,         -1,          0,          0,         -1,         -1,          0,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
184 : btl_free_npc_005,        192,          0,          0,       3200,          0,         -1,          0,          0,         -1,         -1,          0,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
185 : btl_free_npc,        193,          0,          0,       3200,          0,         -1,          0,          0,         -1,         -1,          0,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
186 : btl_free_npc_004,        194,          0,          0,       3200,          0,         -1,          0,          0,         -1,         -1,         34,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
187 : btl_free_npc_039,        195,          0,          0,       3200,          0,         -1,          0,          0,         -1,         -1,         34,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
188 : btl_free_npc,        196,          0,          0,       3200,          0,         -1,          0,          0,         -1,         -1,         34,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
189 : btl_pc_gaou,        197,      30400,          0,       3800,          0,         -1,          0,          0,         -1,         -1,          0,          0,          1,          1,          0,        180,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
190 : btl_free_npc,        198,       6710,          0,       3800,          0,         -1,          0,          0,         -1,         -1,          0,          0,          1,          1,         20,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0, 
191 : btl_free_npc,        199,       6710,          0,       3800,          0,         -1,          0,          0,        106,         -1,          0,          0,          1,          1,          0,        120,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
192 : btl_free_npc,        200,       7860,          0,       3800,          0,         -1,          0,          0,        104,         -1,          0,          0,          1,          1,          0,        120,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0, 
193 : btl_free_npc,        201,       7080,          0,       3800,          0,         -1,          0,          0,        105,         -1,          0,          0,          1,          1,          0,        120,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
194 : btl_free_npc_008,        202,       7950,          0,       3800,          0,         -1,          0,          0,        102,         -1,          0,          0,          1,          1,          0,        120,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
195 : btl_free_npc_038,        203,       6540,          0,       3800,          0,         -1,          0,          0,         -1,         -1,          0,          0,          1,          1,         20,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0, 
196 : btl_free_npc,        204,          0,          0,       3800,          0,         -1,          0,          0,         -1,         -1,          0,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
197 : btl_free_npc,        205,          0,          0,       3800,          0,         -1,          0,          0,         -1,         -1,          0,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
198 : btl_free_npc,        206,          0,          0,       3800,          0,         -1,          0,          0,         -1,         -1,          0,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
199 : btl_free_npc,        207,          0,          0,       3800,          0,         -1,          0,          0,         -1,         -1,          0,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
200 : btl_free_npc,        208,          0,          0,       3800,          0,         -1,          0,          0,         -1,         -1,          0,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
201 : btl_free_npc,        209,          0,          0,       3800,          0,         -1,          0,          0,         -1,         -1,          0,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
202 : btl_free_npc,        210,          0,          0,       3800,          0,         -1,          0,          0,         -1,         -1,         40,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
203 : btl_free_npc,        211,          0,          0,       3800,          0,         -1,          0,          0,         -1,         -1,         40,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
204 : btl_free_npc,        212,          0,          0,       3800,          0,         -1,          0,          0,         -1,         -1,         40,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
205 : btl_free_npc_014,        213,          0,          0,       3800,          0,         -1,          0,          0,         -1,         -1,          0,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
206 : btl_free_npc,        214,          0,          0,       3800,          0,         -1,          0,          0,         -1,         -1,          0,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
207 : btl_free_npc_037,        215,          0,          0,       3800,          0,         -1,          0,          0,         -1,         -1,          0,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
208 : btl_free_npc_099,        216,          0,          0,       3800,          0,         -1,          0,          0,         -1,         -1,         40,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
209 : btl_free_npc,        217,          0,          0,       3800,          0,         -1,          0,          0,         -1,         -1,         40,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
210 : btl_free_npc,        218,          0,          0,       3800,          0,         -1,          0,          0,         -1,         -1,          0,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
211 : btl_free_npc,        219,          0,          0,       3800,          0,         -1,          0,          0,         -1,         -1,          0,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
212 : btl_free_npc,        220,          0,          0,       3800,          0,         -1,          0,          0,         -1,         -1,          0,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
213 : btl_free_npc_067,        221,          0,          0,       3800,          0,         -1,          0,          0,         -1,         -1,         40,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
214 : btl_free_npc_029,        222,          0,          0,       3800,          0,         -1,          0,          0,         -1,         -1,         40,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
215 : btl_free_npc_040,        223,          0,          0,       3800,          0,         -1,          0,          0,         -1,         -1,         40,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
216 : btl_pc_paris,        224,      20000,          0,       5000,          0,     103007,          1,          0,         -1,         -1,          0,          0,          1,          1,         10,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
217 : btl_pc_allan,        225,      40000,          0,       5000,          0,     103023,          1,          0,         -1,         -1,          0,          0,          1,          1,         10,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
218 : btl_pc_kate,        226,      19200,          0,       5000,          0,     103013,          1,          0,         -1,         -1,          0,          0,          1,          1,         10,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
219 : btl_pc_sheryl,        227,      20800,          0,       5000,          0,     103014,          1,          0,         -1,         -1,          0,          0,          1,          1,         10,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0, 
220 :      jager,        228,      65535,          0,       5200,          0,         -1,          0,          0,         -1,         -1,          0,          0,          1,          1,        100,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
221 : btl_free_npc,        229,       6870,          0,       5000,       6400,         -1,          0,          0,        107,         -1,          0,          0,          1,          1,         20,        120,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0, 
222 : btl_free_npc,        230,       8590,          0,       5000,          0,         -1,          0,          0,        137,         -1,          0,          0,          1,          1,          0,        120,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
223 : btl_free_npc,        231,       7690,          0,       5000,          0,         -1,          0,          0,        109,         -1,          0,          0,          1,          1,          0,        120,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
224 : btl_free_npc,        232,       6960,          0,       5000,          0,       3008,      77777,          0,         -1,         -1,          0,          0,          1,          1,         50,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
225 : btl_free_npc,        233,       5650,          0,       5000,          0,         -1,          0,          0,         -1,        299,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0, 
226 : btl_free_npc,        234,       6750,          0,       5000,          0,         -1,          0,          0,         -1,         -1,          0,          0,          1,          1,         20,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
227 : btl_free_npc,        235,       6000,          0,       5000,          0,         -1,          0,          0,        112,         -1,          0,          0,          1,          1,          0,        120,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0, 
228 : btl_free_npc,        236,       6570,          0,       5000,       6400,         -1,          0,          0,        110,         -1,          0,          0,          1,          1,         20,        120,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0, 
229 : btl_free_npc_035,        237,       6140,          0,       5000,          0,         -1,          0,          0,         -1,        301,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
230 : btl_free_npc_025,        238,       9180,          0,       5000,          0,         -1,          0,          0,         -1,        293,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
231 : btl_free_npc_016,        239,      11360,          0,       5000,          0,         -1,          0,          0,        111,         -1,          0,          0,          1,          1,          0,        120,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0, 
232 : btl_free_npc,        240,          0,          0,       5000,          0,         -1,          0,          0,         -1,         -1,          0,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
233 : btl_free_npc,        241,          0,          0,       5000,          0,         -1,          0,          0,         -1,         -1,          0,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
234 : btl_free_npc,        242,          0,          0,       5000,          0,         -1,          0,          0,         -1,         -1,          0,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
235 : btl_free_npc,        243,          0,          0,       5000,          0,         -1,          0,          0,         -1,         -1,          0,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
236 : btl_free_npc,        244,          0,          0,       5000,          0,         -1,          0,          0,         -1,         -1,          0,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
237 : btl_free_npc,        245,          0,          0,       5000,          0,         -1,          0,          0,         -1,         -1,          0,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
238 : btl_free_npc,        246,          0,          0,       5000,          0,         -1,          0,          0,         -1,         -1,         45,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
239 : btl_free_npc,        247,          0,          0,       5000,          0,         -1,          0,          0,         -1,         -1,         45,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
240 : btl_free_npc,        248,          0,          0,       5000,          0,         -1,          0,          0,         -1,         -1,         45,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
241 : btl_free_npc,        249,          0,          0,       5000,          0,         -1,          0,          0,         -1,         -1,          0,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
242 : btl_free_npc,        250,          0,          0,       5000,          0,         -1,          0,          0,         -1,         -1,          0,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
243 : btl_free_npc_063,        251,          0,          0,       5000,          0,         -1,          0,          0,         -1,         -1,          0,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
244 : btl_free_npc,        252,          0,          0,       5000,          0,         -1,          0,          0,         -1,         -1,         45,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
245 : btl_free_npc_003,        253,          0,          0,       5000,          0,         -1,          0,          0,         -1,         -1,         45,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
246 : btl_free_npc,        254,          0,          0,       5000,          0,         -1,          0,          0,         -1,         -1,          0,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
247 : btl_free_npc_056,        255,          0,          0,       5000,          0,         -1,          0,          0,         -1,         -1,          0,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
248 : btl_free_npc_053,        256,          0,          0,       5000,          0,         -1,          0,          0,         -1,         -1,          0,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
249 : btl_free_npc_071,        257,          0,          0,       5000,          0,         -1,          0,          0,         -1,         -1,         45,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
250 : btl_free_npc,        258,          0,          0,       5000,          0,         -1,          0,          0,         -1,         -1,         45,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
251 : btl_free_npc,        259,          0,          0,       5000,          0,         -1,          0,          0,         -1,         -1,         45,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
252 : btl_pc_zolean,        260,      54400,          0,       5600,          0,         -1,          0,          0,         -1,         -1,          0,          0,          1,          1,          0,        180,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
253 : btl_free_npc,        261,       8620,          0,       5600,       6400,         -1,          0,          0,        113,         -1,          0,          0,          1,          1,         20,        120,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0, 
254 : btl_free_npc,        262,       8960,          0,       5600,          0,         -1,          0,          0,        150,         -1,          0,          0,          1,          1,          0,        120,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
255 : btl_free_npc,        263,       7480,          0,       5600,          0,         -1,          0,          0,         -1,        294,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
256 : btl_free_npc,        264,       8060,          0,       5600,          0,         -1,          0,          0,        116,         -1,          0,          0,          1,          1,          0,        120,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0, 
257 : btl_free_npc,        265,       6810,          0,       5600,          0,       3123,      77777,          0,         -1,         -1,          0,          0,          1,          1,         50,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
