           km_,   km_namen,    km_help, km_primary_model, km_primary_material_id, km_primary_bind_effect_id, km_secondly_model, km_secondly_material_id, km_secondly_bind_effect_id,    km_icon,  km_sortid,   km_price,    km_sell, km_break_cost, km_no_sell, km_no_break, km_no_menu, km_ep_remnant, km_category, km_add_attribute, km_add_impress, km_internal_attr_fire, km_internal_attr_thunder, km_internal_attr_ice, km_internal_attr_acid, km_internal_attr_poison, km_internal_attr_dr_null0, km_internal_attr_dr_null1, km_internal_attr_dr_null2, km_internal_attr_dr_null3, km_internal_attr_dr_null4, km_internal_attr_dr_null5, km_internal_attr_dr_null6, km_internal_attr_dr_null7, km_internal_attr_dr_null8, km_internal_attr_dr_null9, km_internal_attr_control_flag18, km_set_status, km_reset_status, km_prg_num_new, km_lvup_type,      km_ct, km_ap_butsu,  km_ap_mgc, km_dp_butsu,  km_dp_mgc, km_eva_butsu, km_eva_mgc, km_cro_onrate, km_cro_scrate, km_crd_onrate, km_crd_scrate, km_critical_lv, km_exp_eq_style, km_exp_eq_category, km_exp_mgc_category, km_exp_item_category, km_exp_arts_skill, km_exp_technique, km_exp_power, km_exp_magic_skill, km_exp_item_skill, km_exp_master,   km_item1,    km_num1,   km_item2,    km_num2,   km_item3,    km_num3,   km_item4,    km_num4, km_eq_rank, km_eq_not_aim, km_eq_release_mep, km_eq_not_force_replace,  km_heikin,   km_butsu,     km_mgc, km_butsu_ac,  km_mgc_ac,      km_hp,      km_ap,     km_str,     km_mys,     km_spd,     km_unq, km_butsu_at,  km_mgc_at, 
948 :       Amon,        950,        950,         38,          0,         -1,         38,          0,         -1,         14,      25304,       4600,        230,        115,          0,          0,          0,          0,         81,          4,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,         23,          1,         10,         39,         52,         11,         11,          3,          0,         23,         80,         36,         80,         13,          1,          1,          1,          1,          1,          0,          1,          1,          1,          1,    9044264,          1,    9044348,          1,    9044263,          1,         -1,          0,         19,          0,       1600,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
949 :       Amon,        951,        951,         38,          1,         -1,         38,          1,         -1,         14,      25305,      55200,       2760,       1380,          0,          0,          0,          0,         81,          4,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,         23,          1,         10,         58,         79,         15,         20,          5,          0,         23,         80,         36,         80,         13,          1,          1,          1,          1,          1,          0,          1,          1,          1,          1,    9044238,          1,    9044332,          1,    9044342,          1,         -1,          0,         40,          0,       3200,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
950 :       Amon,        952,        952,         38,          2,          8,         38,          2,          8,         14,      25306,     234600,      11730,       5865,          0,          0,          0,          0,         81,          5,        296,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,         23,          0,         10,         68,         91,         17,         23,          7,          0,         23,         80,         36,         80,         13,          1,          1,          1,          1,          1,          0,          1,          1,          1,          1,    9044247,          1,    9044293,          1,    9044259,          2,         -1,          0,         64,          0,       6200,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
951 :       Amon,        953,        953,         38,          3,          7,         38,          3,          7,         14,      25307,     655500,      32775,      16388,          0,          0,          0,          0,         81,          6,        120,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,         23,          0,         10,         80,        107,         19,         27,          9,          0,         23,         80,         36,         80,         13,          1,          1,          1,          1,          1,          0,          1,          1,          1,          1,    9044250,          1,    9044270,          2,    9044261,          3,         -1,          0,         76,          0,       6400,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
952 :     Aypeos,        954,        954,         39,          0,          4,         39,          0,          4,         14,      25308,      48300,       2415,       1208,          0,          0,          0,          0,         81,         10,        351,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         17,         -1,         23,          1,         10,         76,         93,         18,         23,          4,          0,         23,         80,         36,         80,         13,          1,          1,          1,          1,          1,          1,          0,          1,          1,          1,    9044267,          1,    9044332,          1,    9044342,          1,         -1,          0,         68,          0,       3200,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
953 :     Aypeos,        955,        955,         39,          0,          4,         39,          0,          4,         14,      25311,     386400,      19320,       9660,          0,          0,          0,          0,         81,         11,        927,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         17,         -1,         23,          0,          5,        132,        162,         34,         40,          7,          0,         23,         80,         36,         80,         13,          1,          1,          1,          1,          1,          1,          0,          1,          1,          1,    9044242,          1,    9044270,          1,    9044259,          2,         -1,          0,        140,          0,       6400,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
954 :     Berith,        956,        956,         51,          0,         -1,         51,          0,         -1,         15,      25408,       1300,         65,         33,          0,          0,          0,          0,        102,         10,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,         24,          1,         13,         25,         24,          6,          8,          3,          0,         29,         80,         46,         80,         17,          1,          1,          1,          1,          1,          0,          1,          1,          1,          1,    9044318,          2,    9044330,          1,         -1,          0,         -1,          0,          3,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
955 :     Berith,        957,        957,         51,          1,         -1,         51,          1,         -1,         15,      25409,      20800,       1040,        520,          0,          0,          0,          0,        102,         10,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,         24,          1,         13,         46,         46,         11,         13,          5,          0,         29,         80,         46,         80,         17,          1,          1,          1,          1,          1,          0,          1,          1,          1,          1,    9044264,          1,    9044348,          1,    9044358,          2,         -1,          0,         27,          0,       1600,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
956 :     Berith,        958,        958,         51,          2,          8,         51,          2,          8,         15,      25410,     124800,       6240,       3120,          0,          0,          0,          0,        102,         11,        306,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,         24,          0,         13,         76,         68,         21,         18,          8,          0,         29,         80,         46,         80,         17,          1,          1,          1,          1,          1,          0,          1,          1,          1,          1,    9044255,          1,    9044272,          1,    9044332,          2,         -1,          0,         56,          0,       3200,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
957 :     Berith,        959,        959,         51,          3,          7,         51,          3,          7,         15,      25411,     409500,      20475,      10238,          0,          0,          0,          0,        102,         12,        120,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,         24,          0,         13,         99,         86,         28,         22,         12,          0,         29,         80,         46,         80,         17,          1,          1,          1,          1,          1,          0,          1,          1,          1,          1,    9044241,          1,    9044270,          1,    9044258,          2,         -1,          0,         76,          0,       6400,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
958 :     Guison,        960,        960,         50,          0,          3,         50,          0,          3,         15,      25404,      36400,       1820,        910,          0,          0,          0,          0,        102,          1,        345,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          5,         -1,         24,          1,         13,         94,         83,         26,         24,          9,          0,         29,         80,         46,         80,         17,          1,          1,          1,          1,          1,          1,          0,          1,          1,          1,    9044254,          1,    9044342,          1,    9044369,          1,         -1,          0,         68,          0,       3100,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
959 :     Guison,        961,        961,         50,          0,          3,         50,          0,          3,         15,      25407,     353600,      17680,       8840,          0,          0,          0,          0,        102,          2,        923,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          5,         -1,         24,          0,          6,        165,        146,         45,         39,         14,          0,         29,         80,         46,         80,         17,          1,          1,          1,          1,          1,          1,          0,          1,          1,          1,    9044240,          1,    9044294,          1,    9044261,          2,         -1,          0,        160,          0,       6200,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
960 :      Forus,        962,        962,         61,          0,         -1,         61,          0,         -1,         16,      25500,       1200,         60,         30,          0,          0,          0,          0,        123,          4,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,         25,          1,          8,         26,         28,          8,          5,          3,          0,         26,         80,         42,         80,         21,          1,          1,          1,          1,          1,          0,          1,          1,          1,          1,    9044318,          2,    9044406,          1,         -1,          0,         -1,          0,          3,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
961 :      Forus,        963,        963,         61,          1,         -1,         61,          1,         -1,         16,      25501,      19200,        960,        480,          0,          0,          0,          0,        123,          4,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,         25,          1,          8,         46,         48,         14,         12,          5,          0,         26,         80,         42,         80,         21,          1,          1,          1,          1,          1,          0,          1,          1,          1,          1,    9044264,          1,    9044348,          1,    9044358,          2,         -1,          0,         27,          0,       1600,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
962 :      Forus,        964,        964,         61,          2,          8,         61,          2,          8,         16,      25502,     115200,       5760,       2880,          0,          0,          0,          0,        123,          5,        296,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,         25,          0,          8,         70,         69,         19,         20,          8,          0,         26,         80,         42,         80,         21,          1,          1,          1,          1,          1,          0,          1,          1,          1,          1,    9044255,          1,    9044272,          1,    9044352,          1,         -1,          0,         56,          0,       3200,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
963 :      Forus,        965,        965,         61,          3,          7,         61,          3,          7,         16,      25503,     378000,      18900,       9450,          0,          0,          0,          0,        123,          6,        120,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,         25,          0,          8,         92,         91,         26,         27,         12,          0,         26,         80,         42,         80,         21,          1,          1,          1,          1,          1,          0,          1,          1,          1,          1,    9044241,          1,    9044270,          1,    9044259,          2,         -1,          0,         76,          0,       6400,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
964 :     Haures,        966,        966,         63,          0,         -1,         63,          0,         -1,         16,      25508,       1920,         96,         48,          0,          0,          0,          0,        123,          7,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,         25,          1,          8,         24,         33,          7,         12,          3,          0,         26,         80,         42,         80,         21,          1,          1,          1,          1,          1,          1,          0,          1,          1,          1,    9044235,          2,    9044318,          1,    9044406,          3,         -1,          0,          6,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
965 :     Haures,        967,        967,         63,          1,         -1,         63,          1,         -1,         16,      25509,      28800,       1440,        720,          0,          0,          0,          0,        123,          7,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,         25,          1,          8,         44,         67,         12,         19,          5,          0,         26,         80,         42,         80,         21,          1,          1,          1,          1,          1,          1,          0,          1,          1,          1,    9044265,          1,    9044369,          2,    9044252,          2,         -1,          0,         31,          0,       2600,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
966 :     Haures,        968,        968,         63,          2,          8,         63,          2,          8,         16,      25510,     158400,       7920,       3960,          0,          0,          0,          0,        123,          8,        301,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,         25,          0,          8,         65,         98,         16,         25,          8,          0,         26,         80,         42,         80,         21,          1,          1,          1,          1,          1,          1,          0,          1,          1,          1,    9044268,          1,    9044246,          1,    9044360,          1,         -1,          0,         67,          0,       5000,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
967 :     Haures,        969,        969,         63,          3,          7,         63,          3,          7,         16,      25511,     468000,      23400,      11700,          0,          0,          0,          0,        123,          9,        120,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,         25,          0,          8,         82,        128,         22,         33,         12,          0,         26,         80,         42,         80,         21,          1,          1,          1,          1,          1,          1,          0,          1,          1,          1,    9044241,          1,    9044270,          1,    9044259,          2,         -1,          0,         81,          0,       6400,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
968 :      Stlas,        970,        970,         62,          0,          2,         62,          0,          2,         16,      25504,      50400,       2520,       1260,          0,          0,          0,          0,        123,          4,        341,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          4,         -1,         25,          1,          8,         74,         98,         18,         28,          9,          0,         26,         80,         42,         80,         21,          1,          1,          1,          1,          1,          0,          1,          1,          1,          1,    9044267,          1,    9044332,          1,    9044359,          1,         -1,          0,         68,          0,       3200,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
969 :      Stlas,        971,        971,         62,          0,          2,         62,          0,          2,         16,      25507,     403200,      20160,      10080,          0,          0,          0,          0,        123,          5,        920,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          4,         -1,         25,          0,          4,        133,        177,         35,         45,         14,          0,         26,         80,         42,         80,         21,          1,          1,          1,          1,          1,          0,          1,          1,          1,          1,    9044242,          1,    9044270,          1,    9044260,          2,         -1,          0,        160,          0,       6400,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
970 :      Marax,        972,        972,          9,          0,         -1,          9,          0,         -1,         11,      26000,       1150,         58,         29,          0,          0,          0,          0,         19,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,         20,          1,          8,         23,         27,         10,          8,          3,          0,         28,         80,         44,         80,          2,          1,          1,          1,          1,          1,          0,          1,          1,          1,          1,    9044318,          2,    9044330,          1,         -1,          0,         -1,          0,          3,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
971 :      Marax,        973,        973,          9,          1,         -1,          9,          1,         -1,         11,      26001,      18400,        920,        460,          0,          0,          0,          0,         19,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,         20,          1,          8,         47,         43,         13,         15,          5,          0,         28,         80,         44,         80,          2,          1,          1,          1,          1,          1,          0,          1,          1,          1,          1,    9044264,          1,    9044365,          1,    9044243,          1,         -1,          0,         27,          0,       1600,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
972 :      Marax,        974,        974,          9,          2,          8,          9,          2,          8,         11,      26002,     110400,       5520,       2760,          0,          0,          0,          0,         19,          2,        291,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,         20,          0,          8,         66,         67,         22,         22,          8,          0,         28,         80,         44,         80,          2,          1,          1,          1,          1,          1,          0,          1,          1,          1,          1,    9044255,          1,    9044272,          1,    9044370,          2,         -1,          0,         56,          0,       3200,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
973 :      Marax,        975,        975,          9,          3,          7,          9,          3,          7,         11,      26003,     362250,      18113,       9056,          0,          0,          0,          0,         19,          3,        120,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,         20,          0,          8,         91,         88,         26,         30,         12,          0,         28,         80,         44,         80,          2,          1,          1,          1,          1,          1,          0,          1,          1,          1,          1,    9044241,          1,    9044270,          1,    9044260,          2,         -1,          0,         76,          0,       6400,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
974 :     Furfur,        976,        976,         10,          0,          0,         10,          0,          0,         11,      26004,      48300,       2415,       1208,          0,          0,          0,          0,         19,          7,        331,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          2,         -1,         20,          1,          8,         85,         84,         27,         25,          9,          0,         28,         80,         44,         80,          2,          1,          1,          1,          1,          1,          1,          0,          1,          1,          1,    9044267,          1,    9044370,          1,    9044328,          1,         -1,          0,         68,          0,       3200,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
975 :     Furfur,        977,        977,         10,          0,          0,         10,          0,          0,         11,      26007,     386400,      19320,       9660,          0,          0,          0,          0,         19,          8,        905,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          2,         -1,         20,          0,          4,        104,        105,         33,         34,         14,          0,         28,         80,         44,         80,          2,          1,          1,          1,          1,          1,          1,          0,          1,          1,          1,    9044242,          1,    9044270,          1,    9044258,          2,         -1,          0,         84,          0,       6400,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
976 :      Oriax,        978,        978,         12,          0,         21,         12,          0,         21,         11,      26012,     217350,      10868,       5434,          0,          0,          0,          0,         19,          3,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,         20,          0,          8,        115,        119,         38,         40,         13,          0,         28,         80,         44,         80,          2,          1,          1,          1,          1,          1,          0,          1,          1,          1,          1,    9044270,          2,    9044333,          1,    9044258,          2,         -1,          0,        180,          0,       6400,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
977 :      Oriax,        979,        979,         12,          0,         21,         12,          0,         21,         11,      26015,     952200,      47610,      23805,          0,          0,          0,          0,         19,          3,         90,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,         20,          0,          8,        153,        152,         50,         49,         21,          0,         28,         80,         44,         80,          2,          1,          1,          1,          1,          1,          0,          1,          1,          1,          1,    9044275,          3,    9044323,          3,    9044258,          5,         -1,          0,        210,          0,       6400,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
978 :     Belial,        980,        980,         21,          0,         -1,         21,          0,         -1,         12,      26100,       1200,         60,         30,          0,          0,          0,          0,         40,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,         21,          1,          7,         29,         31,          3,          5,          1,          0,         30,         80,         48,         80,          6,          1,          1,          1,          1,          1,          1,          0,          1,          1,          1,    9044318,          1,    9044406,          1,    9044330,          1,         -1,          0,          3,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
979 :     Belial,        981,        981,         21,          1,         -1,         21,          1,         -1,         12,      26101,      28800,       1440,        720,          0,          0,          0,          0,         40,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,         21,          1,          7,         54,         51,          7,          5,          2,          0,         30,         80,         48,         80,          6,          1,          1,          1,          1,          1,          1,          0,          1,          1,          1,    9044264,          1,    9044365,          1,    9044243,          1,         -1,          0,         27,          0,       2600,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
980 :     Belial,        982,        982,         21,          2,          8,         21,          2,          8,         12,      26102,     158400,       7920,       3960,          0,          0,          0,          0,         40,          2,        291,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,         21,          0,          7,         77,         79,         11,         10,          3,          0,         30,         80,         48,         80,          6,          1,          1,          1,          1,          1,          1,          0,          1,          1,          1,    9044255,          1,    9044272,          1,    9044332,          2,         -1,          0,         56,          0,       5000,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
981 :     Belial,        983,        983,         21,          3,          7,         21,          3,          7,         12,      26103,     468000,      23400,      11700,          0,          0,          0,          0,         40,          3,        120,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,         21,          0,          7,        103,        102,         15,         12,          4,          0,         30,         80,         48,         80,          6,          1,          1,          1,          1,          1,          1,          0,          1,          1,          1,    9044241,          1,    9044270,          1,    9044261,          2,         -1,          0,         76,          0,       6400,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
982 :     Paimon,        984,        984,         22,          0,         -1,         22,          0,         -1,         12,      26104,     280800,      14040,       7020,          0,          0,          0,          0,         40,          3,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,         21,          0,          7,        136,        134,         18,         20,          5,          0,         30,         80,         48,         80,          6,          1,          1,          1,          1,          1,          0,          1,          1,          1,          1,    9044270,          1,    9044333,          1,    9044259,          2,         -1,          0,        180,          0,       6400,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
983 :     Paimon,        985,        985,         22,          0,          5,         22,          0,          5,         12,      26107,     990000,      49500,      24750,          0,          0,          0,          0,         40,          3,         95,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,         21,          0,          7,        175,        177,         22,         26,          8,          0,         30,         80,         48,         80,          6,          1,          1,          1,          1,          1,          0,          1,          1,          1,          1,    9044275,          5,    9044323,          4,    9044259,          6,         -1,          0,        210,          0,       6400,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
984 :     Purson,        986,        986,         31,          0,         -1,         31,          0,         -1,         13,      26204,       1250,         63,         31,          0,          0,          0,          0,         61,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,         22,          1,          8,         28,         19,          9,          7,          2,          0,         28,         80,         44,         80,         10,          1,          1,          1,          1,          1,          1,          0,          1,          1,          1,    9044318,          2,    9044330,          1,         -1,          0,         -1,          0,          3,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
985 :     Purson,        987,        987,         31,          1,         -1,         31,          1,         -1,         13,      26205,      20000,       1000,        500,          0,          0,          0,          0,         61,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,         22,          1,          8,         54,         36,         14,         12,          4,          0,         28,         80,         44,         80,         10,          1,          1,          1,          1,          1,          1,          0,          1,          1,          1,    9044264,          1,    9044365,          1,    9044263,          1,         -1,          0,         27,          0,       1600,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
986 :     Purson,        988,        988,         31,          2,          8,         31,          2,          8,         13,      26206,     120000,       6000,       3000,          0,          0,          0,          0,         61,          2,        291,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,         22,          0,          8,         78,         53,         28,         19,          5,          0,         28,         80,         44,         80,         10,          1,          1,          1,          1,          1,          1,          0,          1,          1,          1,    9044255,          1,    9044272,          1,    9044352,          1,         -1,          0,         56,          0,       3200,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
987 :     Purson,        989,        989,         31,          3,          7,         31,          3,          7,         13,      26207,     393750,      19688,       9844,          0,          0,          0,          0,         61,          3,        120,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,         22,          0,          8,        111,         70,         32,         21,          8,          0,         28,         80,         44,         80,         10,          1,          1,          1,          1,          1,          1,          0,          1,          1,          1,    9044241,          1,    9044270,          1,    9044258,          2,         -1,          0,         76,          0,       6400,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
988 :     Ronove,        990,        990,         32,          0,         -1,         32,          0,         -1,         13,      26208,       5000,        250,        125,          0,          0,          0,          0,         61,          7,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,         22,          1,          8,         52,         39,         17,         11,          3,          0,         28,         80,         44,         80,         10,          1,          1,          1,          1,          1,          0,          1,          1,          1,          1,    9044264,          1,    9044365,          1,    9044263,          1,         -1,          0,         26,          0,       1600,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
989 :     Ronove,        991,        991,         32,          1,         -1,         32,          1,         -1,         13,      26209,      60000,       3000,       1500,          0,          0,          0,          0,         61,          7,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,         22,          1,          8,         75,         57,         24,         17,          5,          0,         28,         80,         44,         80,         10,          1,          1,          1,          1,          1,          0,          1,          1,          1,          1,    9044238,          1,    9044370,          1,    9044342,          1,         -1,          0,         60,          0,       3200,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
990 :     Ronove,        992,        992,         32,          2,          8,         32,          2,          8,         13,      26210,     255000,      12750,       6375,          0,          0,          0,          0,         61,          8,        301,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,         22,          0,          8,         94,         68,         31,         23,          7,          0,         28,         80,         44,         80,         10,          1,          1,          1,          1,          1,          0,          1,          1,          1,          1,    9044247,          1,    9044292,          1,    9044260,          2,         -1,          0,         67,          0,       6200,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
